;EGR704
EGR704 N057.13.27.000 W003.13.49.000 N057.13.16.924 W003.17.20.690 ; Radial 10
EGR704 N057.13.16.924 W003.17.20.690 N057.12.47.006 W003.20.45.853 ; Radial 20
EGR704 N057.12.47.006 W003.20.45.853 N057.11.58.168 W003.23.58.176 ; Radial 30
EGR704 N057.11.58.168 W003.23.58.176 N057.10.51.914 W003.26.51.752 ; Radial 40
EGR704 N057.10.51.914 W003.26.51.752 N057.09.30.281 W003.29.21.276 ; Radial 50
EGR704 N057.09.30.281 W003.29.21.276 N057.07.55.775 W003.31.22.206 ; Radial 60
EGR704 N057.07.55.775 W003.31.22.206 N057.06.11.292 W003.32.50.902 ; Radial 70
EGR704 N057.06.11.292 W003.32.50.902 N057.04.20.027 W003.33.44.728 ; Radial 80
EGR704 N057.04.20.027 W003.33.44.728 N057.02.25.371 W003.34.02.134 ; Radial 90
EGR704 N057.02.25.371 W003.34.02.134 N057.00.30.814 W003.33.42.681 ; Radial 100
EGR704 N057.00.30.814 W003.33.42.681 N056.58.39.831 W003.32.47.053 ; Radial 110
EGR704 N056.58.39.831 W003.32.47.053 N056.56.55.782 W003.31.17.022 ; Radial 120
EGR704 N056.56.55.782 W003.31.17.022 N056.55.21.808 W003.29.15.380 ; Radial 130
EGR704 N056.55.21.808 W003.29.15.380 N056.54.00.741 W003.26.45.856 ; Radial 140
EGR704 N056.54.00.741 W003.26.45.856 N056.52.55.018 W003.23.52.991 ; Radial 150
EGR704 N056.52.55.018 W003.23.52.991 N056.52.06.613 W003.20.42.005 ; Radial 160
EGR704 N056.52.06.613 W003.20.42.005 N056.51.36.978 W003.17.18.642 ; Radial 170
EGR704 N056.51.36.978 W003.17.18.642 N056.51.27.000 W003.13.49.000 ; Radial 180
EGR704 N056.51.27.000 W003.13.49.000 N056.51.36.978 W003.10.19.358 ; Radial 190
EGR704 N056.51.36.978 W003.10.19.358 N056.52.06.613 W003.06.55.995 ; Radial 200
EGR704 N056.52.06.613 W003.06.55.995 N056.52.55.018 W003.03.45.009 ; Radial 210
EGR704 N056.52.55.018 W003.03.45.009 N056.54.00.741 W003.00.52.144 ; Radial 220
EGR704 N056.54.00.741 W003.00.52.144 N056.55.21.808 W002.58.22.620 ; Radial 230
EGR704 N056.55.21.808 W002.58.22.620 N056.56.55.782 W002.56.20.978 ; Radial 240
EGR704 N056.56.55.782 W002.56.20.978 N056.58.39.831 W002.54.50.947 ; Radial 250
EGR704 N056.58.39.831 W002.54.50.947 N057.00.30.814 W002.53.55.319 ; Radial 260
EGR704 N057.00.30.814 W002.53.55.319 N057.02.25.371 W002.53.35.866 ; Radial 270
EGR704 N057.02.25.371 W002.53.35.866 N057.04.20.027 W002.53.53.272 ; Radial 280
EGR704 N057.04.20.027 W002.53.53.272 N057.06.11.292 W002.54.47.098 ; Radial 290
EGR704 N057.06.11.292 W002.54.47.098 N057.07.55.775 W002.56.15.794 ; Radial 300
EGR704 N057.07.55.775 W002.56.15.794 N057.09.30.281 W002.58.16.724 ; Radial 310
EGR704 N057.09.30.281 W002.58.16.724 N057.10.51.914 W003.00.46.248 ; Radial 320
EGR704 N057.10.51.914 W003.00.46.248 N057.11.58.168 W003.03.39.825 ; Radial 330
EGR704 N057.11.58.168 W003.03.39.825 N057.12.47.006 W003.06.52.147 ; Radial 340
EGR704 N057.12.47.006 W003.06.52.147 N057.13.16.924 W003.10.17.310 ; Radial 350
EGR704 N057.13.16.924 W003.10.17.310 N057.13.27.000 W003.13.49.000
