;EGR704
EGR704 N057.03.27.000 W003.13.49.000 N057.03.26.088 W003.14.08.159 ; Radial 10
EGR704 N057.03.26.088 W003.14.08.159 N057.03.23.380 W003.14.26.736 ; Radial 20
EGR704 N057.03.23.380 W003.14.26.736 N057.03.18.958 W003.14.44.164 ; Radial 30
EGR704 N057.03.18.958 W003.14.44.164 N057.03.12.957 W003.14.59.915 ; Radial 40
EGR704 N057.03.12.957 W003.14.59.915 N057.03.05.559 W003.15.13.508 ; Radial 50
EGR704 N057.03.05.559 W003.15.13.508 N057.02.56.990 W003.15.24.532 ; Radial 60
EGR704 N057.02.56.990 W003.15.24.532 N057.02.47.509 W003.15.32.651 ; Radial 70
EGR704 N057.02.47.509 W003.15.32.651 N057.02.37.406 W003.15.37.619 ; Radial 80
EGR704 N057.02.37.406 W003.15.37.619 N057.02.26.987 W003.15.39.286 ; Radial 90
EGR704 N057.02.26.987 W003.15.39.286 N057.02.16.568 W003.15.37.602 ; Radial 100
EGR704 N057.02.16.568 W003.15.37.602 N057.02.06.467 W003.15.32.619 ; Radial 110
EGR704 N057.02.06.467 W003.15.32.619 N057.01.56.990 W003.15.24.489 ; Radial 120
EGR704 N057.01.56.990 W003.15.24.489 N057.01.48.425 W003.15.13.459 ; Radial 130
EGR704 N057.01.48.425 W003.15.13.459 N057.01.41.032 W003.14.59.866 ; Radial 140
EGR704 N057.01.41.032 W003.14.59.866 N057.01.35.035 W003.14.44.121 ; Radial 150
EGR704 N057.01.35.035 W003.14.44.121 N057.01.30.617 W003.14.26.704 ; Radial 160
EGR704 N057.01.30.617 W003.14.26.704 N057.01.27.911 W003.14.08.142 ; Radial 170
EGR704 N057.01.27.911 W003.14.08.142 N057.01.27.000 W003.13.49.000 ; Radial 180
EGR704 N057.01.27.000 W003.13.49.000 N057.01.27.911 W003.13.29.858 ; Radial 190
EGR704 N057.01.27.911 W003.13.29.858 N057.01.30.617 W003.13.11.296 ; Radial 200
EGR704 N057.01.30.617 W003.13.11.296 N057.01.35.035 W003.12.53.879 ; Radial 210
EGR704 N057.01.35.035 W003.12.53.879 N057.01.41.032 W003.12.38.134 ; Radial 220
EGR704 N057.01.41.032 W003.12.38.134 N057.01.48.425 W003.12.24.541 ; Radial 230
EGR704 N057.01.48.425 W003.12.24.541 N057.01.56.990 W003.12.13.511 ; Radial 240
EGR704 N057.01.56.990 W003.12.13.511 N057.02.06.467 W003.12.05.381 ; Radial 250
EGR704 N057.02.06.467 W003.12.05.381 N057.02.16.568 W003.12.00.398 ; Radial 260
EGR704 N057.02.16.568 W003.12.00.398 N057.02.26.987 W003.11.58.714 ; Radial 270
EGR704 N057.02.26.987 W003.11.58.714 N057.02.37.406 W003.12.00.381 ; Radial 280
EGR704 N057.02.37.406 W003.12.00.381 N057.02.47.509 W003.12.05.349 ; Radial 290
EGR704 N057.02.47.509 W003.12.05.349 N057.02.56.990 W003.12.13.468 ; Radial 300
EGR704 N057.02.56.990 W003.12.13.468 N057.03.05.559 W003.12.24.492 ; Radial 310
EGR704 N057.03.05.559 W003.12.24.492 N057.03.12.957 W003.12.38.085 ; Radial 320
EGR704 N057.03.12.957 W003.12.38.085 N057.03.18.958 W003.12.53.836 ; Radial 330
EGR704 N057.03.18.958 W003.12.53.836 N057.03.23.380 W003.13.11.264 ; Radial 340
EGR704 N057.03.23.380 W003.13.11.264 N057.03.26.088 W003.13.29.841 ; Radial 350
EGR704 N057.03.26.088 W003.13.29.841 N057.03.27.000 W003.13.49.000
