N051.33.42.615 W000.42.25.060 N051.31.49.339 W000.30.38.554 
N051.31.49.339 W000.30.38.554 N051.32.13.873 W000.30.11.229 
N051.32.13.873 W000.30.11.229 N051.32.30.555 W000.29.48.885 
N051.32.30.555 W000.29.48.885 N051.32.44.453 W000.29.23.547 
N051.32.44.453 W000.29.23.547 N051.32.58.357 W000.28.55.198 
N051.32.58.357 W000.28.55.198 N051.33.17.838 W000.28.11.869 
N051.33.17.838 W000.28.11.869 N051.33.13.080 W000.27.39.097 
N051.33.13.080 W000.27.39.097 N051.33.01.779 W000.27.04.886 
N051.33.01.779 W000.27.04.886 N051.32.56.055 W000.26.23.167 
N051.32.56.055 W000.26.23.167 N051.32.52.182 W000.25.38.431 
N051.32.52.182 W000.25.38.431 N051.32.50.191 W000.24.59.627 
N051.32.50.191 W000.24.59.627 N051.32.50.993 W000.24.19.270 
N051.32.50.993 W000.24.19.270 N051.32.44.323 W000.23.40.500 
N051.32.44.323 W000.23.40.500 N051.32.33.898 W000.22.57.301 
N051.32.33.898 W000.22.57.301 N051.32.21.584 W000.22.09.648 
N051.32.21.584 W000.22.09.648 N051.32.08.277 W000.21.08.546 
N051.32.08.277 W000.21.08.546 N051.31.59.631 W000.20.08.829 
N051.31.59.631 W000.20.08.829 N051.31.52.860 W000.19.13.539 
N051.31.52.860 W000.19.13.539 N051.31.47.040 W000.18.24.198 
N051.31.47.040 W000.18.24.198 N051.31.42.966 W000.17.54.095 
N051.31.42.966 W000.17.54.095 N051.31.12.925 W000.17.53.540 
N051.31.12.925 W000.17.53.540 N051.30.42.887 W000.17.52.988 
N051.30.42.887 W000.17.52.988 N051.30.11.875 W000.17.47.785 
N051.30.11.875 W000.17.47.785 N051.29.45.826 W000.17.38.026 
N051.29.45.826 W000.17.38.026 N051.29.17.004 W000.17.23.877 
N051.29.17.004 W000.17.23.877 N051.28.56.435 W000.16.51.587 
N051.28.56.435 W000.16.51.587 N051.28.31.309 W000.16.28.420 
N051.28.31.309 W000.16.28.420 N051.28.12.651 W000.16.02.097 
N051.28.12.651 W000.16.02.097 N051.28.11.559 W000.15.36.737 
N051.28.11.559 W000.15.36.737 N051.28.17.909 W000.15.18.602 
N051.28.17.909 W000.15.18.602 N051.28.37.129 W000.15.06.019 
N051.28.37.129 W000.15.06.019 N051.28.57.828 W000.14.54.894 
N051.28.57.828 W000.14.54.894 N051.29.09.908 W000.14.38.172 
N051.29.09.908 W000.14.38.172 N051.29.13.981 W000.14.12.376 
N051.29.13.981 W000.14.12.376 N051.29.09.201 W000.13.52.331 
N051.29.09.201 W000.13.52.331 N051.28.55.478 W000.13.39.239 
N051.28.55.478 W000.13.39.239 N051.28.38.452 W000.13.33.708 
N051.28.38.452 W000.13.33.708 N051.28.17.862 W000.13.27.026
