FIR_COPX:*:*:EVRIN:EIDW:*:London S8:EISN2:*:28000:EVRIN10
FIR_COPX:*:*:BANBA:EICK:*:London S8:EISN2:*:30000:BANBA

FIR_COPX:*:*:LIPGO:EGAA:*:London S8:EISN2:*:32000:LIPGO
FIR_COPX:*:*:LIPGO:EGAC:*:London S8:EISN2:*:32000:LIPGO
FIR_COPX:*:*:LIPGO:EGAE:*:London S8:EISN2:*:32000:LIPGO
FIR_COPX:*:*:EVRIN:EGAA:*:London S8:EISN2:*:32000:EVRIN
FIR_COPX:*:*:EVRIN:EGAC:*:London S8:EISN2:*:32000:EVRIN
FIR_COPX:*:*:EVRIN:EGAE:*:London S8:EISN2:*:32000:EVRIN
FIR_COPX:*:*:VATRY:EGAA:*:London S8:EISN2:*:32000:VATRY
FIR_COPX:*:*:VATRY:EGAC:*:London S8:EISN2:*:32000:VATRY
FIR_COPX:*:*:VATRY:EGAE:*:London S8:EISN2:*:32000:VATRY

FIR_COPX:*:*:GAPLI:*:*:London S9:EISN5:*:*:GAPLI
FIR_COPX:*:*:LULOX:*:*:London S9:EISN5:*:*:LULOX
FIR_COPX:*:*:LESLU:*:*:London S9:EISN2:*:*:LESLU
FIR_COPX:*:*:LEDGO:*:*:London S9:EISN2:*:*:LEDGO
FIR_COPX:*:*:MOPAT:*:*:London S9:EISN2:*:*:MOPAT20
FIR_COPX:*:*:NORLA:*:*:London S9:EISN2:*:*:NORLA
FIR_COPX:*:*:EVRIN:*:*:London S8:EISN2:*:*:EVRIN20
FIR_COPX:*:*:BANBA:*:*:London S8:EISN2:*:*:BANBA5
FIR_COPX:*:*:SLANY:*:*:London S8:EISN2:*:*:SLANY
FIR_COPX:*:*:BAKUR:*:*:London S8:EISN2:*:*:BAKUR
FIR_COPX:*:*:VATRY:*:*:London S8:EISN2:*:*:VATRY
FIR_COPX:*:*:LIPGO:*:*:London S8:EISN2:*:*:BADSI
FIR_COPX:*:*:LIFFY:*:*:London S8:EISN2:*:*:GINIS
FIR_COPX:*:*:BAGSO:*:*:London S7:EISN2:*:*:BAGSO
