FIR_COPX:*:*:GALSO:EGKK:*:EHAA:London S14:*:29000:GALSO

FIR_COPX:*:*:NOGRO:EGSS:*:EHAA:London S14:*:27000:NOGRO
FIR_COPX:*:*:NOGRO:EGSC:*:EHAA:London S14:*:27000:NOGRO
FIR_COPX:*:*:NOGRO:EGGW:*:EHAA:London S14:*:27000:NOGRO
FIR_COPX:*:*:NOGRO:EGSH:*:EHAA:London S14:*:27000:NOGRO

FIR_COPX:*:*:GALSO:EGMD:*:EHAA:London S14:*:26000:GALSO
FIR_COPX:*:*:GALSO:EGLC:*:EHAA:London S14:*:26000:GALSO
FIR_COPX:*:*:GALSO:EGKB:*:EHAA:London S14:*:26000:GALSO
FIR_COPX:*:*:GALSO:EGMC:*:EHAA:London S14:*:26000:GALSO
FIR_COPX:*:*:GALSO:EGTO:*:EHAA:London S14:*:26000:GALSO

FIR_COPX:*:*:NOGRO:*:*:EHAA:London S14:*:*:NOGRO
FIR_COPX:*:*:ABNED:*:*:EHAA:London S14:*:*:ABNED
FIR_COPX:*:*:GALSO:*:*:EHAA:London S14:*:*:GALSO

;Withdrawn 2018/13 (all GORLO agreements replaced in AD4)

FIR_COPX:*:*:GORLO:EGKK:*:EHAA:London S14:*:29000:GORLO

FIR_COPX:*:*:GORLO:EGSS:*:EHAA:London S14:*:28000:GORLO
FIR_COPX:*:*:GORLO:EGSC:*:EHAA:London S14:*:28000:GORLO
FIR_COPX:*:*:GORLO:EGGW:*:EHAA:London S14:*:28000:GORLO
FIR_COPX:*:*:GORLO:EGSH:*:EHAA:London S14:*:28000:GORLO

FIR_COPX:*:*:GORLO:EGMD:*:EHAA:London S14:*:27000:GORLO
FIR_COPX:*:*:GORLO:EGLC:*:EHAA:London S14:*:27000:GORLO
FIR_COPX:*:*:GORLO:EGKB:*:EHAA:London S14:*:27000:GORLO
FIR_COPX:*:*:GORLO:EGMC:*:EHAA:London S14:*:27000:GORLO
FIR_COPX:*:*:GORLO:EGTO:*:EHAA:London S14:*:27000:GORLO

FIR_COPX:*:*:GORLO:*:*:EHAA:London S14:*:*:GORLO
