;LFEE HN FL345+

FIR_COPX:*:*:KESAX:EGKK:*:LFEE HN:London S17:*:35000:KESAX

FIR_COPX:*:*:ABNUR:*:*:LFEE HN:London S17:*:*:ABNUR
FIR_COPX:*:*:KESAX:*:*:LFEE HN:London S17:*:*:KESAX
FIR_COPX:*:*:SOSUN:*:*:LFEE HN:London S17:*:*:SOSUN

;LFEE UN FL265-FL345

FIR_COPX:*:*:KESAX:EGLF:*:LFEE UN:London S17:*:28000:KESAX

FIR_COPX:*:*:KESAX:EGHL:*:LFEE UN:London S17:*:28000:KESAX
FIR_COPX:*:*:KESAX:EGLK:*:LFEE UN:London S17:*:28000:KESAX
FIR_COPX:*:*:KESAX:EGTD:*:LFEE UN:London S17:*:28000:KESAX
FIR_COPX:*:*:KESAX:EGTF:*:LFEE UN:London S17:*:28000:KESAX
FIR_COPX:*:*:KESAX:EGVO:*:LFEE UN:London S17:*:28000:KESAX

FIR_COPX:*:*:KESAX:EGHI:*:LFEE UN:London S17:*:28000:KESAX
FIR_COPX:*:*:KESAX:EGHH:*:LFEE UN:London S17:*:28000:KESAX

FIR_COPX:*:*:ABNUR:*:*:LFEE UN:London S17:*:*:ABNUR
FIR_COPX:*:*:KESAX:*:*:LFEE UN:London S17:*:*:KESAX
FIR_COPX:*:*:SOSUN:*:*:LFEE UN:London S17:*:*:SOSUN
