;Sector 14
FIR_COPX:*:*:SASKI:EGSS:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGGW:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGSC:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGSH:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGLC:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGKB:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGMC:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGTO:*:EDYY Koksy:London S14:*:28000:KEGIT
FIR_COPX:*:*:SASKI:EGSS:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGGW:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGSC:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGSH:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGLC:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGKB:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGMC:*:EDYY Koksy:London S14:*:28000:IMPOH
FIR_COPX:*:*:SASKI:EGTO:*:EDYY Koksy:London S14:*:28000:IMPOH

FIR_COPX:BULAM:*:*:EGKK:*:EDYY Koksy:London S14:*:29000:BULAM

FIR_COPX:*:*:SASKI:*:*:EDYY Koksy:London S14:*:*:SASKI
FIR_COPX:*:*:RAPIX:*:*:EDYY Koksy:London S14:*:*:RAPIX

;Sector 13
FIR_COPX:*:*:SASKI:*:*:EDYY Koksy:London S13:*:*:SASKI
FIR_COPX:*:*:RAPIX:*:*:EDYY Koksy:London S13:*:*:RAPIX
