;Runway 07/25
N054.38.42.829 W006.15.40.900 N054.34.55.214 W006.29.45.712 
N054.34.29.923 W006.31.19.419 N054.34.04.632 W006.32.53.093 
N054.33.39.342 W006.34.26.734 N054.32.48.760 W006.37.33.921 
N054.38.44.743 W006.17.36.748 N054.37.50.334 W006.16.53.048 
N054.37.54.162 W006.20.44.638 N054.36.59.753 W006.20.00.954 
N054.37.03.581 W006.23.52.399 N054.36.09.171 W006.23.08.730 
N054.36.13.000 W006.27.00.030 N054.35.18.590 W006.26.16.376 
N054.35.22.418 W006.30.07.532 N054.34.28.009 W006.29.23.893 
N054.39.10.034 W006.16.02.754 N054.38.42.829 W006.15.40.900 
N054.38.19.453 W006.19.10.709 N054.37.52.248 W006.18.48.863 
N054.37.28.871 W006.22.18.535 N054.37.01.667 W006.21.56.696 
N054.36.38.290 W006.25.26.231 N054.36.11.086 W006.25.04.400 
N054.35.47.709 W006.28.33.797 N054.35.20.504 W006.28.11.974 
N054.34.04.632 W006.32.53.093 N054.33.37.428 W006.32.31.280 
N054.33.14.051 W006.36.00.344 N054.32.46.846 W006.35.38.539 
N054.40.11.252 W006.10.12.130 N054.43.58.611 W005.56.03.674 
N054.44.23.874 W005.54.29.238 N054.44.49.136 W005.52.54.769 
N054.45.14.398 W005.51.20.267 N054.46.04.922 W005.48.11.166 
N054.40.11.252 W006.10.12.130 N054.39.44.041 W006.09.50.288 
N054.41.01.776 W006.07.03.813 N054.40.34.565 W006.06.41.963 
N054.41.52.301 W006.03.55.365 N054.41.25.089 W006.03.33.507 
N054.42.42.825 W006.00.46.786 N054.42.15.614 W006.00.24.922 
N054.43.33.349 W005.57.38.078 N054.43.06.138 W005.57.16.205 
N054.41.03.726 W006.08.59.834 N054.40.09.303 W006.08.16.142 
N054.41.54.250 W006.05.51.458 N054.40.59.827 W006.05.07.751 
N054.42.44.774 W006.02.42.953 N054.41.50.352 W006.01.59.231 
N054.43.35.299 W005.59.34.317 N054.42.40.876 W005.58.50.580 
N054.44.25.823 W005.56.25.550 N054.43.31.400 W005.55.41.798 
N054.45.16.347 W005.53.16.653 N054.44.49.136 W005.52.54.769 
N054.46.06.871 W005.50.07.624 N054.45.39.660 W005.49.45.733 
N054.40.07.114 W006.10.25.475 N054.42.22.085 W005.53.33.429 
N054.38.26.241 W006.16.31.062 N054.32.16.844 W006.30.05.606 
;Runway 17/35
N054.40.25.567 W006.14.15.191 N054.48.58.992 W006.19.05.686 
N054.51.50.133 W006.20.42.974 N054.53.44.228 W006.21.47.960 
N054.40.34.863 W006.13.25.862 N054.40.25.567 W006.14.15.191 
N054.42.28.957 W006.14.30.201 N054.42.19.662 W006.15.19.569 
N054.44.23.051 W006.15.34.641 N054.44.13.756 W006.16.24.047 
N054.46.17.146 W006.16.39.182 N054.46.07.850 W006.17.28.627 
N054.48.11.240 W006.17.43.824 N054.48.01.945 W006.18.33.307 
N054.41.31.910 W006.13.58.019 N054.41.13.319 W006.15.36.716 
N054.43.26.004 W006.15.02.409 N054.43.07.413 W006.16.41.182 
N054.45.20.099 W006.16.06.899 N054.45.01.508 W006.17.45.750 
N054.47.14.193 W006.17.11.490 N054.46.55.602 W006.18.50.419 
N054.49.08.287 W006.18.16.183 N054.48.49.696 W006.19.55.189 
N054.50.53.086 W006.20.10.519 N054.50.43.791 W006.21.00.061 
N054.52.47.181 W006.21.15.454 N054.52.37.885 W006.22.05.035 
N054.37.36.140 W006.12.39.863 N054.29.02.686 W006.07.52.113 
N054.28.05.635 W006.07.20.264 N054.27.08.585 W006.06.48.441 
N054.26.11.534 W006.06.16.641 N054.24.17.434 W006.05.13.117 
N054.36.48.380 W006.11.18.536 N054.36.29.799 W006.12.57.047 
N054.34.54.279 W006.10.14.506 N054.34.35.698 W006.11.52.940 
N054.33.00.178 W006.09.10.575 N054.32.41.597 W006.10.48.933 
N054.31.06.077 W006.08.06.743 N054.30.47.496 W006.09.45.025 
N054.29.11.976 W006.07.03.010 N054.28.53.395 W006.08.41.216 
N054.37.36.140 W006.12.39.863 N054.37.26.849 W006.13.29.138 
N054.35.42.039 W006.11.35.745 N054.35.32.748 W006.12.24.981 
N054.33.47.938 W006.10.31.726 N054.33.38.647 W006.11.20.924 
N054.31.53.837 W006.09.27.806 N054.31.44.547 W006.10.16.966 
N054.29.59.736 W006.08.23.986 N054.29.50.446 W006.09.13.108 
N054.27.08.585 W006.06.48.441 N054.26.59.294 W006.07.37.505 
N054.26.11.534 W006.06.16.641 N054.26.02.244 W006.07.05.687 
N054.25.14.484 W006.05.44.867 N054.25.05.194 W006.06.33.894 
