;Blue_Background
REGIONNAME Belfast Aldergrove
smrBlue N054.43.51.592 W006.23.51.411
N054.44.39.717 W006.00.20.353
N054.35.22.606 W005.59.30.655
N054.34.33.094 W006.23.03.693
;Grass
REGIONNAME Belfast Aldergrove
smrGrass N054.38.58.940 W006.14.19.398
N054.38.45.737 W006.14.13.445
N054.38.45.934 W006.14.11.245
N054.38.42.962 W006.13.58.552
N054.38.40.724 W006.13.48.973
N054.38.36.769 W006.13.45.762
N054.38.37.750 W006.13.42.241
N054.38.37.291 W006.13.41.576
N054.38.39.826 W006.13.27.004
N054.38.30.038 W006.13.22.048
N054.38.25.290 W006.13.13.223
N054.38.25.116 W006.13.10.965
N054.38.25.990 W006.13.09.230
N054.38.34.338 W006.13.03.701
N054.38.40.085 W006.13.06.166
N054.38.40.619 W006.13.03.505
N054.38.46.283 W006.13.05.668
N054.38.46.028 W006.13.07.612
N054.38.51.178 W006.13.09.367
N054.38.52.658 W006.13.14.446
N054.38.58.667 W006.13.17.695
N054.39.00.147 W006.13.18.399
N054.39.03.839 W006.13.15.946
N054.39.03.061 W006.13.12.689
N054.39.04.096 W006.13.08.366
N054.39.08.597 W006.13.05.921
N054.39.09.474 W006.13.03.859
N054.39.12.798 W006.13.03.751
N054.39.16.136 W006.13.01.662
N054.39.19.001 W006.13.04.619
N054.39.23.947 W006.12.46.611
N054.39.22.235 W006.12.45.916
N054.39.22.736 W006.12.35.854
N054.39.20.606 W006.12.22.972
N054.39.20.730 W006.12.19.732
N054.39.25.844 W006.12.20.111
N054.39.28.276 W006.12.23.716
N054.39.45.171 W006.11.21.231
N054.39.56.206 W006.11.39.599
N054.39.47.795 W006.12.11.362
N054.39.52.694 W006.12.14.589
N054.39.50.534 W006.12.19.040
N054.39.50.508 W006.12.24.127
N054.39.54.543 W006.12.27.950
N054.39.51.592 W006.12.47.316
N054.39.50.780 W006.13.12.632
N054.39.51.386 W006.13.34.498
N054.39.53.628 W006.13.44.597
N054.39.53.464 W006.13.57.422
N054.39.24.003 W006.14.12.771
N054.39.22.522 W006.14.25.543
N054.38.57.107 W006.14.28.376
;Runways
REGIONNAME Belfast Aldergrove
black N054.39.26.572 W006.13.43.765
N054.39.26.716 W006.13.43.848
N054.39.26.641 W006.13.45.197
N054.39.26.400 W006.13.45.072
N054.39.26.426 W006.13.44.788
N054.39.26.175 W006.13.44.302
N054.39.26.384 W006.13.43.662
N054.39.26.470 W006.13.43.717
N054.39.26.478 W006.13.43.581
N054.39.26.308 W006.13.43.513
N054.39.25.743 W006.13.45.148
N054.39.25.182 W006.13.44.377
N054.39.25.278 W006.13.43.867
N054.39.25.254 W006.13.43.218
N054.39.25.075 W006.13.42.747
N054.39.16.920 W006.13.38.313
N054.39.11.526 W006.13.58.511
N054.39.11.639 W006.13.59.174
N054.39.11.756 W006.13.59.678
N054.39.12.101 W006.14.00.380
N054.39.12.617 W006.14.00.931
N054.39.12.178 W006.14.02.235
N054.39.11.718 W006.14.01.985
N054.39.11.299 W006.14.01.919
N054.39.10.872 W006.14.02.067
N054.39.10.437 W006.14.02.503
N054.39.10.302 W006.14.03.134
N054.39.10.341 W006.14.04.246
N054.39.09.769 W006.14.06.448
N054.39.09.970 W006.14.06.765
N054.39.10.193 W006.14.06.977
N054.39.10.570 W006.14.07.227
N054.39.10.990 W006.14.07.373
N054.39.11.005 W006.14.08.739
N054.39.10.301 W006.14.08.348
N054.39.10.740 W006.14.09.107
N054.39.10.529 W006.14.09.423
N054.39.09.697 W006.14.07.877
N054.39.09.045 W006.14.07.411
N054.39.08.178 W006.14.10.555
N054.39.06.521 W006.14.09.138
N054.39.07.906 W006.14.04.025
N054.39.07.929 W006.14.03.620
N054.39.07.763 W006.14.02.859
N054.39.07.088 W006.14.00.759
N054.39.07.496 W006.14.00.386
N054.39.07.798 W006.14.01.284
N054.39.08.237 W006.14.01.728
N054.39.08.375 W006.14.01.777
