;Runway 04/22
N054.35.04.000 W005.54.45.000 N054.28.30.000 W006.02.37.000
N054.34.55.000 W005.54.23.000 N054.35.12.000 W005.55.06.000
N054.33.17.000 W005.56.21.000 N054.33.34.000 W005.57.04.000
N054.31.38.000 W005.58.20.000 N054.31.55.000 W005.59.02.000
N054.30.00.000 W006.00.18.000 N054.30.17.000 W006.01.00.000
N054.28.21.000 W006.02.16.000 N054.28.38.000 W006.02.58.000
N054.39.07.000 W005.49.53.000 N054.45.41.000 W005.42.00.000
N054.39.16.000 W005.50.15.000 N054.38.59.000 W005.49.32.000
N054.40.54.000 W005.48.16.000 N054.40.37.000 W005.47.34.000
N054.42.33.000 W005.46.18.000 N054.42.16.000 W005.45.36.000
N054.44.11.000 W005.44.20.000 N054.43.54.000 W005.43.37.000
N054.45.50.000 W005.42.22.000 N054.45.33.000 W005.41.39.000
