;Blue_Background
REGIONNAME Belfast City
smrBlue N054.40.39.960 W006.05.09.973
N054.41.32.945 W005.40.17.576
N054.33.14.985 W005.39.30.947
N054.32.22.574 W006.04.26.707

;Grass
REGIONNAME Belfast City
smrGrass N054.36.39.554 W005.52.29.243
N054.36.41.116 W005.52.26.384
N054.36.42.729 W005.52.23.806
N054.36.43.245 W005.52.23.023
N054.36.43.457 W005.52.22.858
N054.36.43.672 W005.52.22.910
N054.36.43.871 W005.52.23.106
N054.36.44.214 W005.52.23.541
N054.36.44.433 W005.52.24.003
N054.36.44.805 W005.52.23.610
N054.36.44.417 W005.52.22.361
N054.36.44.442 W005.52.21.714
N054.36.44.919 W005.52.20.622
N054.36.47.880 W005.52.15.494
N054.36.48.845 W005.52.14.096
N054.36.50.526 W005.52.11.871
N054.36.52.694 W005.52.09.291
N054.36.54.188 W005.52.07.961
N054.36.54.892 W005.52.07.354
N054.36.56.159 W005.52.06.357
N054.36.57.039 W005.52.05.679
N054.36.57.952 W005.52.04.917
N054.36.58.696 W005.52.04.058
N054.36.59.325 W005.52.03.066
N054.37.00.018 W005.52.01.862
N054.37.00.431 W005.52.00.990
N054.37.00.727 W005.52.00.223
N054.37.01.126 W005.51.59.082
N054.37.02.040 W005.51.58.147
N054.37.02.093 W005.51.57.534
N054.37.02.244 W005.51.57.031
N054.37.06.122 W005.51.53.330
N054.37.10.213 W005.52.02.853
N054.37.43.524 W005.51.22.862
N054.37.50.055 W005.51.39.547
N054.37.11.917 W005.52.25.143
N054.37.12.719 W005.52.27.184
N054.36.59.215 W005.52.43.276
N054.37.00.772 W005.52.46.334
N054.37.00.415 W005.52.46.939
N054.37.00.221 W005.52.48.393
N054.37.01.604 W005.52.51.161
N054.37.01.075 W005.52.54.727
N054.37.00.853 W005.52.54.403
N054.36.59.947 W005.52.55.704
N054.36.59.367 W005.52.57.254
N054.36.55.034 W005.52.55.760
N054.36.45.831 W005.52.55.585
N054.36.39.435 W005.53.00.945
N054.36.37.246 W005.52.50.484
N054.36.36.925 W005.52.48.952
N054.36.36.721 W005.52.48.274
N054.36.33.956 W005.52.42.363
N054.36.33.872 W005.52.41.889
N054.36.33.858 W005.52.41.256
N054.36.33.941 W005.52.40.821
N054.36.34.553 W005.52.39.441
N054.36.38.174 W005.52.31.915

;04/22
REGIONNAME Belfast City
black N054.37.08.589 W005.52.19.161
N054.37.08.513 W005.52.19.453
N054.37.08.486 W005.52.19.726
N054.37.08.478 W005.52.19.896
N054.37.08.517 W005.52.20.072
N054.37.08.594 W005.52.20.274
N054.37.08.634 W005.52.20.495
N054.37.08.621 W005.52.20.669
N054.37.08.792 W005.52.21.125
N054.37.08.906 W005.52.21.594
N054.37.08.494 W005.52.21.805
N054.37.08.339 W005.52.21.323
N054.37.08.158 W005.52.20.961
N054.37.07.995 W005.52.20.700
N054.37.07.689 W005.52.20.545
N054.37.07.480 W005.52.20.538
N054.37.07.295 W005.52.20.620
N054.37.07.120 W005.52.20.803
N054.37.02.767 W005.52.26.099
N054.37.01.767 W005.52.27.281
N054.37.01.665 W005.52.28.259
N054.37.02.166 W005.52.29.493
N054.37.01.679 W005.52.30.095
N054.37.01.177 W005.52.28.899
N054.37.01.092 W005.52.28.803
N054.37.00.591 W005.52.28.643
N054.36.55.869 W005.52.34.247
N054.36.54.250 W005.52.36.287
N054.36.55.707 W005.52.39.253
N054.36.54.130 W005.52.41.162
N054.36.53.265 W005.52.39.491
N054.36.53.155 W005.52.39.591
N054.36.53.747 W005.52.41.285
N054.36.52.045 W005.52.42.926
N054.36.51.143 W005.52.40.200
N054.36.51.058 W005.52.40.065
N054.36.50.967 W005.52.40.097
N054.36.45.654 W005.52.46.554
N054.36.43.301 W005.52.49.292
N054.36.42.680 W005.52.50.728
N054.36.42.670 W005.52.50.850
N054.36.42.689 W005.52.50.996
N054.36.42.783 W005.52.52.065
N054.36.42.376 W005.52.52.773
N054.36.42.237 W005.52.51.890
N054.36.42.180 W005.52.51.619
N054.36.42.089 W005.52.51.431
N054.36.41.960 W005.52.51.279
N054.36.41.781 W005.52.51.174
N054.36.41.654 W005.52.51.197
N054.36.41.039 W005.52.51.999
N054.36.39.927 W005.52.49.206
N054.36.40.398 W005.52.48.690
N054.36.39.581 W005.52.46.652
N054.36.40.027 W005.52.46.076
N054.36.40.441 W005.52.47.092
N054.36.40.574 W005.52.47.350
N054.36.40.807 W005.52.47.654
N054.36.40.917 W005.52.47.687
N054.36.41.079 W005.52.47.391
N054.36.41.239 W005.52.47.160
N054.36.41.489 W005.52.46.909
N054.36.41.654 W005.52.46.814
N054.36.41.827 W005.52.46.773
N054.36.42.011 W005.52.46.711
N054.36.42.195 W005.52.46.571
N054.36.42.439 W005.52.46.285
N054.36.46.209 W005.52.41.775
N054.36.46.304 W005.52.41.593
N054.36.46.389 W005.52.41.426
N054.36.46.470 W005.52.41.148
N054.36.46.513 W005.52.40.901
N054.36.46.558 W005.52.40.583
N054.36.46.564 W005.52.40.251
N054.36.46.513 W005.52.39.898
N054.36.46.415 W005.52.39.531
N054.36.46.125 W005.52.38.834
N054.36.46.677 W005.52.38.308
N054.36.46.941 W005.52.38.990
N054.36.47.096 W005.52.39.221
N054.36.47.252 W005.52.39.379
N054.36.47.439 W005.52.39.467
N054.36.47.667 W005.52.39.516
N054.36.47.940 W005.52.39.437
N054.36.48.163 W005.52.39.364
N054.36.48.359 W005.52.39.142
N054.36.49.807 W005.52.37.419
N054.36.49.935 W005.52.37.291
N054.36.49.988 W005.52.37.178
N054.36.49.978 W005.52.37.076
N054.36.49.878 W005.52.36.726
N054.36.48.749 W005.52.33.639
N054.36.51.277 W005.52.30.610
N054.36.52.368 W005.52.32.752
