;Background
REGIONNAME City of Derry
smrGreen N055.02.50.496 W007.09.45.462
N055.02.50.377 W007.09.45.633
N055.02.50.138 W007.09.45.606
N055.02.47.151 W007.09.40.755
N055.02.39.366 W007.09.45.014
N055.02.37.332 W007.09.56.527
N055.02.36.886 W007.09.56.799
N055.02.31.341 W007.10.28.950
N055.02.30.045 W007.10.34.210
N055.02.30.150 W007.10.35.664
N055.02.26.298 W007.10.57.286
N055.02.25.447 W007.10.56.960
N055.02.24.597 W007.10.53.228
N055.02.24.369 W007.10.53.192
N055.02.24.057 W007.10.53.843
N055.02.22.828 W007.10.53.943
N055.02.21.105 W007.10.54.386
N055.02.20.018 W007.10.54.642
N055.02.18.824 W007.10.54.709
N055.02.15.159 W007.10.56.272
N055.02.15.052 W007.10.55.754
N055.02.16.275 W007.10.48.895
N055.02.17.201 W007.10.41.835
N055.02.19.169 W007.10.30.277
N055.02.20.377 W007.10.24.636
N055.02.20.253 W007.10.23.984
N055.02.20.483 W007.10.23.814
N055.02.23.339 W007.10.07.838
N055.02.24.277 W007.10.07.349
N055.02.24.595 W007.10.04.265
N055.02.23.591 W007.10.04.535
N055.02.23.030 W007.10.04.815
N055.02.20.331 W007.10.08.357
N055.02.20.118 W007.10.07.378
N055.02.19.142 W007.10.07.751
N055.02.18.915 W007.10.08.380
N055.02.14.265 W007.10.09.123
N055.02.14.376 W007.10.06.822
N055.02.13.900 W007.10.06.489
N055.02.14.393 W007.10.02.940
N055.02.14.599 W007.10.02.191
N055.02.14.917 W007.09.58.253
N055.02.08.619 W007.10.01.682
N055.02.09.283 W007.09.52.507
N055.02.17.033 W007.09.48.270
N055.02.17.252 W007.09.44.904
N055.02.18.532 W007.09.44.727
N055.02.21.205 W007.09.37.793
N055.02.21.474 W007.09.32.166
N055.02.20.997 W007.09.31.813
N055.02.21.037 W007.09.30.941
N055.02.20.258 W007.09.25.857
N055.02.20.915 W007.09.20.575
N055.02.18.498 W007.09.19.872
N055.02.17.957 W007.09.18.547
N055.02.38.547 W007.08.54.666
N055.02.38.512 W007.08.54.104
N055.02.37.787 W007.08.54.486
N055.02.36.901 W007.08.50.930
N055.02.39.632 W007.08.37.960
N055.02.39.989 W007.08.36.092
N055.02.41.773 W007.08.42.298
N055.02.43.522 W007.08.49.513
N055.02.43.729 W007.08.50.618
N055.02.53.130 W007.09.42.191

;Disused Runways and Taxiways
REGIONNAME City of Derry
smrTEDisused N055.02.18.651 W007.09.50.411
N055.02.18.592 W007.09.50.087
N055.02.18.476 W007.09.49.541
N055.02.18.380 W007.09.48.940
N055.02.18.349 W007.09.48.422
N055.02.18.359 W007.09.47.922
N055.02.18.444 W007.09.47.451
N055.02.18.709 W007.09.46.646
N055.02.19.292 W007.09.45.054
N055.02.21.094 W007.09.40.402
N055.02.21.237 W007.09.39.986
N055.02.21.481 W007.09.39.375
N055.02.21.630 W007.09.38.913
N055.02.21.720 W007.09.38.524
N055.02.21.852 W007.09.37.923
N055.02.22.149 W007.09.35.202
N055.02.22.711 W007.09.30.271
N055.02.23.194 W007.09.30.391
N055.02.23.146 W007.09.30.752
N055.02.22.402 W007.09.37.956
N055.02.22.317 W007.09.38.613
N055.02.22.152 W007.09.39.196
N055.02.21.930 W007.09.39.918
N055.02.20.960 W007.09.42.342
N055.02.19.110 W007.09.47.074
N055.02.18.950 W007.09.47.462
N055.02.18.866 W007.09.47.805
N055.02.18.813 W007.09.48.221
N055.02.18.807 W007.09.48.600
N055.02.18.844 W007.09.48.970
N055.02.18.924 W007.09.49.405
N055.02.19.094 W007.09.49.701
N055.02.19.300 W007.09.49.942
N055.02.19.671 W007.09.49.979
N055.02.32.862 W007.09.42.697
N055.02.33.016 W007.09.42.448
N055.02.34.564 W007.09.41.272
N055.02.34.638 W007.09.41.541
N055.02.34.670 W007.09.41.726
N055.02.34.755 W007.09.41.772
N055.02.43.057 W007.09.37.383
N055.02.40.751 W007.09.33.688
N055.02.37.845 W007.09.29.237
N055.02.38.015 W007.09.27.729
N055.02.38.036 W007.09.27.516
