;Runway 15
N052.29.27.571 W001.47.21.716 N052.41.00.510 W002.00.17.800
N052.29.37.668 W001.46.57.359 N052.29.17.469 W001.47.46.075
N052.30.56.548 W001.49.36.540 N052.31.16.748 W001.48.47.796
N052.32.35.598 W001.51.27.150 N052.32.55.798 W001.50.38.374
N052.34.34.820 W001.52.29.088 N052.34.14.619 W001.53.17.896
N052.35.53.609 W001.55.08.781 N052.36.13.808 W001.54.19.943
N052.37.52.768 W001.56.10.935 N052.37.32.570 W001.56.59.801
N052.39.11.505 W001.58.50.969 N052.39.31.704 W001.58.02.071
N052.41.10.600 W001.59.53.340 N052.40.50.400 W002.00.42.270
;Runway 33
N052.25.15.310 W001.42.41.560 N052.13.40.460 W001.29.55.160
N052.25.25.411 W001.42.17.257 N052.25.05.214 W001.43.05.865
N052.23.46.234 W001.40.27.379 N052.23.26.038 W001.41.15.957
N052.22.07.025 W001.38.37.636 N052.21.46.829 W001.39.26.185
N052.20.27.792 W001.36.48.033 N052.20.07.594 W001.37.36.551
N052.18.48.524 W001.34.58.566 N052.18.28.329 W001.35.47.049
N052.17.09.233 W001.33.09.230 N052.16.49.036 W001.33.57.686
N052.15.29.913 W001.31.20.035 N052.15.09.717 W001.32.08.461
N052.13.30.360 W001.30.19.360 N052.13.50.560 W001.29.30.970
