BBN11 N052.30.43.410 W001.36.05.250
BBN12 N052.38.19.320 W001.41.32.490
BBN13 N052.21.10.450 W001.39.57.140
BBN14 N052.33.21.250 W001.36.24.990
BBN17 N052.13.28.210 W001.27.24.640
BBN18 N052.35.41.040 W001.43.28.440
BBN26 N052.45.18.380 W001.37.55.190
BBN30 N052.29.36.660 W001.47.31.800
BBN31 N052.29.27.660 W001.47.21.790
BBN32 N052.39.53.600 W001.45.25.830
BBE05 N052.22.18.680 W001.39.25.470
BBE07 N052.26.18.030 W001.36.15.370
BBE09 N052.20.34.310 W001.34.41.320
BBE12 N052.18.52.780 W001.29.19.090
BBE13 N052.15.23.460 W001.33.58.880
BBE16 N052.16.52.240 W001.23.41.050
BBE17 N052.11.47.510 W001.31.07.360
BBE19 N052.15.21.650 W001.19.27.860
BBE20 N052.27.41.030 W001.33.41.830
BBE21 N052.31.46.480 W001.40.20.350
BBE22 N052.09.36.650 W001.22.13.630
BBE23 N052.24.03.940 W001.41.22.060
BBE24 N052.24.40.750 W001.36.54.850
BBE25 N052.27.19.640 W001.35.46.020
BBS02 N052.24.44.880 W001.42.07.450
BBS04 N052.22.55.490 W001.41.22.390
BBS05 N052.22.33.810 W001.39.42.220
BBS06 N052.21.10.450 W001.39.57.140
BBS13 N052.14.51.510 W001.35.47.070
BBS17 N052.11.02.310 W001.33.51.030
BBW01 N052.31.23.700 W001.49.31.200
BBW02 N052.30.28.230 W001.54.30.670
BBW04 N052.27.29.540 W001.56.43.140
