;-EGBB Stands
N052.27.02.630:W001.43.57.800:EGBB Stands:1  
N052.27.02.060:W001.44.00.120:EGBB Stands:2  
N052.27.01.280:W001.44.01.990:EGBB Stands:3  
N052.27.00.130:W001.44.03.140:EGBB Stands:4  
N052.26.59.550:W001.44.04.630:EGBB Stands:5  
N052.26.59.260:W001.44.06.280:EGBB Stands:6  
N052.26.58.860:W001.44.07.200:EGBB Stands:7  
N052.27.02.460:W001.44.05.650:EGBB Stands:8L  
N052.27.01.950:W001.44.05.090:EGBB Stands:8C
N052.27.01.530:W001.44.04.600:EGBB Stands:8R  
N052.27.01.800:W001.44.10.770:EGBB Stands:10  
N052.27.02.340:W001.44.09.720:EGBB Stands:11  
N052.27.02.950:W001.44.08.260:EGBB Stands:12  
N052.27.03.550:W001.44.06.800:EGBB Stands:13  
N052.27.03.820:W001.44.04.710:EGBB Stands:14  
N052.27.04.580:W001.44.02.890:EGBB Stands:15  
N052.27.05.390:W001.44.00.920:EGBB Stands:16  
N052.26.58.660:W001.43.54.050:EGBB Stands:20  
N052.26.57.870:W001.43.55.940:EGBB Stands:21  
N052.26.57.090:W001.43.57.820:EGBB Stands:22  
N052.26.56.310:W001.43.59.710:EGBB Stands:23  
N052.26.55.530:W001.44.01.590:EGBB Stands:24  
N052.26.55.150:W001.44.02.920:EGBB Stands:25  
N052.27.10.560:W001.44.07.870:EGBB Stands:40  
N052.27.09.360:W001.44.10.760:EGBB Stands:41C  
N052.27.08.230:W001.44.11.340:EGBB Stands:41L  
N052.27.09.410:W001.44.09.930:EGBB Stands:41R  
N052.27.07.800:W001.44.14.520:EGBB Stands:42C  
N052.27.06.780:W001.44.15.440:EGBB Stands:42L  
N052.27.07.850:W001.44.13.700:EGBB Stands:42R  
N052.27.09.220:W001.44.16.940:EGBB Stands:54C  
N052.27.10.290:W001.44.16.500:EGBB Stands:54L  
N052.27.09.140:W001.44.17.700:EGBB Stands:54R  
N052.27.10.780:W001.44.13.170:EGBB Stands:55C  
N052.27.12.010:W001.44.12.750:EGBB Stands:55L  
N052.27.10.640:W001.44.13.980:EGBB Stands:55R  
N052.27.12.370:W001.44.09.440:EGBB Stands:56C  
N052.27.13.570:W001.44.08.980:EGBB Stands:56L  
N052.27.12.230:W001.44.10.240:EGBB Stands:56R  
N052.27.14.020:W001.44.05.470:EGBB Stands:57C  
N052.27.15.220:W001.44.05.000:EGBB Stands:57L  
N052.27.13.910:W001.44.06.300:EGBB Stands:57R  
N052.27.15.380:W001.44.02.270:EGBB Stands:58  
N052.27.16.120:W001.44.00.470:EGBB Stands:59  
N052.27.16.780:W001.43.58.890:EGBB Stands:60  
N052.27.17.680:W001.43.57.040:EGBB Stands:61  
N052.27.21.710:W001.44.03.770:EGBB Stands:62  
N052.27.14.150:W001.44.24.250:EGBB Stands:70L  
N052.27.14.680:W001.44.23.020:EGBB Stands:70C  
N052.27.14.530:W001.44.23.620:EGBB Stands:70R  
N052.27.15.420:W001.44.21.850:EGBB Stands:71  
N052.27.16.200:W001.44.19.970:EGBB Stands:72  
N052.27.16.980:W001.44.18.090:EGBB Stands:73  
N052.27.17.770:W001.44.16.200:EGBB Stands:74  
N052.27.18.550:W001.44.14.320:EGBB Stands:75  
N052.27.19.400:W001.44.12.250:EGBB Stands:76  
N052.27.20.160:W001.44.10.420:EGBB Stands:77  
N052.27.20.960:W001.44.11.910:EGBB Stands:80  
N052.27.21.940:W001.44.14.390:EGBB Stands:81 
N052.27.21.260:W001.44.15.610:EGBB Stands:82  
N052.27.20.170:W001.44.17.290:EGBB Stands:83L  
N052.27.19.710:W001.44.17.970:EGBB Stands:83C  
N052.27.19.400:W001.44.19.160:EGBB Stands:83R  
N052.27.18.550:W001.44.20.960:EGBB Stands:84L  
N052.27.17.990:W001.44.21.530:EGBB Stands:84C  
N052.27.17.850:W001.44.22.920:EGBB Stands:84R  
N052.27.16.390:W001.44.23.810:EGBB Stands:85L  
N052.27.16.020:W001.44.24.710:EGBB Stands:85C  
N052.27.15.650:W001.44.25.600:EGBB Stands:85R  
N052.27.14.900:W001.44.27.400:EGBB Stands:86L
N052.27.14.530:W001.44.28.300:EGBB Stands:86C  
N052.27.14.310:W001.44.29.010:EGBB Stand:86R
