;Runway 23
N052.23.09.470 W001.27.03.765 N052.29.14.073 W001.16.13.692
N052.23.05.059 W001.26.57.134 N052.23.13.875 W001.27.10.400
N052.23.41.210 W001.25.38.412 N052.23.58.847 W001.26.04.948
N052.24.34.984 W001.24.46.198 N052.24.26.167 W001.24.32.924
N052.25.19.926 W001.23.40.682 N052.25.02.294 W001.23.14.131
N052.25.47.228 W001.22.08.571 N052.25.56.045 W001.22.21.853
N052.26.40.963 W001.21.16.263 N052.26.23.329 W001.20.49.704
N052.27.44.316 W001.18.25.123 N052.28.01.948 W001.18.51.698
N052.29.22.887 W001.16.26.989 N052.29.05.253 W001.16.00.400
;Runway 05
N052.21.12.692 W001.30.30.699 N052.15.06.738 W001.41.16.792
N052.21.17.100 W001.30.37.331 N052.21.08.282 W001.30.24.073
N052.20.40.893 W001.31.55.893 N052.20.23.265 W001.31.29.384
N052.19.55.862 W001.33.01.159 N052.19.47.045 W001.32.47.906
N052.19.02.001 W001.33.53.146 N052.19.19.631 W001.34.19.646
N052.18.25.757 W001.35.11.596 N052.18.34.573 W001.35.24.841
N052.17.58.317 W001.36.43.250 N052.17.40.689 W001.36.16.765
N052.16.19.329 W001.38.40.238 N052.16.36.957 W001.39.06.710
N052.15.15.551 W001.41.30.021 N052.14.57.921 W001.41.03.565
