;Runway 09/27 NDB
N051.53.36.796 W002.10.32.655 N051.53.31.570 W002.11.49.674
N051.53.31.570 W002.11.49.674 N051.53.33.036 W002.26.40.664
N051.53.31.620 W002.12.09.045 N051.53.46.600 W002.12.08.942
N051.53.31.864 W002.13.45.890 N051.53.46.844 W002.13.45.786
N051.53.32.088 W002.15.22.736 N051.53.47.067 W002.15.22.632
N051.53.32.289 W002.16.59.584 N051.53.47.270 W002.16.59.479
N051.53.47.450 W002.18.36.326 N051.53.17.486 W002.18.36.539
N051.53.32.628 W002.20.13.275 N051.53.47.607 W002.20.13.170
N051.53.32.765 W002.21.50.121 N051.53.47.744 W002.21.50.018
N051.53.32.877 W002.23.26.969 N051.53.47.856 W002.23.26.864
N051.53.32.966 W002.25.03.817 N051.53.47.947 W002.25.03.712
N051.53.48.015 W002.26.40.558 N051.53.18.051 W002.26.40.771
N051.53.40.048 W002.09.41.737 N051.53.51.734 W002.06.48.426
N051.53.51.734 W002.06.48.426 N051.55.14.134 W001.53.45.238
N051.53.46.549 W002.08.05.459 N051.54.01.439 W002.08.08.095
N051.53.53.761 W002.06.29.335 N051.54.08.523 W002.06.33.435
N051.54.03.879 W002.04.53.863 N051.54.18.643 W002.04.57.963
N051.54.13.981 W002.03.18.381 N051.54.28.745 W002.03.22.481
N051.54.38.825 W002.01.46.987 N051.54.09.294 W002.01.38.790
N051.54.34.119 W002.00.07.383 N051.54.48.884 W002.00.11.484
N051.54.44.156 W001.58.31.864 N051.54.58.920 W001.58.35.965
N051.54.54.168 W001.56.56.335 N051.55.08.932 W001.57.00.435
N051.55.04.161 W001.55.20.791 N051.55.18.925 W001.55.24.890
N051.55.28.897 W001.53.49.340 N051.54.59.366 W001.53.41.143
