;EGCB Manchester Barton ATZ
EGCB Manchester Barton ATZ N053.30.18.000 W002.23.23.000 N053.30.17.330 W002.23.05.445 ; Radial 5
EGCB Manchester Barton ATZ N053.30.17.330 W002.23.05.445 N053.30.15.965 W002.22.48.262 ; Radial 10
EGCB Manchester Barton ATZ N053.30.15.965 W002.22.48.262 N053.30.13.702 W002.22.30.873 ; Radial 15
EGCB Manchester Barton ATZ N053.30.13.702 W002.22.30.873 N053.30.10.557 W002.22.14.118 ; Radial 20
EGCB Manchester Barton ATZ N053.30.10.557 W002.22.14.118 N053.30.06.555 W002.21.57.888 ; Radial 25
EGCB Manchester Barton ATZ N053.30.06.555 W002.21.57.888 N053.30.01.726 W002.21.42.307 ; Radial 30
EGCB Manchester Barton ATZ N053.30.01.726 W002.21.42.307 N053.29.56.108 W002.21.27.495 ; Radial 35
EGCB Manchester Barton ATZ N053.29.56.108 W002.21.27.495 N053.29.49.742 W002.21.13.563 ; Radial 40
EGCB Manchester Barton ATZ N053.29.49.742 W002.21.13.563 N053.29.42.678 W002.21.00.617 ; Radial 45
EGCB Manchester Barton ATZ N053.29.42.678 W002.21.00.617 N053.29.34.970 W002.20.48.758 ; Radial 50
EGCB Manchester Barton ATZ N053.29.34.970 W002.20.48.758 N053.29.26.675 W002.20.38.740 ; Radial 55
EGCB Manchester Barton ATZ N053.29.26.675 W002.20.38.740 N053.29.17.858 W002.20.28.646 ; Radial 60
EGCB Manchester Barton ATZ N053.29.17.858 W002.20.28.646 N053.29.08.586 W002.20.20.548 ; Radial 65
EGCB Manchester Barton ATZ N053.29.08.586 W002.20.20.548 N053.28.58.928 W002.20.13.839 ; Radial 70
EGCB Manchester Barton ATZ N053.28.58.928 W002.20.13.839 N053.28.48.960 W002.20.08.571 ; Radial 75
EGCB Manchester Barton ATZ N053.28.48.960 W002.20.08.571 N053.28.38.756 W002.20.04.783 ; Radial 80
EGCB Manchester Barton ATZ N053.28.38.756 W002.20.04.783 N053.28.28.394 W002.20.02.505 ; Radial 85
EGCB Manchester Barton ATZ N053.28.28.394 W002.20.02.505 N053.28.17.954 W002.20.01.753 ; Radial 90
EGCB Manchester Barton ATZ N053.28.17.954 W002.20.01.753 N053.28.07.514 W002.20.02.532 ; Radial 95
EGCB Manchester Barton ATZ N053.28.07.514 W002.20.02.532 N053.27.57.155 W002.20.04.837 ; Radial 100
EGCB Manchester Barton ATZ N053.27.57.155 W002.20.04.837 N053.27.49.000 W002.20.08.000
EGCB Manchester Barton ATZ N053.27.49.000 W002.20.08.000 N053.26.38.000 W002.22.58.000
