EGCB Barton SMAA            S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.28.17.040 W002.26.38.760 N053.29.08.880 W002.26.20.400
                            N053.29.08.880 W002.26.20.400 N053.29.41.640 W002.25.53.400
                            N053.29.41.640 W002.25.53.400 N053.30.07.200 W002.24.52.920
                            N053.30.07.200 W002.24.52.920 N053.30.16.200 W002.23.21.120
                            N053.30.16.200 W002.23.21.120 N053.30.03.600 W002.21.54.360
                            N053.30.03.600 W002.21.54.360 N053.29.39.840 W002.20.49.560
                            N053.29.39.840 W002.20.49.560 N053.29.03.200 W002.20.10.320
                            N053.29.03.200 W002.20.10.320 N053.28.17.760 W002.19.57.720
                            N053.28.17.760 W002.19.57.720 N053.27.43.920 W002.20.08.520
                            N053.27.43.920 W002.20.08.520 N053.26.20.760 W002.23.27.240
                            N053.26.20.760 W002.23.27.240 N053.26.28.320 W002.24.39.960
                            N053.26.28.320 W002.24.39.960 N053.26.57.840 W002.25.41.160
                            N053.26.57.840 W002.25.41.160 N053.27.32.040 W002.26.26.520
                            N053.27.32.040 W002.26.26.520 N053.28.17.040 W002.26.38.760
