;Runway 23R
N053.22.56.122 W002.12.56.863 N053.34.14.469 W001.49.20.975 
N053.25.12.524 W002.09.33.368 N053.24.25.836 W002.08.30.140 
N053.28.20.953 W002.03.00.785 N053.27.34.265 W002.01.57.480 
N053.34.37.813 W001.49.52.706 N053.33.51.125 W001.48.49.243 
N053.31.17.711 W001.56.11.387 N053.30.54.367 W001.55.39.695 
N053.23.45.480 W002.11.54.331 N053.23.22.136 W002.11.22.733 
N053.24.23.166 W002.10.35.965 N053.24.11.494 W002.10.20.162 
N053.25.38.538 W002.07.59.118 N053.25.26.866 W002.07.43.307 
N053.26.16.224 W002.06.40.636 N053.26.04.552 W002.06.24.822 
N053.26.53.909 W002.05.22.116 N053.26.42.237 W002.05.06.297 
N053.27.31.595 W002.04.03.557 N053.27.19.923 W002.03.47.734 
N053.28.46.967 W002.01.26.322 N053.28.35.295 W002.01.10.492 
N053.29.24.653 W002.00.07.647 N053.29.12.981 W001.59.51.813 
N053.30.02.339 W001.58.48.932 N053.29.50.667 W001.58.33.094 
N053.30.40.025 W001.57.30.179 N053.30.28.353 W001.57.14.337 
N053.31.55.397 W001.54.52.556 N053.31.43.725 W001.54.36.706 
N053.32.33.083 W001.53.33.685 N053.32.21.411 W001.53.17.832 
N053.33.10.769 W001.52.14.776 N053.32.59.097 W001.51.58.918 
N053.33.48.455 W001.50.55.828 N053.33.36.783 W001.50.39.966 
;Runway 05R
N053.18.39.647 W002.21.14.555 N053.07.20.567 W002.44.33.271
N053.18.39.647 W002.21.14.555 N053.18.27.983 W002.20.58.769
N053.18.01.920 W002.22.32.585 N053.17.50.256 W002.22.16.803
N053.17.24.193 W002.23.50.577 N053.17.12.530 W002.23.34.799
N053.16.46.467 W002.25.08.531 N053.16.23.139 W002.24.36.982
N053.16.08.740 W002.26.26.446 N053.15.57.076 W002.26.10.676
N053.15.31.013 W002.27.44.324 N053.15.19.350 W002.27.28.557
N053.14.53.287 W002.29.02.163 N053.14.41.623 W002.28.46.400
N053.14.15.560 W002.30.19.964 N053.14.03.896 W002.30.04.205
N053.13.37.833 W002.31.37.727 N053.13.14.506 W002.31.06.217
N053.13.00.107 W002.32.55.452 N053.12.48.443 W002.32.39.701
N053.12.22.380 W002.34.13.139 N053.12.10.716 W002.33.57.391
N053.11.44.653 W002.35.30.788 N053.11.32.990 W002.35.15.044
N053.11.06.927 W002.36.48.399 N053.10.55.263 W002.36.32.659
N053.10.29.200 W002.38.05.972 N053.10.05.873 W002.37.34.500
N053.09.51.473 W002.39.23.507 N053.09.39.810 W002.39.07.775
N053.09.13.747 W002.40.41.005 N053.09.02.083 W002.40.25.277
N053.08.36.020 W002.41.58.465 N053.08.24.356 W002.41.42.740
N053.07.58.293 W002.43.15.887 N053.07.46.630 W002.43.00.166
N053.07.20.567 W002.44.33.271 N053.06.57.239 W002.44.01.838
;Runway 05L
N053.19.35.779 W002.19.52.226 N053.08.16.993 W002.43.11.847
N053.19.47.446 W002.20.08.011 N053.19.35.779 W002.19.52.226
N053.19.09.736 W002.21.26.088 N053.18.58.069 W002.21.10.307
N053.18.32.026 W002.22.44.127 N053.18.20.359 W002.22.28.350
N053.18.05.982 W002.24.17.900 N053.17.42.648 W002.23.46.354
N053.17.16.605 W002.25.20.089 N053.17.04.938 W002.25.04.320
N053.16.38.894 W002.26.38.013 N053.16.27.227 W002.26.22.247
N053.16.01.184 W002.27.55.898 N053.15.49.517 W002.27.40.137
N053.15.23.474 W002.29.13.746 N053.15.11.807 W002.28.57.988
N053.14.57.430 W002.30.47.309 N053.14.34.096 W002.30.15.801
N053.14.08.053 W002.31.49.327 N053.13.56.386 W002.31.33.577
N053.13.30.343 W002.33.07.060 N053.13.18.676 W002.32.51.314
N053.12.52.632 W002.34.24.755 N053.12.40.965 W002.34.09.013
N053.12.14.922 W002.35.42.413 N053.12.03.255 W002.35.26.674
N053.11.48.879 W002.37.15.767 N053.11.25.544 W002.36.44.298
N053.10.59.501 W002.38.17.614 N053.10.47.834 W002.38.01.883
N053.10.21.791 W002.39.35.158 N053.10.10.124 W002.39.19.431
N053.09.44.080 W002.40.52.664 N053.09.32.413 W002.40.36.941
N053.09.06.370 W002.42.10.132 N053.08.54.703 W002.41.54.413
N053.08.40.327 W002.43.43.278 N053.08.16.993 W002.43.11.847
