C23LF N053.27.12.820 W002.03.29.440
C23LI N053.29.05.020 W001.59.34.990
D046A N053.22.16.440 W002.14.19.790
D051G N053.25.48.840 W002.06.38.560
D051L N053.28.56.670 W002.00.07.640
D057A N053.22.06.840 W002.14.06.170
D079B N053.23.53.490 W003.04.47.180
D079P N053.26.28.450 W002.41.47.380
D181H N053.36.38.320 W002.06.11.980
D181L N053.32.38.700 W002.06.11.980
D186X N053.20.46.320 W002.10.01.200
D219I N053.37.32.350 W002.15.30.340
D219P N053.32.01.130 W002.22.42.470
D231C N053.19.21.050 W002.19.48.180
D253H N053.19.06.000 W002.28.30.400
D253L N053.17.55.840 W002.34.52.960
D253M N053.17.38.250 W002.36.28.550
D253O N053.17.00.160 W002.39.38.180
D253P N053.16.45.350 W002.41.15.170
D294G N053.24.13.850 W002.26.26.420
D301H N053.25.34.850 W002.27.08.690
D333F N053.26.44.150 W002.20.21.840
DE05L N053.21.44.480 W002.15.25.700
DOMIG N053.32.11.720 W001.53.03.470
HON58 N053.12.46.610 W002.23.55.270
MC02A N053.22.46.700 W002.13.17.260
MC02B N053.22.37.000 W002.13.03.770
OSNAP N053.25.12.220 W001.54.21.400
POL28 N053.16.47.760 W002.10.38.990
POL33 N053.11.49.550 W002.11.26.070
POL34 N053.16.49.490 W002.38.52.860
POL36 N053.15.59.210 W002.42.37.940
TABLY N053.16.19.000 W002.27.02.000
TINVA N053.32.57.590 W002.04.49.540
WAL33 N053.29.30.670 W002.13.48.230
XOBRO N053.28.17.000 W002.25.18.000
XUMAT N053.27.57.000 W002.28.23.000

;Runway Fixes for SIDs and STARs
CD05L N053.15.04.830 W002.30.52.690
CD05R N053.14.38.130 W002.28.38.980
CF23R N053.29.11.770 W001.59.55.300
CI05L N053.14.33.900 W002.30.13.480
CI05R N053.16.50.310 W002.24.59.620
MCTR3 N053.19.36.354 W002.19.50.900 ; SANBA1R 3DME MCT
MCTR5 N053.19.29.233 W002.23.34.063 ; SANBA SIDS 5 DME MCT
MCTL3 N053.19.21.490 W002.19.48.416 ; SANBA1Y 3.2DME MCT
MCTSB N053.18.40.897 W002.26.50.400 ; SANBA SIDS DUMMY WP
RW05L N053.20.51.190 W002.17.15.940
RW05R N053.19.55.100 W002.18.38.380
RW23L N053.20.53.350 W002.16.37.950
RW23R N053.21.40.750 W002.15.33.410
