Manchester RMA Westerlies   S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.36.50.000 W001.52.16.000 N053.27.19.000 W001.46.17.000 ;Outer boundary
                            N053.27.19.000 W001.46.17.000 N053.27.08.819 W001.47.56.299
                            N053.27.08.819 W001.47.56.299 N053.26.56.000 W001.50.00.000
                            N053.26.56.000 W001.50.00.000 N053.26.14.000 W001.50.24.000
                            N053.26.14.000 W001.50.24.000 N053.22.57.150 W001.49.08.427
                            N053.22.57.150 W001.49.08.427 N053.16.47.000 W001.46.46.000
                            N053.16.47.000 W001.46.46.000 N053.14.18.000 W002.01.45.100
                            N053.14.18.000 W002.01.45.100 N053.21.25.290 W002.15.44.240
                            N053.21.25.290 W002.15.44.240 N053.28.14.097 W002.25.41.097
                            N053.28.14.097 W002.25.41.097 N053.20.10.000 W002.50.59.000
                            N053.20.10.000 W002.50.59.000 N053.29.20.000 W002.50.59.000
                            N053.29.20.000 W002.50.59.000 N053.34.57.596 W002.35.20.191
                            N053.34.57.596 W002.35.20.191 N053.40.08.090 W002.20.57.260
                            N053.40.08.090 W002.20.57.260 N053.36.50.000 W001.52.16.000

                            N053.34.57.596 W002.35.20.191 N053.28.14.097 W002.25.41.097 ;Y-X border

                            N053.21.25.290 W002.15.44.240 N053.40.08.090 W002.20.57.260 ;MCT-ROSUN

                            N053.21.25.290 W002.15.44.240 N053.38.43.050 W002.08.38.270 ;MCT-POL

                            N053.21.25.290 W002.15.44.240 N053.23.56.000 W001.59.55.000 ;MCT R080
                            N053.23.56.000 W001.59.55.000 N053.22.57.150 W001.49.08.427

                            N053.25.13.839 W002.16.30.000 N053.25.12.925 W002.15.54.979 ;4 NM ARP range
                            N053.25.12.925 W002.15.54.979 N053.25.10.189 W002.15.20.224
                            N053.25.10.189 W002.15.20.224 N053.25.05.654 W002.14.46.000
                            N053.25.05.654 W002.14.46.000 N053.24.59.353 W002.14.12.568
                            N053.24.59.353 W002.14.12.568 N053.24.51.334 W002.13.40.181
                            N053.24.51.334 W002.13.40.181 N053.24.41.659 W002.13.09.087
                            N053.24.41.659 W002.13.09.087 N053.24.30.403 W002.12.39.522
                            N053.24.30.403 W002.12.39.522 N053.24.17.650 W002.12.11.711
                            N053.24.17.650 W002.12.11.711 N053.24.03.498 W002.11.45.866
                            N053.24.03.498 W002.11.45.866 N053.23.48.055 W002.11.22.183
                            N053.23.48.055 W002.11.22.183 N053.23.31.440 W002.11.00.843
                            N053.23.31.440 W002.11.00.843 N053.23.13.779 W002.10.42.008
                            N053.23.13.779 W002.10.42.008 N053.22.55.206 W002.10.25.822
                            N053.22.55.206 W002.10.25.822 N053.22.35.864 W002.10.12.407
                            N053.22.35.864 W002.10.12.407 N053.22.15.900 W002.10.01.866
                            N053.22.15.900 W002.10.01.866 N053.21.55.466 W002.09.54.279
                            N053.21.55.466 W002.09.54.279 N053.21.34.718 W002.09.49.703
                            N053.21.34.718 W002.09.49.703 N053.21.13.813 W002.09.48.174
                            N053.21.13.813 W002.09.48.174 N053.20.52.911 W002.09.49.703
                            N053.20.52.911 W002.09.49.703 N053.20.32.171 W002.09.54.279
                            N053.20.32.171 W002.09.54.279 N053.20.11.751 W002.10.01.866
                            N053.20.11.751 W002.10.01.866 N053.19.51.805 W002.10.12.407
                            N053.19.51.805 W002.10.12.407 N053.19.32.486 W002.10.25.822
                            N053.19.32.486 W002.10.25.822 N053.19.13.941 W002.10.42.008
                            N053.19.13.941 W002.10.42.008 N053.18.56.309 W002.11.00.843
                            N053.18.56.309 W002.11.00.843 N053.18.39.725 W002.11.22.183
                            N053.18.39.725 W002.11.22.183 N053.18.24.315 W002.11.45.866
                            N053.18.24.315 W002.11.45.866 N053.18.10.196 W002.12.11.711
                            N053.18.10.196 W002.12.11.711 N053.17.57.475 W002.12.39.522
                            N053.17.57.475 W002.12.39.522 N053.17.46.248 W002.13.09.087
                            N053.17.46.248 W002.13.09.087 N053.17.36.600 W002.13.40.181
                            N053.17.36.600 W002.13.40.181 N053.17.28.604 W002.14.12.568
                            N053.17.28.604 W002.14.12.568 N053.17.22.322 W002.14.46.000
                            N053.17.22.322 W002.14.46.000 N053.17.17.800 W002.15.20.224
                            N053.17.17.800 W002.15.20.224 N053.17.15.073 W002.15.54.979
                            N053.17.15.073 W002.15.54.979 N053.17.14.162 W002.16.30.000
                            N053.17.14.162 W002.16.30.000 N053.17.15.073 W002.17.05.022
                            N053.17.15.073 W002.17.05.022 N053.17.17.800 W002.17.39.777
                            N053.17.17.800 W002.17.39.777 N053.17.22.322 W002.18.14.001
                            N053.17.22.322 W002.18.14.001 N053.17.28.604 W002.18.47.433
                            N053.17.28.604 W002.18.47.433 N053.17.36.600 W002.19.19.820
                            N053.17.36.600 W002.19.19.820 N053.17.46.248 W002.19.50.914
                            N053.17.46.248 W002.19.50.914 N053.17.57.475 W002.20.20.479
                            N053.17.57.475 W002.20.20.479 N053.18.10.196 W002.20.48.290
                            N053.18.10.196 W002.20.48.290 N053.18.24.315 W002.21.14.135
                            N053.18.24.315 W002.21.14.135 N053.18.39.725 W002.21.37.817
                            N053.18.39.725 W002.21.37.817 N053.18.56.309 W002.21.59.157
                            N053.18.56.309 W002.21.59.157 N053.19.13.941 W002.22.17.992
                            N053.19.13.941 W002.22.17.992 N053.19.32.486 W002.22.34.179
                            N053.19.32.486 W002.22.34.179 N053.19.51.805 W002.22.47.594
                            N053.19.51.805 W002.22.47.594 N053.20.11.751 W002.22.58.135
                            N053.20.11.751 W002.22.58.135 N053.20.32.171 W002.23.05.722
                            N053.20.32.171 W002.23.05.722 N053.20.52.911 W002.23.10.298
                            N053.20.52.911 W002.23.10.298 N053.21.13.813 W002.23.11.827
                            N053.21.13.813 W002.23.11.827 N053.21.34.718 W002.23.10.298
                            N053.21.34.718 W002.23.10.298 N053.21.55.466 W002.23.05.722
                            N053.21.55.466 W002.23.05.722 N053.22.15.900 W002.22.58.135
                            N053.22.15.900 W002.22.58.135 N053.22.35.864 W002.22.47.594
                            N053.22.35.864 W002.22.47.594 N053.22.55.206 W002.22.34.179
                            N053.22.55.206 W002.22.34.179 N053.23.13.779 W002.22.17.992
                            N053.23.13.779 W002.22.17.992 N053.23.31.440 W002.21.59.157
                            N053.23.31.440 W002.21.59.157 N053.23.48.055 W002.21.37.817
                            N053.23.48.055 W002.21.37.817 N053.24.03.498 W002.21.14.135
                            N053.24.03.498 W002.21.14.135 N053.24.17.650 W002.20.48.290
                            N053.24.17.650 W002.20.48.290 N053.24.30.403 W002.20.20.479
