;Terminal 1
"1"     N053.21.39.300 W002.16.25.420 standHold
"2"     N053.21.38.770 W002.16.29.890 standHold
"3"     N53.21.38.239 W02.16.26.452 standHold
"4"     N053.21.37.100 W002.16.29.720 standHold
"5"     N53.21.36.637 W02.16.26.713 standHold
"6"     N053.21.35.220 W002.16.29.540 standHold
"7"     N53.21.35.252 W02.16.26.759 standHold
"8"     N053.21.33.470 W002.16.30.040 standHold
"9"     N53.21.33.776 W02.16.27.043 standHold
"10"    N53.21.31.994 W02.16.30.029 standHold
"11"    N53.21.32.262 W02.16.27.075 standHold
"12"    N053.21.30.770 W002.16.30.260 standHold
"14"    N53.21.30.298 W02.16.28.622 standHold
"15"    N053.21.30.980 W002.16.27.350 standHold
"16"    N053.21.39.290 W002.16.22.990 standHold
"17"    N53.21.39.232 W02.16.20.566 standHold
"18"    N53.21.39.138 W02.16.17.924 standHold
"21"    N53.21.40.322 W02.16.31.404 standHold
"22"    N53.21.44.815 W02.16.34.222 standHold
"23"    N053.21.42.120 W002.16.34.040 standHold
"24"    N53.21.45.349 W02.16.36.877 standHold
"25"    N053.21.42.480 W002.16.36.900 standHold
"26"    N53.21.45.807 W02.16.39.292 standHold
"27"    N53.21.42.910 W02.16.39.837 standHold
"28"    N53.21.46.424 W02.16.41.373 standHold
"29"    N053.21.43.470 W002.16.43.170 standHold
"31"    N053.21.44.580 W002.16.44.840 standHold
"32"    N053.21.45.730 W002.16.43.950 standHold
; Terminal 3
"41"    N053.21.37.930 W002.16.16.220 standHold
"42"    N053.21.36.080 W002.16.15.750 standHold
"43"    N53.21.34.241 W02.16.15.585 standHold
"44"    N53.21.32.897 W02.16.15.194 standHold
"47"    N53.21.32.365 W02.16.13.422 standHold
"48"    N53.21.33.421 W02.16.12.262 standHold
"49"    N53.21.35.542 W02.16.11.988 standHold
"51"    N53.21.37.669 W02.16.08.767 standHold
"53"    N53.21.39.725 W02.16.05.329 standHold
"55"    N53.21.41.785 W02.16.00.591 standHold
"57"	N053.21.40.990 W002.15.57.510 standHold
; West Apron
"60"    N53.21.32.471 W02.16.48.475 standHold
"62"    N53.21.35.957 W02.16.48.765 standHold
"64"    N53.21.39.310 W02.16.54.123 standHold
"66"    N53.21.42.387 W02.16.58.904 standHold
"68"    N53.21.46.667 W02.17.04.306 standHold
"70"    N53.21.50.765 W02.17.11.029 standHold
"72"	N53.21.54.682 W02.17.17.888 standHold
"74"	N53.21.58.423 W02.17.24.082 standHold
"80"    N53.21.49.353 W02.16.52.878 standHold
"82"    N053.21.53.380 W002.16.59.400 standHold
"84"    N053.21.57.090 W002.17.05.730 standHold
"86"	N053.22.02.670 W002.17.15.880 standHold
; Terminal 2
"200"   N53.21.50.365 W02.16.32.042 standHold
"202"  N53.21.51.543 W02.16.35.259 standHold
"204"  N53.21.53.685 W02.16.38.664 standHold
"206"  N53.21.55.801 W02.16.42.391 standHold
"208"  N53.21.57.836 W02.16.45.821 standHold
"210"  N53.21.59.911 W02.16.49.298 standHold
"212"  N53.22.02.099 W02.16.52.809 standHold
"214"  N53.22.04.190 W02.16.56.254 standHold
; Terminal 2 remote
"216"   N53.22.06.811 W02.17.00.700 standHold
"218"   N53.22.09.329 W02.17.04.634 standHold
"231"   N53.21.51.274 W02.16.49.490 standHold
"235"   N53.21.54.223 W02.16.54.578 standHold
"239"   N53.21.56.695 W02.16.58.686 standHold
"243"   N53.21.59.242 W02.17.02.446 standHold
"245"   N53.22.03.309 W02.17.08.303 standHold
"249"   N53.22.06.136 W02.17.12.753 standHold
"301"	N053.21.45.401 W002.15.48.370 standHold
"303"	N053.21.46.535 W002.15.46.137 standHold
"305"	N053.21.47.427 W002.15.43.275 standHold

;North Side
"A1"    N53.20.45.091 W02.17.38.178 smrRed
"A2"    N53.20.50.565 W02.17.34.317 smrCCyellow
"A3"    N53.20.57.890 W02.17.21.125 smrCCyellow
"A4"    N53.21.07.102 W02.17.03.016 smrCCyellow
"A5"    N53.21.21.521 W02.16.48.145 smrCCyellow
"A6"    N53.21.28.158 W02.16.43.992 smrCCyellow
"AF1"   N53.20.56.654 W02.17.14.446 smrRed
"AG1"   N53.20.49.273 W02.17.26.957 smrRed
"B1"    N53.21.05.100 W02.16.57.070 smrRed
"B2"    N53.21.07.480 W02.16.56.750 smrCCyellow
"B3"    N53.21.13.024 W02.16.48.699 smrCCyellow
"B4"    N53.21.23.289 W02.16.36.477 smrCCyellow
"B5"    N053.21.25.123 W002.16.33.202 smrCCyellow
"B6"    N053.21.27.907 W002.16.28.442 smrCCyellow
"BD"    N53.21.07.393 W02.16.51.407 smrRed
"BZ1"   N53.20.59.915 W02.16.45.550 smrRed
"C1"    N53.21.19.133 W02.16.45.978 smrCCyellow
"D1"    N53.21.20.069 W02.16.25.743 smrRed
"D2"    N53.21.20.795 W02.16.26.731 smrCCyellow
"D3"    N53.21.21.207 W02.16.33.850 smrCCyellow
"D4"    N53.21.24.702 W02.16.36.362 smrCCyellow
"D5"    N53.21.29.113 W02.16.39.798 smrCCyellow
"D6"    N53.21.35.539 W02.16.39.555 smrCCyellow
"D7"    N53.21.46.739 W02.16.51.431 smrCCyellow
"D8"    N53.21.51.636 W02.16.47.893 smrCCyellow
"DZ1"   N53.21.12.341 W02.16.21.349 smrRed
"F1"    N53.21.22.892 W02.16.19.491 smrRed
"F2"    N53.21.23.659 W02.16.20.499 smrCCyellow
"FZ1"   N53.21.17.129 W02.16.10.825 smrRed
"G1"    N53.21.30.146 W02.16.03.696 smrRed
"G2"    N53.21.31.197 W02.16.04.962 smrCCyellow
"G3"    N53.21.33.400 W02.16.09.557 smrCCyellow
"G4"    N53.21.38.791 W02.16.01.920 smrCCyellow
"G5"    N53.21.41.383 W02.15.56.087 smrCCyellow
"G6"    N53.21.38.216 W02.15.57.408 smrCCyellow
"H1"    N53.21.31.606 W02.15.58.872 smrRed
"H2"    N53.21.33.494 W02.15.59.353 smrCCyellow
"H3"    N53.21.36.019 W02.16.00.964 smrCCyellow
"HZ1"   N53.21.22.402 W02.16.00.878 smrRed
"J1"    N53.21.44.566 W02.15.31.786 smrRed
"JS1"   N53.21.42.969 W02.15.37.093 smrCCyellow
"J2"    N53.21.45.134 W02.15.40.038 smrCCyellow
"J3"    N53.21.44.644 W02.15.42.782 smrCCyellow
"J4"    N53.21.37.161 W02.15.52.820 smrCCyellow
"J5"    N53.21.33.469 W02.16.05.337 smrCCyellow
"J6"    N53.21.27.362 W02.16.14.702 smrCCyellow
"B7"    N53.21.29.276 W02.16.20.110 smrCCyellow
"C2"    N53.21.25.279 W02.16.39.666 smrCCyellow
"JA1"   N53.21.39.375 W02.15.45.128 smrRed
"K1"    N53.21.26.114 W02.16.17.054 smrCCyellow
"K2"    N53.21.25.230 W02.16.23.158 smrCCyellow
"K3"    N53.21.22.945 W02.16.28.402 smrCCyellow
"K4"    N53.21.19.307 W02.16.30.625 smrCCyellow
"K5"    N53.21.19.295 W02.16.35.958 smrCCyellow
"KC"    N53.21.15.076 W02.16.37.136 smrRed
"L1"    N53.21.31.177 W02.16.36.725 smrCCyellow
"N3"    N53.21.56.170 W02.17.16.484 smrCCyellow
"NA1"   N53.21.59.946 W02.17.09.967 smrCCyellow
"Q1"    N53.21.38.172 W02.16.50.033 smrCCyellow

;South Side
"S1"    N53.21.03.541 W02.16.28.175 smrCCyellow
"T1"    N53.21.03.671 W02.16.20.737 smrRed
"U1"    N53.20.53.654 W02.16.43.575 smrRed
"U2"    N53.20.54.909 W02.16.44.797 smrCCyellow
"V1"    N53.21.17.827 W02.16.06.065 smrCCyellow
"V3"    N53.21.12.461 W02.16.17.701 smrCCyellow
"V4"    N53.21.09.064 W02.16.24.032 smrCCyellow
"V5"    N53.21.05.654 W02.16.31.178 smrCCyellow
"V6"    N53.21.00.553 W02.16.41.944 smrCCyellow
"V7"    N53.20.56.830 W02.16.49.903 smrCCyellow
"VA1"   N53.21.00.055 W02.16.31.376 smrRed
"VA2"   N53.21.02.158 W02.16.32.476 smrCCyellow
"VB1"   N53.20.56.966 W02.16.38.295 smrRed
"VB2"   N53.20.59.319 W02.16.38.796 smrCCyellow
"VC1"   N53.20.50.698 W02.16.54.552 smrRed
"VC2"   N53.20.52.453 W02.16.53.332 smrCCyellow
"VD1"   N53.20.44.323 W02.17.07.093 smrRed
"VD2"   N53.20.46.372 W02.17.05.775 smrCCyellow
"W1"    N53.20.02.544 W02.18.32.067 smrRed
"W2"     N53.20.04.839 W02.18.37.081 smrCCyellow
"Y1"    N53.19.59.477 W02.18.40.195 smrRed

;Runway numbers
"23R"   N53.21.44.992 W02.15.24.498 standHold
"23L"   N53.21.00.616 W02.16.22.263 standHold
"05L"   N53.20.43.649 W02.17.33.366 standHold
"05R"   N53.19.57.382 W02.18.36.901 standHold
;Terminal names
"T3"    N53.21.38.612 W02.16.11.930 smrTaxiway
"T1"    N53.21.41.793 W02.16.27.018 smrTaxiway
"T2"    N53.22.02.565 W02.16.44.866 smrTaxiway
"Maintenance" N53.21.30.829 W02.17.00.479 smrTaxiway
"Cargo" N53.21.45.286 W02.17.17.291 smrTaxiway
;Other
"T"	N53.21.11.724 W02.16.45.551 smrCCyellow	
"R"	N53.21.16.314 W02.16.49.325 smrCCyellow
"N"	N53.21.20.960 W02.16.52.906 smrCCyellow
;Compass
"N"     N53.21.20.242 W02.17.14.342 smrTaxiway
"E"     N53.21.13.401 W02.17.06.869 smrTaxiway
"S"     N53.21.08.015 W02.17.13.881 smrTaxiway
"W"     N53.21.13.335 W02.17.21.421 smrTaxiway 
