;Outer Border
REGIONNAME Manchester
7031632 N053.20.48.752 W002.27.21.159
N053.26.39.622 W002.14.53.250
N053.21.02.943 W002.07.30.106
N053.15.16.240 W002.20.14.988

;smrCCBorder
REGIONNAME Manchester
smrCCborder N053.20.51.696 W002.16.29.265
N053.20.52.617 W002.16.27.409
N053.20.54.476 W002.16.27.903
N053.20.58.023 W002.16.22.545
N053.20.58.610 W002.16.20.486
N053.21.02.689 W002.16.09.596
N053.21.05.205 W002.16.02.924
N053.21.06.227 W002.16.00.859
N053.21.06.387 W002.15.58.615
N053.21.10.609 W002.15.51.425
N053.21.13.101 W002.15.50.140
N053.21.14.252 W002.15.52.596
N053.21.18.988 W002.15.44.945
N053.21.20.838 W002.15.40.644
N053.21.21.631 W002.15.41.307
N053.21.24.167 W002.15.33.440
N053.21.26.923 W002.15.32.352
N053.21.27.301 W002.15.31.375
N053.21.28.224 W002.15.29.305
N053.21.28.768 W002.15.29.521
N053.21.40.405 W002.15.19.858
N053.21.48.032 W002.15.05.705
N053.21.49.735 W002.15.06.290
N053.21.52.396 W002.15.22.049
N053.21.52.056 W002.15.24.661
N053.21.44.614 W002.16.01.074
N053.21.42.470 W002.16.07.361
N053.21.41.791 W002.16.11.932
N053.21.44.007 W002.16.18.885
N053.21.46.636 W002.16.21.692
N053.21.50.062 W002.16.23.279
N053.21.51.003 W002.16.29.060
N053.21.53.722 W002.16.30.897
N053.22.04.658 W002.16.47.679
N053.22.06.458 W002.16.53.467
N053.22.12.093 W002.17.08.450
N053.22.06.373 W002.17.17.285
N053.22.04.278 W002.17.18.510
N053.22.03.245 W002.17.20.419
N053.22.03.990 W002.17.22.519
N053.22.07.380 W002.17.23.498
N053.22.07.253 W002.17.25.145
N053.22.04.029 W002.17.31.193
N053.22.02.280 W002.17.28.390
N053.22.01.518 W002.17.27.016
N053.22.00.831 W002.17.25.912
N053.21.59.778 W002.17.27.643
N053.21.59.039 W002.17.29.524
N053.21.57.019 W002.17.28.335
N053.21.52.813 W002.17.27.528
N053.21.49.902 W002.17.28.872
N053.21.48.099 W002.17.30.250
N053.21.36.991 W002.17.11.569
N053.21.38.397 W002.17.09.166
N053.21.39.970 W002.17.06.463
N053.21.38.511 W002.17.04.124
N053.21.35.002 W002.17.12.610
N053.21.32.707 W002.17.16.146
N053.21.26.953 W002.17.06.863
N053.21.25.245 W002.17.04.976
N053.21.23.969 W002.17.03.533
N053.21.22.084 W002.17.03.659
N053.21.19.356 W002.17.01.992
N053.21.15.734 W002.17.07.248
N053.21.16.084 W002.17.08.658
N053.21.13.457 W002.17.11.124
N053.21.12.541 W002.17.07.012
N053.21.08.542 W002.17.09.232
N053.21.07.679 W002.17.07.445
N053.21.07.269 W002.17.08.214
N053.21.06.619 W002.17.07.129
N053.21.01.271 W002.17.17.930
N053.21.00.456 W002.17.19.194
N053.20.59.382 W002.17.20.988
N053.20.55.542 W002.17.28.267
N053.20.50.930 W002.17.37.060
N053.20.46.471 W002.17.39.872
N053.20.41.445 W002.17.42.550
N053.20.37.116 W002.17.38.002
N053.20.37.245 W002.17.31.024
N053.20.38.792 W002.17.23.854
N053.20.36.970 W002.17.22.904
N053.20.30.423 W002.17.35.464
N053.20.30.143 W002.17.38.646
N053.20.05.574 W002.18.29.006
N053.20.05.947 W002.18.36.360
N053.20.01.536 W002.18.45.934
N053.19.56.098 W002.18.49.031
N053.19.52.347 W002.18.56.872
N053.19.44.326 W002.18.50.206
N053.19.48.599 W002.18.33.001
N053.19.53.659 W002.18.22.554
N053.19.58.260 W002.18.19.249
N053.20.24.794 W002.17.24.391
N053.20.26.231 W002.17.22.475
N053.20.27.608 W002.17.17.343
N053.20.28.827 W002.17.16.340
N053.20.29.427 W002.17.12.771
N053.20.27.887 W002.17.09.266
N053.20.26.816 W002.17.03.228
N053.20.25.967 W002.16.57.599
N053.20.26.347 W002.16.56.778
N053.20.27.746 W002.16.57.046
N053.20.29.278 W002.16.58.235
N053.20.31.040 W002.16.58.878
N053.20.34.318 W002.17.07.699
N053.20.35.593 W002.17.05.187
N053.20.34.739 W002.17.00.255
N053.20.37.979 W002.16.54.470
N053.20.39.462 W002.16.54.370
N053.20.48.213 W002.16.36.440

;outer_taxiways
REGIONNAME Manchester
smrLLOutline N053.19.58.583 W002.18.43.162
N053.19.55.957 W002.18.39.581
N053.19.55.775 W002.18.39.379
N053.19.55.593 W002.18.39.177
N053.19.55.395 W002.18.39.543
N053.19.54.293 W002.18.38.067
N053.19.54.459 W002.18.37.711
N053.19.54.302 W002.18.37.401
N053.20.03.136 W002.18.19.090
N053.20.13.432 W002.17.57.716
N053.20.13.373 W002.17.57.320
N053.20.13.362 W002.17.56.800
N053.20.13.388 W002.17.56.078
N053.20.13.470 W002.17.55.648
N053.20.13.694 W002.17.55.282
N053.20.13.900 W002.17.54.967
N053.20.14.333 W002.17.54.556
N053.20.14.692 W002.17.54.447
N053.20.15.122 W002.17.54.267
N053.20.34.414 W002.17.14.351
N053.20.34.428 W002.17.14.019
N053.20.34.372 W002.17.13.499
N053.20.34.217 W002.17.12.687
N053.20.34.043 W002.17.11.980
N053.20.33.807 W002.17.11.330
N053.20.33.575 W002.17.10.867
N053.20.34.032 W002.17.09.951
N053.20.34.327 W002.17.10.263
N053.20.34.712 W002.17.10.498
N053.20.35.171 W002.17.10.631
N053.20.35.616 W002.17.10.701
N053.20.36.248 W002.17.10.561
N053.20.41.365 W002.16.59.996
N053.20.44.775 W002.16.52.880
N053.21.01.133 W002.16.18.997
N053.21.02.692 W002.16.21.070
N053.21.02.588 W002.16.21.290
N053.21.08.257 W002.16.19.310
N053.21.09.399 W002.16.18.796
N053.21.09.716 W002.16.18.547
N053.21.10.203 W002.16.18.127
N053.21.10.612 W002.16.17.552
N053.21.11.698 W002.16.15.553
N053.21.19.384 W002.15.59.696
N053.21.19.891 W002.15.58.947
N053.21.20.403 W002.15.58.329
N053.21.20.914 W002.15.57.998
N053.21.21.605 W002.15.57.802
N053.21.22.446 W002.15.57.862
N053.21.23.481 W002.15.58.059
N053.21.24.074 W002.15.58.242
N053.21.24.211 W002.15.57.902
N053.21.24.173 W002.15.56.107
N053.21.24.153 W002.15.53.933
N053.21.24.488 W002.15.53.919
N053.21.24.525 W002.15.56.085
N053.21.24.373 W002.15.56.283
N053.21.24.402 W002.15.58.015
N053.21.24.441 W002.15.58.227
N053.21.24.479 W002.15.58.391
N053.21.26.522 W002.15.59.066
N053.21.30.258 W002.15.51.231
N053.21.30.111 W002.15.51.027
N053.21.30.505 W002.15.50.242
N053.21.30.638 W002.15.50.439
N053.21.32.411 W002.15.46.723
N053.21.32.059 W002.15.46.250
N053.21.32.131 W002.15.46.095
N053.21.32.481 W002.15.46.577
N053.21.33.061 W002.15.45.365
N053.21.32.942 W002.15.45.172
N053.21.33.707 W002.15.43.604
N053.21.33.838 W002.15.43.776
N053.21.36.373 W002.15.38.462
N053.21.36.832 W002.15.37.526
N053.21.36.716 W002.15.37.374
N053.21.37.286 W002.15.36.235
N053.21.37.380 W002.15.36.358
N053.21.44.647 W002.15.21.467
N053.21.46.519 W002.15.24.007
N053.21.46.212 W002.15.25.910
N053.21.45.642 W002.15.26.957
N053.21.46.518 W002.15.28.784
N053.21.46.821 W002.15.30.140
N053.21.46.710 W002.15.32.773
