;Runway 02
N053.25.58.180 W001.01.36.426 N053.18.26.461 W001.05.37.452
N053.25.55.364 W001.01.22.834 N053.26.00.996 W001.01.50.018
N053.24.58.899 W001.01.52.962 N053.25.04.531 W001.02.20.146
N053.24.02.434 W001.02.23.090 N053.24.08.066 W001.02.50.274
N053.23.05.969 W001.02.53.219 N053.23.11.602 W001.03.20.403
N053.22.09.505 W001.03.23.347 N053.22.15.137 W001.03.50.531
N053.21.13.040 W001.03.53.475 N053.21.18.672 W001.04.20.659
N053.20.16.575 W001.04.23.603 N053.20.22.207 W001.04.50.787
N053.19.20.110 W001.04.53.732 N053.19.25.742 W001.05.20.916
N053.18.23.645 W001.05.23.860 N053.18.29.278 W001.05.51.044
;Runway 20
N053.31.03.859 W000.58.53.323 N053.38.35.578 W000.54.52.297
N053.31.06.675 W000.59.06.915 N053.31.01.043 W000.58.39.731
N053.32.03.140 W000.58.36.787 N053.31.57.508 W000.58.09.603
N053.32.59.605 W000.58.06.659 N053.32.53.973 W000.57.39.475
N053.33.56.070 W000.57.36.530 N053.33.50.437 W000.57.09.346
N053.34.52.534 W000.57.06.402 N053.34.46.902 W000.56.39.218
N053.35.48.999 W000.56.36.274 N053.35.43.367 W000.56.09.090
N053.36.45.464 W000.56.06.146 N053.36.39.832 W000.55.38.962
N053.37.41.929 W000.55.36.017 N053.37.36.297 W000.55.08.833
N053.38.38.394 W000.55.05.889 N053.38.32.761 W000.54.38.705 
