;- DONCASTER SHEFFIELD HOLDING POINTS
N053.27.47.300:W001.00.45.300:EGCN Holding Points:A1
N053.29.12.630:W001.00.00.360:EGCN Holding Points:A7
N053.28.22.330:W001.00.24.950:EGCN Holding Points:B
N053.28.48.360:W001.00.11.800:EGCN Holding Points:C1
N053.28.49.690:W001.00.18.940:EGCN Holding Points:C2
N053.29.10.140:W001.00.07.450:EGCN Holding Points:D
N053.29.00.490:W001.00.12.490:EGCN Holding Points:E1
N053.29.01.465:W001.00.18.350:EGCN Holding Points:E2
N053.29.03.973:W001.00.21.593:EGCN Holding Points:F1
N053.29.04.425:W001.00.23.870:EGCN Holding Points:E3
N053.29.02.524:W001.00.27.080:EGCN Holding Points:F2
N053.27.49.864:W001.00.50.918:EGCN Holding Points:A2
N053.28.20.020:W001.00.29.260:EGCN Holding Points:A3
N053.28.44.070:W001.00.17.161:EGCN Holding Points:A4
N053.28.51.568:W001.00.12.739:EGCN Holding Points:A5
N053.29.09.547:W001.00.02.247:EGCN Holding Points:A6
;- DONCASTER SHEFFIELD STANDS
N053.28.43.055:W001.00.40.103:EGCN Stands:1
N053.28.44.552:W001.00.39.356:EGCN Stands:2
N053.28.46.420:W001.00.38.496:EGCN Stands:3
N053.28.47.749:W001.00.37.295:EGCN Stands:4
N053.28.49.063:W001.00.36.532:EGCN Stands:5
N053.28.51.405:W001.00.35.274:EGCN Stands:6
N053.28.53.095:W001.00.34.252:EGCN Stands:7
N053.28.54.490:W001.00.33.790:EGCN Stands:8
N053.29.11.707:W001.00.12.006:EGCN Stands:11
N053.29.11.859:W001.00.15.540:EGCN Stands:12
N053.29.11.471:W001.00.18.732:EGCN Stands:13
N053.29.10.631:W001.00.21.736:EGCN Stands:14
N053.29.07.595:W001.00.27.039:EGCN Stands:16
N053.29.06.643:W001.00.27.981:EGCN Stands:17
N053.29.05.314:W001.00.29.182:EGCN Stands:18
N053.28.45.616:W001.00.37.838:EGCN Stands:3E
N053.28.50.102:W001.00.35.745:EGCN Stands:5E
N053.28.54.042:W001.00.33.456:EGCN Stands:8E
N053.28.53.687:W001.00.27.851:EGCN Stands:8A
