EGCN Doncaster Sheffield SMAA S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.38.53.160 W000.59.08.520 N053.37.20.640 W000.51.09.360 
                            N053.37.20.640 W000.51.09.360 N053.30.13.320 W000.57.09.360 
                            N053.30.13.320 W000.57.09.360 N053.31.00.840 W001.01.08.760 
                            N053.31.00.840 W001.01.08.760 N053.38.53.160 W000.59.08.520 
                            N053.26.44.880 W001.03.24.840 N053.25.58.800 W000.59.25.440 
                            N053.25.58.800 W000.59.25.440 N053.18.05.040 W001.01.27.120 
                            N053.18.05.040 W001.01.27.120 N053.19.39.000 W001.09.22.320 
                            N053.19.39.000 W001.09.22.320 N053.26.44.880 W001.03.24.840 
                            N053.35.54.960 W001.10.27.120 N053.37.15.600 W001.09.28.000 
                            N053.37.15.600 W001.09.28.000 N053.38.19.320 W001.08.07.800 
                            N053.38.19.320 W001.08.07.800 N053.39.16.200 W001.06.33.840 
                            N053.39.16.200 W001.06.33.840 N053.40.01.200 W001.04.49.800 
                            N053.40.01.200 W001.04.49.800 N053.40.37.920 W001.02.39.840 
                            N053.40.37.920 W001.02.39.840 N053.40.59.160 W001.00.30.240 
                            N053.40.59.160 W001.00.30.240 N053.41.08.520 W000.58.13.440 
                            N053.41.08.520 W000.58.13.440 N053.41.05.280 W000.56.04.200 
                            N053.41.05.280 W000.56.04.200 N053.40.46.920 W000.53.52.800 
                            N053.40.46.920 W000.53.52.800 N053.40.16.320 W000.51.49.320 
                            N053.40.16.320 W000.51.49.320 N053.39.34.920 W000.49.48.360 
                            N053.39.34.920 W000.49.48.360 N053.38.39.840 W000.48.08.640 
                            N053.38.39.840 W000.48.08.640 N053.37.18.840 W000.46.21.360 
                            N053.37.18.840 W000.46.21.360 N053.35.55.320 W000.45.12.960 
                            N053.35.55.320 W000.45.12.960 N053.34.21.000 W000.44.30.840 
                            N053.34.21.000 W000.44.30.840 N053.32.39.840 W000.44.22.200 
                            N053.32.39.840 W000.44.22.200 N053.31.03.360 W000.44.49.560 
                            N053.31.03.360 W000.44.49.560 N053.21.12.240 W000.50.02.040 
                            N053.21.12.240 W000.50.02.040 N053.19.41.160 W000.51.15.840 
                            N053.19.41.160 W000.51.15.840 N053.18.22.320 W000.52.52.680 
                            N053.18.22.320 W000.52.52.680 N053.17.17.880 W000.55.00.480 
                            N053.17.17.880 W000.55.00.480 N053.16.30.720 W000.57.23.400 
                            N053.16.30.720 W000.57.23.400 N053.16.01.920 W001.00.11.520 
                            N053.16.01.920 W001.00.11.520 N053.15.52.920 W001.02.34.080 
                            N053.15.52.920 W001.02.34.080 N053.16.02.640 W001.05.08.880 
                            N053.16.02.640 W001.05.08.880 N053.16.24.240 W001.07.22.800 
                            N053.16.24.240 W001.07.22.800 N053.17.02.400 W001.09.39.240 
                            N053.17.02.400 W001.09.39.240 N053.18.00.720 W001.11.47.400 
                            N053.18.00.720 W001.11.47.400 N053.19.04.800 W001.13.24.240 
                            N053.19.04.800 W001.13.24.240 N053.20.28.680 W001.14.50.640 
                            N053.20.28.680 W001.14.50.640 N053.22.04.440 W001.15.48.600 
                            N053.22.04.440 W001.15.48.600 N053.23.30.840 W001.16.10.560 
                            N053.23.30.840 W001.16.10.560 N053.24.47.520 W001.16.06.600 
                            N053.24.47.520 W001.16.06.600 N053.25.54.480 W001.15.44.640 
                            N053.25.54.480 W001.15.44.640 N053.35.54.960 W001.10.27.120 
                            N053.40.01.200 W001.04.49.800 N053.39.22.680 W001.02.54.240 
                            N053.39.22.680 W001.02.54.240 N053.39.07.560 W001.00.47.880 
                            N053.39.07.560 W001.00.47.880 N053.39.11.880 W000.58.20.280 
                            N053.39.11.880 W000.58.20.280 N053.39.32.040 W000.56.36.600 
                            N053.39.32.040 W000.56.36.600 N053.40.00.120 W000.55.13.440 
                            N053.40.00.120 W000.55.13.440 N053.40.46.920 W000.53.52.800
