AMRUR N051.17.34.820 W003.01.02.130
BHD52 N051.15.10.000 W003.19.35.780
BHD55 N051.18.00.230 W003.14.24.480
BHD57 N051.20.46.360 W003.24.52.000
D118E N051.21.32.450 W003.13.15.340
D119E N051.21.33.100 W003.13.14.390
D120B N051.22.39.030 W003.16.49.560
D165F N051.37.46.350 W003.13.07.750
D165N N051.30.05.380 W003.09.36.470
D165S N051.25.46.040 W003.07.38.150
D211F N051.38.20.520 W003.20.35.920
D211K N051.34.00.800 W003.24.35.850
D211O N051.30.32.930 W003.27.47.240
D297E N051.25.45.210 W003.27.03.570
ETPOB N051.15.34.030 W003.10.53.440
FF12F N051.26.46.220 W003.30.03.190
FF30F N051.21.39.300 W003.13.49.850
IPTAT N051.24.13.660 W003.06.40.970
IVNIM N051.31.35.900 W003.32.37.220
LOLPI N051.19.39.950 W003.07.34.240
OGPUV N051.28.22.910 W003.35.12.050
VABMU N051.25.09.890 W003.37.46.510
