Cardiff Delegated Area    S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                          N051.55.17.000 W003.57.58.000 N051.54.01.000 W003.49.44.000
                          N051.54.01.000 W003.49.44.000 N051.52.11.000 W003.37.09.000
                          N051.52.11.000 W003.37.09.000 N051.51.30.000 W003.31.50.000
                          N051.51.30.000 W003.31.50.000 N051.50.56.000 W003.22.07.000
                          N051.50.56.000 W003.22.07.000 N051.53.41.000 W003.21.27.000
                          N051.53.41.000 W003.21.27.000 N051.57.39.000 W003.20.29.000
                          N051.57.39.000 W003.20.29.000 N052.02.37.000 W003.19.16.000
                          N052.02.37.000 W003.19.16.000 N052.01.48.000 W002.51.43.000
                          N052.01.48.000 W002.51.43.000 N051.57.51.000 W002.52.03.000
                          N051.57.51.000 W002.52.03.000 N051.56.47.000 W002.51.25.000
                          N051.56.47.000 W002.51.25.000 N051.56.42.000 W002.48.27.000
                          N051.56.42.000 W002.48.27.000 N051.56.40.000 W002.47.18.000
                          N051.56.40.000 W002.47.18.000 N051.50.43.000 W002.47.48.000
                          N051.50.43.000 W002.47.48.000 N051.45.15.000 W002.44.33.000
                          N051.45.15.000 W002.44.33.000 N051.44.40.000 W002.39.18.000
                          N051.44.40.000 W002.39.18.000 N051.34.50.000 W002.42.06.000
                          N051.34.50.000 W002.42.06.000 N051.24.19.000 W002.45.05.000
                          N051.24.19.000 W002.45.05.000 N051.24.48.000 W002.51.47.000
                          N051.24.48.000 W002.51.47.000 N051.26.08.000 W003.10.50.000
                          N051.26.08.000 W003.10.50.000 N051.10.10.000 W003.13.41.000
                          N051.10.10.000 W003.13.41.000 N051.11.15.000 W003.29.29.000
                          N051.11.15.000 W003.29.29.000 N051.13.09.000 W003.29.10.000
                          N051.13.09.000 W003.29.10.000 N051.39.46.000 W003.24.32.000
                          N051.39.46.000 W003.24.32.000 N051.40.37.000 W003.34.29.000
                          N051.40.37.000 W003.34.29.000 N051.41.31.000 W003.41.29.000
                          N051.41.31.000 W003.41.29.000 N051.43.09.000 W003.54.06.000
                          N051.43.09.000 W003.54.06.000 N051.44.12.000 W004.02.23.000
                          N051.44.12.000 W004.02.23.000 N051.55.17.000 W003.57.58.000

                          N051.24.19.000 W002.45.05.000 N051.23.35.614 W002.35.13.340
                          N051.23.35.614 W002.35.13.340 N051.23.31.000 W002.34.10.000
                          N051.23.31.000 W002.34.10.000 N051.18.19.396 W002.33.39.634
                          N051.18.19.396 W002.33.39.634 N051.16.20.000 W002.33.28.000
                          N051.16.20.000 W002.33.28.000 N051.15.38.000 W002.51.20.000
                          N051.15.38.000 W002.51.20.000 N051.15.05.000 W002.53.35.000
                          N051.15.05.000 W002.53.35.000 N050.42.15.000 W002.59.36.000
                          N050.42.15.000 W002.59.36.000 N050.43.36.000 W003.18.22.000
                          N050.43.36.000 W003.18.22.000 N051.05.12.000 W003.14.34.000
                          N051.05.12.000 W003.14.34.000 N051.10.10.000 W003.13.41.000

                          N050.44.41.000 W003.34.01.000 N050.45.06.000 W003.40.02.000
                          N050.45.06.000 W003.40.02.000 N050.56.55.000 W003.37.46.000
                          N050.56.55.000 W003.37.46.000 N051.04.40.000 W003.30.37.000

                          N050.43.36.000 W003.18.22.000 N050.44.41.000 W003.34.01.000
                          N050.44.41.000 W003.34.01.000 N051.04.40.000 W003.30.37.000
                          N051.04.40.000 W003.30.37.000 N051.11.15.000 W003.29.29.000
