;- CARDIFF HOLDING POINTS
N051.24.05.700:W003.21.18.500:EGFF Holding Points:B1
N051.24.03.400:W003.21.01.900:EGFF Holding Points:B2
N051.24.00.500:W003.20.51.900:EGFF Holding Points:F
N051.23.59.200:W003.20.49.000:EGFF Holding Points:E2
N051.23.56.000:W003.20.51.700:EGFF Holding Points:E1
N051.23.47.100:W003.20.20.200:EGFF Holding Points:D
N051.23.44.400:W003.20.36.400:EGFF Holding Points:H
N051.23.35.700:W003.19.49.400:EGFF Holding Points:C1
N051.23.32.700:W003.19.39.600:EGFF Holding Points:A1
N051.23.41.300:W003.19.51.700:EGFF Holding Points:A2
N051.23.49.300:W003.20.56.500:EGFF Holding Points:G
; CARDIFF STANDS
N051.23.53.330:W003.20.16.190:EGFF Stands:2
N051.23.54.583:W003.20.16.000:EGFF Stands:1
N051.23.52.990:W003.20.21.670:EGFF Stands:10
N051.23.53.840:W003.20.25.930:EGFF Stands:11
N051.23.50.000:W003.20.10.040:EGFF Stands:4
N051.23.49.050:W003.20.07.420:EGFF Stands:5
N051.23.48.700:W003.20.12.330:EGFF Stands:6
N051.23.51.860:W003.20.19.260:EGFF Stands:9
N051.23.50.690:W003.20.17.060:EGFF Stands:8
N051.23.50.760:W003.20.15.050:EGFF Stands:7
N051.23.51.990:W003.20.14.810:EGFF Stands:3
N051.23.55.640:W003.20.32.490:EGFF Stands:12
N051.23.57.630:W003.20.30.720:EGFF Stands:13
N051.23.58.790:W003.20.29.770:EGFF Stands:14
N051.23.59.970:W003.20.33.800:EGFF Stands:15
N051.23.58.690:W003.20.34.880:EGFF Stands:16
N051.23.57.080:W003.20.36.160:EGFF Stands:17
