;Grass Background
REGIONNAME Swansea
smrGrass N051.36.36.579 W004.03.49.389
N051.36.36.547 W004.03.50.179
N051.36.35.342 W004.03.52.055
N051.36.33.805 W004.03.54.535
N051.36.32.297 W004.03.57.169
N051.36.31.575 W004.03.58.775
N051.36.30.575 W004.04.01.151
N051.36.29.695 W004.04.03.394
N051.36.27.463 W004.04.09.188
N051.36.26.433 W004.04.11.891
N051.36.24.301 W004.04.16.839
N051.36.23.884 W004.04.18.079
N051.36.23.846 W004.04.22.341
N051.36.23.685 W004.04.23.644
N051.36.22.169 W004.04.29.983
N051.36.21.955 W004.04.30.647
N051.36.19.657 W004.04.33.361
N051.36.17.463 W004.04.34.589
N051.36.16.793 W004.04.34.792
N051.36.16.130 W004.04.34.533
N051.36.13.983 W004.04.33.426
N051.36.11.529 W004.04.34.762
N051.36.07.974 W004.04.37.131
N051.36.07.778 W004.04.37.215
N051.36.05.643 W004.04.40.601
N051.36.04.215 W004.04.40.603
N051.36.03.691 W004.04.40.389
N051.36.01.755 W004.04.37.225
N051.36.01.107 W004.04.35.243
N051.35.53.819 W004.04.41.825
N051.35.49.872 W004.04.31.998
N051.35.57.340 W004.04.23.602
N051.35.57.521 W004.04.23.384
N051.35.55.234 W004.04.20.756
N051.35.53.681 W004.04.18.950
N051.35.52.375 W004.04.17.263
N051.35.51.476 W004.04.15.579
N051.35.50.906 W004.04.13.958
N051.35.50.554 W004.04.12.470
N051.35.50.408 W004.04.10.631
N051.35.50.474 W004.04.09.014
N051.35.50.708 W004.04.07.649
N051.35.51.615 W004.04.04.599
N051.35.51.547 W004.04.04.094
N051.35.52.097 W004.04.01.293
N051.35.52.520 W004.03.59.458
N051.35.53.074 W004.03.57.710
N051.35.53.773 W004.03.55.566
N051.35.54.360 W004.03.53.702
N051.35.55.039 W004.03.51.035
N051.35.55.886 W004.03.48.490
N051.35.55.909 W004.03.48.452
N051.35.56.833 W004.03.46.651
N051.35.57.829 W004.03.45.746
N051.35.58.721 W004.03.45.144
N051.36.00.169 W004.03.44.613
N051.36.01.678 W004.03.44.060
N051.36.04.951 W004.03.42.582
N051.36.06.641 W004.03.42.182
N051.36.08.828 W004.03.41.615
N051.36.14.689 W004.03.44.128
N051.36.17.298 W004.03.43.347
N051.36.20.080 W004.03.46.141
N051.36.22.051 W004.03.47.751
N051.36.24.527 W004.03.45.303
N051.36.25.864 W004.03.44.259
N051.36.27.549 W004.03.42.329
N051.36.28.309 W004.03.41.446
N051.36.29.461 W004.03.40.549
N051.36.29.966 W004.03.40.236
N051.36.30.923 W004.03.39.816
N051.36.33.050 W004.03.38.948
N051.36.34.776 W004.03.38.375
N051.36.36.300 W004.03.37.777
N051.36.39.380 W004.03.45.187
N051.36.39.446 W004.03.45.861

;Disused Areas
REGIONNAME Swansea
black N051.36.36.095 W004.03.47.260
N051.36.36.481 W004.03.48.643
N051.36.36.528 W004.03.48.899
N051.36.36.556 W004.03.49.092
N051.36.36.510 W004.03.49.440
N051.36.36.433 W004.03.49.784
N051.36.36.323 W004.03.50.128
N051.36.36.127 W004.03.50.561
N051.36.34.560 W004.03.53.004
N051.36.33.607 W004.03.54.616
N051.36.33.149 W004.03.55.414
N051.36.32.534 W004.03.56.403
N051.36.31.682 W004.03.58.178
N051.36.31.134 W004.03.59.463
N051.36.28.608 W004.04.05.832
N051.36.27.167 W004.04.09.566
N051.36.26.379 W004.04.11.641
N051.36.25.396 W004.04.13.797
N051.36.24.708 W004.04.15.381
N051.36.23.886 W004.04.17.304
N051.36.23.211 W004.04.18.895
N051.36.22.819 W004.04.20.150
N051.36.22.804 W004.04.20.174
N051.36.23.462 W004.04.22.291
N051.36.23.372 W004.04.22.701
N051.36.23.193 W004.04.23.085
N051.36.22.894 W004.04.23.327
N051.36.22.415 W004.04.23.568
N051.36.22.370 W004.04.23.616
N051.36.22.132 W004.04.23.856
N051.36.21.044 W004.04.26.518
N051.36.20.423 W004.04.28.087
N051.36.20.044 W004.04.28.840
N051.36.19.344 W004.04.29.750
N051.36.18.317 W004.04.30.708
N051.36.17.467 W004.04.31.546
N051.36.17.452 W004.04.32.294
N051.36.17.362 W004.04.32.945
N051.36.17.107 W004.04.33.306
N051.36.16.733 W004.04.33.549
N051.36.16.372 W004.04.33.478
N051.36.16.071 W004.04.33.236
N051.36.15.890 W004.04.32.776
N051.36.15.769 W004.04.32.389
N051.36.15.723 W004.04.32.195
N051.36.15.241 W004.04.32.243
N051.36.12.268 W004.04.33.361
N051.36.10.337 W004.04.35.025
N051.36.08.100 W004.04.36.714
N051.36.06.884 W004.04.37.459
N051.36.06.868 W004.04.37.472
N051.36.05.296 W004.04.37.860
N051.36.04.120 W004.04.37.912
N051.36.02.786 W004.04.37.790
