;Runway 09
N051.22.55.535 W002.44.00.306 N051.21.57.430 W003.07.53.540
N051.22.21.350 W003.07.55.910 N051.21.33.500 W003.07.51.170
N051.21.53.400 W002.59.53.530 N051.22.41.250 W002.59.58.270
N051.22.21.250 W002.58.20.360 N051.22.45.170 W002.58.22.730
N051.22.25.140 W002.56.44.810 N051.22.49.060 W002.56.47.190
N051.22.29.020 W002.55.09.270 N051.22.52.940 W002.55.11.640
N051.22.32.870 W002.53.33.710 N051.22.56.790 W002.53.36.080
N051.22.12.770 W002.51.55.780 N051.23.00.620 W002.52.00.530
N051.22.40.500 W002.50.22.590 N051.23.04.430 W002.50.24.960
N051.22.44.290 W002.48.47.020 N051.23.08.210 W002.48.49.390
N051.22.48.060 W002.47.11.450 N051.23.11.980 W002.47.13.820
N051.22.51.800 W002.45.35.880 N051.23.15.720 W002.45.38.250
;Runway 27
N051.22.59.457 W002.42.16.966 N051.23.52.835 W002.18.22.740
N051.23.03.165 W002.40.41.383 N051.23.27.088 W002.40.43.762
N051.23.06.855 W002.39.05.791 N051.23.30.777 W002.39.08.172
N051.23.10.521 W002.37.30.198 N051.23.34.442 W002.37.32.576
N051.23.14.167 W002.35.54.600 N051.23.38.090 W002.35.56.978
N051.23.41.710 W002.34.21.376 N051.22.53.863 W002.34.16.621
N051.23.21.393 W002.32.43.389 N051.23.45.314 W002.32.45.768
N051.23.24.975 W002.31.07.777 N051.23.48.896 W002.31.10.156
N051.23.28.532 W002.29.32.164 N051.23.52.454 W002.29.34.543
N051.23.32.070 W002.27.56.545 N051.23.55.993 W002.27.58.923
N051.23.59.506 W002.26.23.300 N051.23.11.659 W002.26.18.545
N051.24.16.757 W002.18.25.123 N051.23.28.910 W002.18.20.364
