ADVED N051.17.40.000 W003.02.27.780
BAXUN N051.19.35.410 W002.26.23.580
BCN30 N051.27.05.950 W002.35.33.800
D087E N051.23.18.750 W002.34.55.140
D088E N051.23.13.320 W002.34.48.880
D124J N051.38.04.850 W003.02.19.370
D124O N051.35.20.700 W002.55.36.770
D149J N051.35.03.500 W003.07.17.260
D149O N051.30.49.010 W003.03.03.570
D149T N051.26.34.380 W002.58.50.670
D244P N051.15.52.610 W003.05.13.570
D268E N051.22.41.590 W002.51.16.970
ELROV N051.23.34.710 W002.26.45.910
EMPAS N051.22.16.220 W003.00.19.640
GD09F N051.22.33.790 W002.53.09.690
GD27F N051.23.20.550 W002.33.08.380
HON63 N051.26.43.770 W002.30.09.780
ROTLU N051.18.30.710 W002.47.02.500
SOMOT N051.17.33.000 W002.59.53.000
