;- BRISTOL HOLDING POINTS
N051.23.00.870:W002.43.55.860:EGGD Holding Points:GX
N051.23.01.550:W002.43.41.840:EGGD Holding Points:G3
N051.23.02.360:W002.43.21.010:EGGD Holding Points:G4
N051.23.01.300:W002.43.19.210:EGGD Holding Points:FX
N051.23.02.520:W002.42.54.140:EGGD Holding Points:DX
N051.23.03.240:W002.42.46.670:EGGD Holding Points:Z2
N051.23.03.440:W002.42.28.100:EGGD Holding Points:BX
N051.23.03.920:W002.42.17.650:EGGD Holding Points:AX
N051.22.52.460:W002.42.34.310:EGGD Holding Points:JX
N051.22.54.320:W002.42.45.620:EGGD Holding Points:HX
;- BRISTOL STANDS
N051.23.08.427:W002.42.41.579:EGGD Stands:1
N051.23.08.536:W002.42.39.184:EGGD Stands:2
N051.23.08.409:W002.42.36.789:EGGD Stands:3
N051.23.06.951:W002.42.33.429:EGGD Stands:4
N051.23.08.204:W002.42.33.555:EGGD Stands:5
N051.23.08.481:W002.42.27.385:EGGD Stands:8
N051.23.07.071:W002.42.27.239:EGGD Stands:9
N051.23.07.107:W002.42.25.772:EGGD Stands:10
N051.23.08.529:W002.42.25.907:EGGD Stands:11
N051.23.09.855:W002.42.26.042:EGGD Stands:12
N051.23.10.361:W002.42.20.422:EGGD Stands:13
N051.23.09.337:W002.42.20.210:EGGD Stands:14
N051.23.08.144:W002.42.20.114:EGGD Stands:15
N051.23.06.914:W002.42.19.998:EGGD Stands:16
N051.23.07.541:W002.42.48.908:EGGD Stands:21
N051.23.08.554:W002.42.50.800:EGGD Stands:22
N051.23.08.469:W002.42.52.847:EGGD Stands:23
N051.23.08.373:W002.42.55.107:EGGD Stands:24
N051.23.08.252:W002.42.57.926:EGGD Stands:25
N051.23.08.168:W002.43.00.456:EGGD Stands:26
N051.23.05.926:W002.43.01.557:EGGD Stands:29
N051.23.07.975:W002.43.01.692:EGGD Stands:30
N051.23.08.385:W002.43.10.923:EGGD Stands:31
N051.23.07.071:W002.43.10.808:EGGD Stands:32
N051.23.05.733:W002.43.10.672:EGGD Stands:33 
