;Runway 09
N053.19.53.776 W002.53.37.784 N053.19.12.254 W003.08.39.082 
N053.20.08.732 W002.53.39.716 N053.19.38.821 W002.53.35.853 
N053.20.19.074 W002.55.21.815 N053.19.19.252 W002.55.14.090 
N053.19.59.505 W002.57.00.046 N053.19.29.594 W002.56.56.184 
N053.20.09.847 W002.58.42.133 N053.19.10.024 W002.58.34.409 
N053.19.50.278 W003.00.20.352 N053.19.20.366 W003.00.16.490 
N053.20.00.620 W003.02.02.428 N053.19.00.797 W003.01.54.703 
N053.19.41.051 W003.03.40.635 N053.19.11.139 W003.03.36.773 
N053.19.51.393 W003.05.22.698 N053.18.51.570 W003.05.14.974 
N053.19.31.823 W003.07.00.893 N053.19.01.912 W003.06.57.031 
N053.19.42.165 W003.08.42.944 N053.18.42.343 W003.08.35.220 
;Runway 27
N053.20.08.482 W002.48.17.572 N053.20.49.723 W002.33.15.612 
N053.20.23.438 W002.48.19.491 N053.19.53.526 W002.48.15.654 
N053.20.42.977 W002.46.41.215 N053.19.43.152 W002.46.33.541 
N053.20.32.603 W002.44.59.097 N053.20.02.691 W002.44.55.260 
N053.20.52.141 W002.43.20.810 N053.19.52.317 W002.43.13.135 
N053.20.41.767 W002.41.38.679 N053.20.11.855 W002.41.34.842 
N053.21.01.306 W002.40.00.380 N053.20.01.481 W002.39.52.705 
N053.21.10.470 W002.36.39.927 N053.20.10.646 W002.36.32.251 
N053.21.19.635 W002.33.19.450 N053.20.19.810 W002.33.11.774 
