; D079P defined in EGCC/Fixes.txt
D079J N053.25.22.570 W002.51.39.060
D079T N053.27.11.910 W002.35.12.650
D083A N053.20.09.830 W002.48.18.500
D127Q N053.13.22.050 W002.45.21.110
D183F N053.17.31.930 W003.08.32.770
D183O N053.08.33.360 W003.09.15.590
D242Z N053.31.56.370 W002.44.18.500
D266H N053.19.12.250 W003.05.14.480
D268B N053.19.49.710 W002.54.26.980
IBAXU N053.19.07.010 W003.10.02.410
INVEB N053.20.45.720 W002.34.22.430
LEBKI N053.19.23.260 W003.04.25.460
POL32 N053.28.59.000 W002.53.02.910
POL44 N053.12.32.870 W002.56.30.880
POL50 N053.08.08.780 W003.03.16.710
UVERI N053.20.30.330 W002.40.11.980
