;- LIVERPOOL HOLDING POINTS
N053.20.05.654:W002.50.01.671:EGGP Holding Points:A1
N053.20.10.309:W002.50.04.583:EGGP Holding Points:A2
N053.20.09.499:W002.50.24.039:EGGP Holding Points:A3
N053.20.08.412:W002.50.46.875:EGGP Holding Points:A4
N053.20.05.550:W002.51.09.477:EGGP Holding Points:A6
N053.20.04.106:W002.51.36.814:EGGP Holding Points:A7
N053.20.03.500:W002.51.50.255:EGGP Holding Points:A8
N053.20.02.961:W002.52.04.894:EGGP Holding Points:B
N053.20.02.427:W002.52.00.467:EGGP Holding Points:C
N053.20.01.102:W002.51.50.337:EGGP Holding Points:D
N053.20.02.222:W002.51.19.204:EGGP Holding Points:E
N053.20.04.437:W002.50.36.167:EGGP Holding Points:F
N053.20.05.936:W002.50.12.630:EGGP Holding Points:G
N053.20.10.332:W002.50.18.019:EGGP Holding Points:K
N053.20.08.555:W002.51.01.149:EGGP Holding Points:T
N053.20.07.518:W002.51.15.596:EGGP Holding Points:U
N053.20.09.299:W002.51.16.000:EGGP Holding Points:U2
N053.20.07.287:W002.51.32.580:EGGP Holding Points:V
N053.20.08.400:W002.51.32.800:EGGP Holding Points:V2
N053.20.06.293:W002.51.49.000:EGGP Holding Points:W
N053.20.09.300:W002.51.46.385:EGGP Holding Points:W2
N053.20.09.900:W002.51.38.982:EGGP Holding Points:W3
N053.20.05.655:W002.51.56.254:EGGP Holding Points:Y1
N053.20.04.172:W002.52.13.028:EGGP Holding Points:Y2
;- LIVERPOOL STANDS
N053.20.12.34:W002.51.15.82:EGGP Stands:1
N053.20.12.36:W002.51.18.98:EGGP Stands:2
N053.20.12.25:W002.51.21.27:EGGP Stands:3
N053.20.12.14:W002.51.23.56:EGGP Stands:4
N053.20.12.04:W002.51.25.86:EGGP Stands:5
N053.20.11.93:W002.51.28.15:EGGP Stands:6
N053.20.11.94:W002.51.30.46:EGGP Stands:7
N053.20.11.83:W002.51.32.75:EGGP Stands:8
N053.20.11.59:W002.51.35.69:EGGP Stands:9
N053.20.11.49:W002.51.37.98:EGGP Stands:10
N053.20.11.65:W002.51.41.87:EGGP Stands:11
N053.20.10.69:W002.51.46.17:EGGP Stands:12
N053.20.11.30:W002.51.45.98:EGGP Stands:12A
N053.20.11.41:W002.51.48.06:EGGP Stands:14
N053.20.09.94:W002.51.14.49:EGGP Stands:32L
N053.20.08.91:W002.51.14.36:EGGP Stands:32C
N053.20.08.68:W002.51.14.33:EGGP Stands:32R
N053.20.07.79:W002.51.20.92:EGGP Stands:33
N053.20.07.69:W002.51.23.26:EGGP Stands:34
N053.20.07.58:W002.51.25.61:EGGP Stands:35
N053.20.07.45:W002.51.28.93:EGGP Stands:36
N053.20.07.55:W002.51.29.58:EGGP Stands:37
N053.20.07.20:W002.51.36.54:EGGP Stands:39
N053.20.07.32:W002.51.39.06:EGGP Stands:40
N053.20.07.10:W002.51.42.77:EGGP Stands:41
N053.20.12.21:W002.51.07.86:EGGP Stands:51
N053.20.10.67:W002.51.07.72:EGGP Stands:52
N053.20.09.08:W002.51.07.33:EGGP Stands:53
N053.20.12.37:W002.50.57.66:EGGP Stands:54
N053.20.10.67:W002.50.57.37:EGGP Stands:55
N053.20.09.09:W002.50.57.32:EGGP Stands:56
