Liverpool RMA              S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                           N053.39.43.618 W003.31.53.363 N053.30.54.000 W003.42.21.996
                           N053.30.54.000 W003.42.21.996 N053.30.54.000 W003.42.21.996
                           N053.30.54.000 W003.42.21.996 N053.20.06.000 W003.43.39.000
                           N053.20.06.000 W003.43.39.000 N053.20.06.000 W003.43.39.000
                           N053.20.06.000 W003.43.39.000 N053.18.55.081 W003.16.46.990
                           N053.18.55.081 W003.16.46.990 N053.18.55.081 W003.16.46.990
                           N053.18.55.081 W003.16.46.990 N053.17.32.888 W003.16.54.008
                           N053.17.32.888 W003.16.54.008 N053.17.32.888 W003.16.54.008
                           N053.17.32.888 W003.16.54.008 N053.05.39.839 W003.23.44.992
                           N053.05.39.839 W003.23.44.992 N053.05.39.839 W003.23.44.992
                           N053.05.39.839 W003.23.44.992 N053.03.47.879 W003.17.57.009
                           N053.03.47.879 W003.17.57.009 N053.03.47.879 W003.17.57.009
                           N053.03.47.879 W003.17.57.009 N053.04.06.609 W003.04.53.481
                           N053.04.06.609 W003.04.53.481 N053.04.06.609 W003.04.53.481
                           N053.04.06.609 W003.04.53.481 N053.09.43.379 W003.04.58.161
                           N053.09.43.379 W003.04.58.161 N053.09.43.379 W003.04.58.161
                           N053.09.43.379 W003.04.58.161 N053.14.26.880 W003.01.40.008
                           N053.14.26.880 W003.01.40.008 N053.14.26.880 W003.01.40.008
                           N053.14.26.880 W003.01.40.008 N053.23.08.880 W003.12.05.004
                           N053.23.08.880 W003.12.05.004 N053.23.08.880 W003.12.05.004
                           N053.23.08.880 W003.12.05.004 N053.27.33.840 W003.03.10.008
                           N053.27.33.840 W003.03.10.008 N053.27.33.840 W003.03.10.008
                           N053.27.33.840 W003.03.10.008 N053.39.43.618 W003.31.53.363
                           N053.17.32.888 W003.16.54.008 N053.03.47.879 W003.17.57.009
                           N053.31.23.799 W002.31.01.994 N053.23.51.853 W002.31.02.927
                           N053.23.51.853 W002.31.02.927 N053.23.51.853 W002.31.02.927
                           N053.23.51.853 W002.31.02.927 N053.20.42.495 W002.36.35.632
