EGGP Liverpool SMAA         S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N053.19.28.000 W003.16.10.000 N053.23.09.000 W003.12.05.000
                            N053.23.09.000 W003.12.05.000 N053.27.34.000 W003.03.10.000
                            N053.27.34.000 W003.03.10.000 N053.29.59.619 W002.42.58.455
							N053.29.59.619 W002.42.58.455 N053.25.25.000 W002.35.02.000
                            N053.25.25.000 W002.35.02.000 N053.15.47.000 W002.32.42.000
                            N053.15.47.000 W002.32.42.000 N053.11.06.000 W002.37.23.000
                            N053.11.06.000 W002.37.23.000 N053.11.05.000 W002.54.08.000
                            N053.11.05.000 W002.54.08.000 N053.14.27.000 W003.01.40.000
                            N053.14.27.000 W003.01.40.000 N053.16.38.000 W003.09.04.000
                            N053.16.38.000 W003.09.04.000 N053.16.52.085 W003.09.11.997
                            N053.16.52.085 W003.09.11.997 N053.17.11.428 W003.09.25.391
                            N053.17.11.428 W003.09.25.391 N053.17.30.000 W003.09.41.552
                            N053.17.30.000 W003.09.41.552 N053.17.47.658 W003.10.00.358
                            N053.17.47.658 W003.10.00.358 N053.18.04.269 W003.10.21.664
                            N053.18.04.269 W003.10.21.664 N053.18.19.706 W003.10.45.310
                            N053.18.19.706 W003.10.45.310 N053.18.33.851 W003.11.11.115
                            N053.18.33.851 W003.11.11.115 N053.18.46.596 W003.11.38.882
                            N053.18.46.596 W003.11.38.882 N053.18.57.846 W003.12.08.401
                            N053.18.57.846 W003.12.08.401 N053.19.07.514 W003.12.39.446
                            N053.19.07.514 W003.12.39.446 N053.19.15.526 W003.13.11.782
                            N053.19.15.526 W003.13.11.782 N053.19.21.822 W003.13.45.162
                            N053.19.21.822 W003.13.45.162 N053.19.26.354 W003.14.19.333
                            N053.19.26.354 W003.14.19.333 N053.19.29.087 W003.14.54.033
                            N053.19.29.087 W003.14.54.033 N053.19.30.000 W003.15.29.000
                            N053.19.30.000 W003.15.29.000 N053.19.29.087 W003.16.03.967
                            N053.19.29.087 W003.16.03.967 N053.19.28.000 W003.16.10.000

                            N053.16.38.000 W003.09.04.000 N053.18.55.000 W003.16.47.000
                            N053.18.55.000 W003.16.47.000 N053.19.28.000 W003.16.10.000
