;STAND NUMBERS
"1"	N053.20.12.340 W002.51.15.820 smrTaxiway
"2"	N053.20.12.177 W002.51.18.904 smrTaxiway
"3"	N053.20.12.076 W002.51.21.195 smrTaxiway
"4"	N053.20.11.951 W002.51.23.483 smrTaxiway
"5"	N053.20.11.833 W002.51.25.784 smrTaxiway
"6"	N053.20.11.730 W002.51.28.071 smrTaxiway
"7"	N053.20.11.613 W002.51.30.370 smrTaxiway
"8"	N053.20.11.509 W002.51.32.658 smrTaxiway
"9"	N053.20.11.350 W002.51.35.580 smrTaxiway
"10"	N053.20.11.263 W002.51.37.833 smrTaxiway
"11"	N053.20.11.064 W002.51.41.586 smrTaxiway
"12"	N053.20.10.826 W002.51.46.072 smrTaxiway
"14"	N053.20.10.734 W002.51.47.707 smrTaxiway
"32L"	N053.20.09.940 W002.51.14.490 smrTaxiway
"32C/R"	N053.20.08.910 W002.51.14.360 smrTaxiway
"33"	N053.20.07.790 W002.51.20.920 smrTaxiway
"34"	N053.20.07.690 W002.51.23.260 smrTaxiway
"35"	N053.20.07.580 W002.51.25.610 smrTaxiway
"36"	N053.20.07.470 W002.51.28.331 smrTaxiway
"37"	N053.20.07.396 W002.51.29.966 smrTaxiway
"39"	N053.20.07.200 W002.51.36.540 smrTaxiway
"40"	N053.20.07.080 W002.51.38.941 smrTaxiway
"41"	N053.20.06.890 W002.51.42.641 smrTaxiway
"51"	N053.20.12.210 W002.51.07.860 smrTaxiway
"52"	N053.20.10.670 W002.51.07.720 smrTaxiway
"53"	N053.20.09.080 W002.51.07.330 smrTaxiway
"54"	N053.20.12.726 W002.50.58.200 smrTaxiway
"55"	N053.20.11.257 W002.50.58.000 smrTaxiway
"56"	N053.20.09.500 W002.50.57.600 smrTaxiway
;Holding Points
"A1"	N053.20.05.654 W002.50.01.671 smrRed
"B"	N053.20.02.961 W002.52.04.894 smrRed
"C"	N053.20.02.427 W002.52.00.467 smrRed
"D"	N053.20.01.102 W002.51.50.337 smrRed
"E"	N053.20.02.222 W002.51.19.204 smrRed
"F"	N053.20.04.437 W002.50.36.167 smrRed
"G"	N053.20.05.936 W002.50.12.630 smrRed
"K"	N053.20.10.332 W002.50.18.019 smrHPTS
"T"	N053.20.08.555 W002.51.01.149 smrHPTS
"U"	N053.20.07.518 W002.51.15.596 smrHPTS
"V"	N053.20.07.287 W002.51.32.580 smrHPTS
"W"	N053.20.06.293 W002.51.49.000 smrHPTS
