;Runway 07
N051.51.46.078 W000.26.12.796 N051.49.00.219 W000.42.12.231
N051.51.28.779 W000.26.04.517 N051.52.03.376 W000.26.21.076
N051.50.55.607 W000.29.16.404 N051.51.30.205 W000.29.32.962
N051.50.22.436 W000.32.28.291 N051.50.57.033 W000.32.44.849
N051.49.49.264 W000.35.40.178 N051.50.23.861 W000.35.56.736
N051.49.16.092 W000.38.52.065 N051.49.50.689 W000.39.08.623
N051.48.42.920 W000.42.03.952 N051.49.17.518 W000.42.20.510
;Runway 25
N051.53.10.531 W000.18.04.263 N051.55.56.390 W000.02.04.828
N051.53.27.830 W000.18.12.542 N051.52.53.233 W000.17.55.983
N051.54.01.002 W000.15.00.655 N051.53.26.404 W000.14.44.097
N051.54.34.173 W000.11.48.768 N051.53.59.576 W000.11.32.210
N051.55.07.345 W000.08.36.881 N051.54.32.748 W000.08.20.323
N051.55.40.517 W000.05.24.994 N051.55.05.920 W000.05.08.436
N051.56.13.689 W000.02.13.107 N051.55.39.091 W000.01.56.549
