BIGLI N052.07.48.000 W000.14.30.000
D003E N051.48.03.010 W000.32.28.780
D007D N051.47.57.130 W000.31.59.490
D008E N051.47.55.950 W000.32.07.260
D031G N051.49.29.760 W000.27.00.380
D032G N051.49.33.590 W000.27.10.450
D037G N051.48.48.210 W000.26.23.040
D038G N051.48.45.600 W000.26.40.290
D059G N051.56.35.080 W000.11.51.530
D073C N051.53.21.150 W000.17.11.170
D073D N051.53.27.730 W000.16.33.910
D075E N051.53.42.580 W000.15.09.680
D082G N051.45.54.920 E000.04.45.640
D097G N051.44.07.390 E000.04.46.290
D097N N051.43.13.460 E000.16.11.790
D284C N051.45.42.440 W000.11.05.340
D284F N051.46.25.650 W000.15.46.590
D284J N051.47.22.980 W000.22.01.820
D314O N051.55.22.150 W000.23.49.950
D314U N051.59.30.650 W000.30.50.490
D336C N051.47.43.260 W000.08.22.170
D336F N051.50.27.430 W000.10.20.330
D342D N051.47.38.290 W000.34.59.460
D343E N051.47.37.150 W000.35.06.410
D344F N051.49.21.450 W000.35.29.260
D344I N051.52.15.060 W000.36.44.580
D344O N051.58.02.230 W000.39.15.710
EFFUT N052.11.42.360 W000.12.00.360
FITME N051.55.28.510 W000.04.37.360
GWE16 N051.46.22.040 W000.15.46.780
GWE17 N052.00.16.820 W000.06.45.790
GWE19 N051.45.40.560 W000.11.04.880
GWE37 N051.42.59.910 E000.16.58.250
GWN22 N051.59.48.290 W000.16.37.970
GWN26 N052.03.07.390 W000.18.07.700
GWN30 N052.06.06.880 W000.11.54.110
GWN32 N051.58.52.030 W000.26.56.670
GWN35 N051.59.50.080 W000.21.42.520
GWN39 N052.02.25.120 W000.17.00.840
GWN45 N052.06.07.610 W000.10.15.060
GWS01 N051.51.19.980 W000.25.14.510
GWS06 N051.47.05.830 W000.29.28.410
GWS12 N051.46.56.850 W000.19.44.380
GWW14 N051.48.39.580 W000.43.58.200
GWW18 N051.52.30.100 W000.45.44.140
GWW24 N051.54.04.060 W000.36.49.520
ODWAD N051.49.28.660 W000.39.19.430
