Luton RMA                  S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                           N052.08.49.390 W000.19.49.240 N052.04.47.400 W000.19.55.410 ;B-C
                           N052.04.47.400 W000.19.55.410 N052.01.42.910 W000.16.36.840 ;C-D
                           N052.01.42.910 W000.16.36.840 N052.04.07.320 W000.03.08.890 ;D-F
                           N052.11.04.000 E000.05.33.000 N052.06.06.990 W000.03.08.900 ;H-G
                           N052.06.06.990 W000.03.08.900 N052.02.00.760 W000.03.08.890 ;G
Luton Noise Sensitive Areas S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
;Leighton Buzzard
                           N051.54.41.777 W000.40.52.269 N051.54.28.312 W000.40.31.270
                           N051.54.28.312 W000.40.31.270 N051.54.25.069 W000.40.05.712
                           N051.54.25.069 W000.40.05.712 N051.54.07.888 W000.40.08.645
                           N051.54.07.888 W000.40.08.645 N051.54.04.208 W000.39.33.950
                           N051.54.04.208 W000.39.33.950 N051.54.01.879 W000.39.00.905
                           N051.54.01.879 W000.39.00.905 N051.54.18.166 W000.38.20.989
                           N051.54.18.166 W000.38.20.989 N051.54.29.806 W000.38.08.864
                           N051.54.29.806 W000.38.08.864 N051.54.44.665 W000.37.47.074
                           N051.54.44.665 W000.37.47.074 N051.55.04.171 W000.37.33.539
                           N051.55.04.171 W000.37.33.539 N051.55.28.778 W000.37.38.828
                           N051.55.28.778 W000.37.38.828 N051.55.28.771 W000.37.59.911
                           N051.55.28.771 W000.37.59.911 N051.55.36.187 W000.38.34.556
                           N051.55.36.187 W000.38.34.556 N051.55.44.995 W000.39.06.949
                           N051.55.44.995 W000.39.06.949 N051.56.03.105 W000.39.04.714
                           N051.56.03.105 W000.39.04.714 N051.56.17.486 W000.38.58.657
                           N051.56.17.486 W000.38.58.657 N051.56.21.161 W000.39.33.231
                           N051.56.21.161 W000.39.33.231 N051.56.11.861 W000.40.09.365
                           N051.56.11.861 W000.40.09.365 N051.55.55.657 W000.40.11.849
                           N051.55.55.657 W000.40.11.849 N051.55.40.807 W000.39.47.716
                           N051.55.40.807 W000.39.47.716 N051.55.28.724 W000.39.52.191
                           N051.55.28.724 W000.39.52.191 N051.55.25.921 W000.40.10.945
                           N051.55.25.921 W000.40.10.945 N051.55.29.577 W000.40.54.917
                           N051.55.29.577 W000.40.54.917 N051.55.34.657 W000.41.23.533
                           N051.55.34.657 W000.41.23.533 N051.55.00.785 W000.41.48.158
                           N051.55.00.785 W000.41.48.158 N051.54.41.777 W000.40.52.269
