;Tug Release Points
"TP-V" N051.52.49.732 W000.22.21.866 smrTugPoint
"TP-X" N051.52.48.775 W000.22.26.324 smrTugPoint
"TP-Y" N051.52.51.911 W000.22.17.476 smrTugPoint
"TP-Z" N051.52.46.954 W000.22.17.653 smrTugPoint

;Stands 
"1" N051.52.42.266 W000.22.42.627 standHold
"1R" N051.52.41.652 W000.22.40.360 standHold
"2" N051.52.42.931 W000.22.43.962 standHold
"3" N051.52.44.013 W000.22.45.030 standHold
"4" N051.52.45.398 W000.22.45.155 standHold
"5" N051.52.46.569 W000.22.44.536 standHold
"6" N051.52.47.736 W000.22.43.358 standHold
"7" N051.52.48.799 W000.22.41.898 standHold
"8" N051.52.50.034 W000.22.40.466 standHold
"9" N051.52.51.112 W000.22.39.011 standHold
"9L" N051.52.52.143 W000.22.37.428 standHold
"10" N051.52.54.189 W000.22.42.873 standHold
"R" N051.52.54.138 W000.22.42.249 standHold
"11" N051.52.52.881 W000.22.44.669 standHold
"L" N051.52.52.035 W000.22.45.364 standHold
"R" N051.52.53.025 W000.22.43.759 standHold
"12" N051.52.50.742 W000.22.47.245 standHold
"R" N051.52.50.779 W000.22.46.499 standHold
"13" N051.52.49.408 W000.22.48.931 standHold
"L" N051.52.48.494 W000.22.49.137 standHold
"R" N051.52.49.634 W000.22.47.833 standHold
"14" N051.52.48.014 W000.22.50.427 standHold
"L" N051.52.47.354 W000.22.50.424 standHold
"15" N051.52.46.686 W000.22.52.136 standHold
"L" N051.52.46.325 W000.22.52.097 standHold
"16" N051.52.39.670 W000.22.47.024 standHold
"17" N051.52.38.760 W000.22.45.339 standHold
"18" N051.52.38.117 W000.22.43.261 standHold
"19" N051.52.37.936 W000.22.41.235 standHold
"20" N051.52.35.439 W000.22.24.920 standHold
"21" N051.52.35.977 W000.22.22.267 standHold
"L" N051.52.34.928 W000.22.22.705 standHold
"R" N051.52.35.411 W000.22.20.450 standHold
"22" N051.52.36.667 W000.22.18.732 standHold
"23" N051.52.37.227 W000.22.15.382 standHold
"L" N051.52.36.256 W000.22.16.352 standHold
"R" N051.52.36.702 W000.22.14.199 standHold
"30" N051.53.03.186 W000.22.26.272 standHold
"31" N051.53.03.530 W000.22.22.460 standHold
"43" N051.52.50.522 W000.22.27.785 standHold
"L" N051.52.50.152 W000.22.27.970 standHold
"44" N051.52.51.005 W000.22.24.958 standHold
"L" N051.52.50.208 W000.22.25.744 standHold
"R" N051.52.50.879 W000.22.23.726 standHold
"45" N051.52.51.733 W000.22.22.175 standHold
"R" N051.52.51.243 W000.22.21.537 standHold
"46" N051.52.46.367 W000.22.26.011 standHold
"47" N051.52.46.800 W000.22.24.058 standHold
"48" N051.52.47.326 W000.22.21.925 standHold
"49" N051.52.47.743 W000.22.19.822 standHold
"54" N051.52.41.674 W000.22.51.231 standHold
"56" N051.52.43.903 W000.22.55.725 standHold
"58" N051.52.46.832 W000.22.58.070 standHold
"60" N051.52.52.910 W000.22.34.667 standHold
"61" N051.52.53.929 W000.22.32.305 standHold
"62" N051.52.55.445 W000.22.15.877 standHold
"71" N051.53.00.025 W000.22.28.418 standHold
"72" N051.52.54.738 W000.22.23.393 standHold
"73" N051.52.54.117 W000.22.24.873 standHold
"74" N051.52.54.518 W000.22.25.621 standHold
"75" N051.52.54.176 W000.22.27.297 standHold
"76" N051.52.53.669 W000.22.29.854 standHold
"77" N051.52.57.887 W000.22.25.147 standHold
"78" N051.52.57.502 W000.22.27.306 standHold
"79" N051.52.57.235 W000.22.29.502 standHold
"80" N051.52.57.554 W000.22.33.698 standHold
"81" N051.52.55.197 W000.22.39.845 standHold
"90" N051.52.39.135 W000.22.14.643 standHold
"91" N051.52.40.415 W000.22.15.378 standHold
"92" N051.52.41.735 W000.22.16.030 standHold
"93" N051.52.43.049 W000.22.16.835 standHold

;Hold Points
"A1" N051.52.38.338 W000.21.32.808 standHold
"A2" N051.52.40.514 W000.21.41.991 standHold
"A3" N051.52.38.656 W000.21.52.460 standHold
"A4" N051.52.35.404 W000.22.02.019 standHold
"A4E" N051.52.37.373 W000.22.03.857 standHold
"A5" N051.52.32.905 W000.22.16.681 standHold
"A6" N051.52.32.131 W000.22.26.499 standHold
"B1" N051.52.24.442 W000.22.52.735 standHold
"B2" N051.52.26.624 W000.22.51.005 standHold
"B3" N051.52.28.563 W000.22.45.524 standHold
"B4" N051.52.29.266 W000.22.41.398 standHold
"B5" N051.52.30.209 W000.22.36.200 standHold
"B6" N051.52.31.739 W000.22.31.019 standHold
"B7" N051.52.35.007 W000.22.30.258 standHold
"B8" N051.52.37.803 W000.22.37.635 standHold
"C1" N051.52.32.231 W000.22.09.041 standHold
"C2" N051.52.33.329 W000.22.10.186 standHold
"D1" N051.52.38.185 W000.22.09.840 standHold
"D2" N051.52.44.785 W000.22.16.290 standHold
"D3" N051.52.53.938 W000.22.18.192 standHold
"D4" N051.52.59.539 W000.22.21.290 standHold
"E1" N051.52.54.752 W000.22.37.082 standHold
"E2" N051.52.55.976 W000.22.34.802 standHold
"E3" N051.52.55.597 W000.22.23.033 standHold
"F1" N051.52.37.454 W000.22.05.707 standHold
"F2" N051.52.39.833 W000.22.07.185 standHold
"F3" N051.52.43.881 W000.22.09.346 standHold
"F4" N051.52.46.322 W000.22.10.764 standHold
"F5" N051.52.49.349 W000.22.15.030 standHold
"H1" N051.52.28.509 W000.22.31.325 standHold
"J1" N051.52.57.015 W000.22.18.891 standHold
"K1" N051.52.40.876 W000.22.10.985 standHold
