;EGHE Scilly Isles/St Mary's ATZ
EGHE Scilly Isles/St Mary's ATZ N049.56.48.000 W006.17.30.000 N049.56.47.328 W006.17.13.777 ; Radial 5
EGHE Scilly Isles/St Mary's ATZ N049.56.47.328 W006.17.13.777 N049.56.45.963 W006.16.57.677 ; Radial 10
EGHE Scilly Isles/St Mary's ATZ N049.56.45.963 W006.16.57.677 N049.56.43.700 W006.16.41.824 ; Radial 15
EGHE Scilly Isles/St Mary's ATZ N049.56.43.700 W006.16.41.824 N049.56.40.555 W006.16.26.337 ; Radial 20
EGHE Scilly Isles/St Mary's ATZ N049.56.40.555 W006.16.26.337 N049.56.36.554 W006.16.11.337 ; Radial 25
EGHE Scilly Isles/St Mary's ATZ N049.56.36.554 W006.16.11.337 N049.56.31.725 W006.15.56.936 ; Radial 30
EGHE Scilly Isles/St Mary's ATZ N049.56.31.725 W006.15.56.936 N049.56.26.107 W006.15.43.245 ; Radial 35
EGHE Scilly Isles/St Mary's ATZ N049.56.26.107 W006.15.43.245 N049.56.19.742 W006.15.30.367 ; Radial 40
EGHE Scilly Isles/St Mary's ATZ N049.56.19.742 W006.15.30.367 N049.56.12.679 W006.15.18.402 ; Radial 45
EGHE Scilly Isles/St Mary's ATZ N049.56.12.679 W006.15.18.402 N049.56.04.971 W006.15.07.439 ; Radial 50
EGHE Scilly Isles/St Mary's ATZ N049.56.04.971 W006.15.07.439 N049.55.56.677 W006.14.57.563 ; Radial 55
EGHE Scilly Isles/St Mary's ATZ N049.55.56.677 W006.14.57.563 N049.55.47.860 W006.14.48.849 ; Radial 60
EGHE Scilly Isles/St Mary's ATZ N049.55.47.860 W006.14.48.849 N049.55.38.588 W006.14.41.362 ; Radial 65
EGHE Scilly Isles/St Mary's ATZ N049.55.38.588 W006.14.41.362 N049.55.28.931 W006.14.35.159 ; Radial 70
EGHE Scilly Isles/St Mary's ATZ N049.55.28.931 W006.14.35.159 N049.55.18.963 W006.14.30.289 ; Radial 75
EGHE Scilly Isles/St Mary's ATZ N049.55.18.963 W006.14.30.289 N049.55.08.759 W006.14.26.787 ; Radial 80
EGHE Scilly Isles/St Mary's ATZ N049.55.08.759 W006.14.26.787 N049.54.58.397 W006.14.24.679 ; Radial 85
EGHE Scilly Isles/St Mary's ATZ N049.54.58.397 W006.14.24.679 N049.54.47.957 W006.14.23.982 ; Radial 90
EGHE Scilly Isles/St Mary's ATZ N049.54.47.957 W006.14.23.982 N049.54.37.517 W006.14.24.701 ; Radial 95
EGHE Scilly Isles/St Mary's ATZ N049.54.37.517 W006.14.24.701 N049.54.27.158 W006.14.26.830 ; Radial 100
EGHE Scilly Isles/St Mary's ATZ N049.54.27.158 W006.14.26.830 N049.54.16.957 W006.14.30.353 ; Radial 105
EGHE Scilly Isles/St Mary's ATZ N049.54.16.957 W006.14.30.353 N049.54.06.993 W006.14.35.242 ; Radial 110
EGHE Scilly Isles/St Mary's ATZ N049.54.06.993 W006.14.35.242 N049.53.57.341 W006.14.41.460 ; Radial 115
EGHE Scilly Isles/St Mary's ATZ N049.53.57.341 W006.14.41.460 N049.53.48.749 W006.14.48.960 ; Radial 120
EGHE Scilly Isles/St Mary's ATZ N049.53.48.749 W006.14.48.960 N049.53.39.264 W006.14.57.684 ; Radial 125
EGHE Scilly Isles/St Mary's ATZ N049.53.39.264 W006.14.57.684 N049.53.30.977 W006.15.07.566 ; Radial 130
EGHE Scilly Isles/St Mary's ATZ N049.53.30.977 W006.15.07.566 N049.53.23.276 W006.15.18.530 ; Radial 135
EGHE Scilly Isles/St Mary's ATZ N049.53.23.276 W006.15.18.530 N049.53.16.220 W006.15.30.494 ; Radial 140
EGHE Scilly Isles/St Mary's ATZ N049.53.16.220 W006.15.30.494 N049.53.09.862 W006.15.43.365 ; Radial 145
EGHE Scilly Isles/St Mary's ATZ N049.53.09.862 W006.15.43.365 N049.53.04.251 W006.15.57.476 ; Radial 150
EGHE Scilly Isles/St Mary's ATZ N049.53.04.251 W006.15.57.476 N049.52.59.428 W006.16.11.435 ; Radial 155
EGHE Scilly Isles/St Mary's ATZ N049.52.59.428 W006.16.11.435 N049.52.55.432 W006.16.26.420 ; Radial 160
EGHE Scilly Isles/St Mary's ATZ N049.52.55.432 W006.16.26.420 N049.52.52.291 W006.16.41.888 ; Radial 165
EGHE Scilly Isles/St Mary's ATZ N049.52.52.291 W006.16.41.888 N049.52.50.317 W006.16.57.721 ; Radial 170
EGHE Scilly Isles/St Mary's ATZ N049.52.50.317 W006.16.57.721 N049.52.48.668 W006.17.13.799 ; Radial 175
EGHE Scilly Isles/St Mary's ATZ N049.52.48.668 W006.17.13.799 N049.52.48.213 W006.17.30.119 ; Radial 180
EGHE Scilly Isles/St Mary's ATZ N049.52.48.213 W006.17.30.119 N049.52.48.668 W006.17.46.202 ; Radial 185
EGHE Scilly Isles/St Mary's ATZ N049.52.48.668 W006.17.46.202 N049.52.50.317 W006.18.02.281 ; Radial 190
EGHE Scilly Isles/St Mary's ATZ N049.52.50.317 W006.18.02.281 N049.52.52.291 W006.18.18.114 ; Radial 195
EGHE Scilly Isles/St Mary's ATZ N049.52.52.291 W006.18.18.114 N049.52.55.432 W006.18.33.581 ; Radial 200
EGHE Scilly Isles/St Mary's ATZ N049.52.55.432 W006.18.33.581 N049.52.59.428 W006.18.48.566 ; Radial 205
EGHE Scilly Isles/St Mary's ATZ N049.52.59.428 W006.18.48.566 N049.53.04.251 W006.19.02.954 ; Radial 210
EGHE Scilly Isles/St Mary's ATZ N049.53.04.251 W006.19.02.954 N049.53.09.862 W006.19.16.636 ; Radial 215
EGHE Scilly Isles/St Mary's ATZ N049.53.09.862 W006.19.16.636 N049.53.16.220 W006.19.29.508 ; Radial 220
EGHE Scilly Isles/St Mary's ATZ N049.53.16.220 W006.19.29.508 N049.53.23.276 W006.19.41.471 ; Radial 225
EGHE Scilly Isles/St Mary's ATZ N049.53.23.276 W006.19.41.471 N049.53.30.977 W006.19.52.436 ; Radial 230
EGHE Scilly Isles/St Mary's ATZ N049.53.30.977 W006.19.52.436 N049.53.39.264 W006.20.02.318 ; Radial 235
EGHE Scilly Isles/St Mary's ATZ N049.53.39.264 W006.20.02.318 N049.53.48.749 W006.20.11.421 ; Radial 240
EGHE Scilly Isles/St Mary's ATZ N049.53.48.749 W006.20.11.421 N049.53.57.341 W006.20.18.541 ; Radial 245
EGHE Scilly Isles/St Mary's ATZ N049.53.57.341 W006.20.18.541 N049.54.06.993 W006.20.24.759 ; Radial 250
EGHE Scilly Isles/St Mary's ATZ N049.54.06.993 W006.20.24.759 N049.54.16.957 W006.20.29.648 ; Radial 255
EGHE Scilly Isles/St Mary's ATZ N049.54.16.957 W006.20.29.648 N049.54.27.158 W006.20.33.171 ; Radial 260
EGHE Scilly Isles/St Mary's ATZ N049.54.27.158 W006.20.33.171 N049.54.37.517 W006.20.35.300 ; Radial 265
EGHE Scilly Isles/St Mary's ATZ N049.54.37.517 W006.20.35.300 N049.54.47.957 W006.20.36.194 ; Radial 270
EGHE Scilly Isles/St Mary's ATZ N049.54.47.957 W006.20.36.194 N049.54.58.397 W006.20.35.322 ; Radial 275
EGHE Scilly Isles/St Mary's ATZ N049.54.58.397 W006.20.35.322 N049.55.08.759 W006.20.33.215 ; Radial 280
EGHE Scilly Isles/St Mary's ATZ N049.55.08.759 W006.20.33.215 N049.55.18.963 W006.20.29.713 ; Radial 285
EGHE Scilly Isles/St Mary's ATZ N049.55.18.963 W006.20.29.713 N049.55.28.931 W006.20.24.842 ; Radial 290
EGHE Scilly Isles/St Mary's ATZ N049.55.28.931 W006.20.24.842 N049.55.38.588 W006.20.18.640 ; Radial 295
EGHE Scilly Isles/St Mary's ATZ N049.55.38.588 W006.20.18.640 N049.55.47.860 W006.20.11.153 ; Radial 300
EGHE Scilly Isles/St Mary's ATZ N049.55.47.860 W006.20.11.153 N049.55.56.677 W006.20.02.438 ; Radial 305
EGHE Scilly Isles/St Mary's ATZ N049.55.56.677 W006.20.02.438 N049.56.04.971 W006.19.52.562 ; Radial 310
EGHE Scilly Isles/St Mary's ATZ N049.56.04.971 W006.19.52.562 N049.56.12.679 W006.19.41.600 ; Radial 315
EGHE Scilly Isles/St Mary's ATZ N049.56.12.679 W006.19.41.600 N049.56.19.742 W006.19.29.634 ; Radial 320
EGHE Scilly Isles/St Mary's ATZ N049.56.19.742 W006.19.29.634 N049.56.26.107 W006.19.16.757 ; Radial 325
EGHE Scilly Isles/St Mary's ATZ N049.56.26.107 W006.19.16.757 N049.56.31.725 W006.19.03.659 ; Radial 330
EGHE Scilly Isles/St Mary's ATZ N049.56.31.725 W006.19.03.659 N049.56.36.554 W006.18.48.665 ; Radial 335
EGHE Scilly Isles/St Mary's ATZ N049.56.36.554 W006.18.48.665 N049.56.40.555 W006.18.33.664 ; Radial 340
EGHE Scilly Isles/St Mary's ATZ N049.56.40.555 W006.18.33.664 N049.56.43.700 W006.18.18.178 ; Radial 345
EGHE Scilly Isles/St Mary's ATZ N049.56.43.700 W006.18.18.178 N049.56.45.963 W006.18.02.324 ; Radial 350
EGHE Scilly Isles/St Mary's ATZ N049.56.45.963 W006.18.02.324 N049.56.47.328 W006.17.46.224 ; Radial 355
EGHE Scilly Isles/St Mary's ATZ N049.56.47.328 W006.17.46.224 N049.56.48.000 W006.17.30.000
