;EGHF Lee-on-Solent ATZ
EGHF Lee-on-Solent ATZ N050.50.54.000 W001.13.04.000 N050.50.49.920 W001.13.22.627 ; Radial 342
EGHF Lee-on-Solent ATZ N050.50.49.920 W001.13.22.627 N050.50.46.258 W001.13.38.127 ; Radial 337
EGHF Lee-on-Solent ATZ N050.50.46.258 W001.13.38.127 N050.50.41.756 W001.13.53.636 ; Radial 332
EGHF Lee-on-Solent ATZ N050.50.41.756 W001.13.53.636 N050.50.36.449 W001.14.07.320 ; Radial 327
EGHF Lee-on-Solent ATZ N050.50.36.449 W001.14.07.320 N050.50.30.377 W001.14.20.789 ; Radial 322
EGHF Lee-on-Solent ATZ N050.50.30.377 W001.14.20.789 N050.50.23.587 W001.14.33.367 ; Radial 317
EGHF Lee-on-Solent ATZ N050.50.23.587 W001.14.33.367 N050.50.16.130 W001.14.44.960 ; Radial 312
EGHF Lee-on-Solent ATZ N050.50.16.130 W001.14.44.960 N050.50.08.631 W001.14.55.478 ; Radial 307
EGHF Lee-on-Solent ATZ N050.50.08.631 W001.14.55.478 N050.49.59.447 W001.15.04.842 ; Radial 302
EGHF Lee-on-Solent ATZ N050.49.59.447 W001.15.04.842 N050.49.50.349 W001.15.12.980 ; Radial 297
EGHF Lee-on-Solent ATZ N050.49.50.349 W001.15.12.980 N050.49.40.837 W001.15.19.831 ; Radial 292
EGHF Lee-on-Solent ATZ N050.49.40.837 W001.15.19.831 N050.49.30.984 W001.15.25.343 ; Radial 287
EGHF Lee-on-Solent ATZ N050.49.30.984 W001.15.25.343 N050.49.20.865 W001.15.29.474 ; Radial 282
EGHF Lee-on-Solent ATZ N050.49.20.865 W001.15.29.474 N050.49.10.557 W001.15.32.192 ; Radial 277
EGHF Lee-on-Solent ATZ N050.49.10.557 W001.15.32.192 N050.49.00.139 W001.15.33.478 ; Radial 272
EGHF Lee-on-Solent ATZ N050.49.00.139 W001.15.33.478 N050.48.49.689 W001.15.33.322 ; Radial 267
EGHF Lee-on-Solent ATZ N050.48.49.689 W001.15.33.322 N050.48.39.288 W001.15.31.726 ; Radial 262
EGHF Lee-on-Solent ATZ N050.48.39.288 W001.15.31.726 N050.48.29.151 W001.15.28.701 ; Radial 257
EGHF Lee-on-Solent ATZ N050.48.29.151 W001.15.28.701 N050.48.18.947 W001.15.24.270 ; Radial 252
EGHF Lee-on-Solent ATZ N050.48.18.947 W001.15.24.270 N050.48.09.161 W001.15.18.469 ; Radial 247
EGHF Lee-on-Solent ATZ N050.48.09.161 W001.15.18.469 N050.47.59.732 W001.15.11.341 ; Radial 242
EGHF Lee-on-Solent ATZ N050.47.59.732 W001.15.11.341 N050.47.50.731 W001.15.02.941 ; Radial 237
EGHF Lee-on-Solent ATZ N050.47.50.731 W001.15.02.941 N050.47.42.227 W001.14.53.333 ; Radial 232
EGHF Lee-on-Solent ATZ N050.47.42.227 W001.14.53.333 N050.47.34.285 W001.14.42.590 ; Radial 227
EGHF Lee-on-Solent ATZ N050.47.34.000 W001.14.43.000 N050.47.26.964 W001.14.30.793 ; Radial 222
EGHF Lee-on-Solent ATZ N050.47.26.964 W001.14.30.793 N050.47.20.321 W001.14.18.335 ; Radial 217
EGHF Lee-on-Solent ATZ N050.47.20.321 W001.14.18.335 N050.47.14.405 W001.14.04.407 ; Radial 212
EGHF Lee-on-Solent ATZ N050.47.14.405 W001.14.04.407 N050.47.09.263 W001.13.50.180 ; Radial 207
EGHF Lee-on-Solent ATZ N050.47.09.263 W001.13.50.180 N050.47.04.932 W001.13.34.975 ; Radial 202
EGHF Lee-on-Solent ATZ N050.47.04.932 W001.13.34.975 N050.47.01.446 W001.13.19.393 ; Radial 197
EGHF Lee-on-Solent ATZ N050.47.01.446 W001.13.19.393 N050.46.58.831 W001.13.03.391 ; Radial 192
EGHF Lee-on-Solent ATZ N050.46.58.831 W001.13.03.391 N050.46.57.108 W001.12.47.899 ; Radial 187
EGHF Lee-on-Solent ATZ N050.46.57.108 W001.12.47.899 N050.46.56.288 W001.12.30.613 ; Radial 182
EGHF Lee-on-Solent ATZ N050.46.56.288 W001.12.30.613 N050.46.56.379 W001.12.14.859 ; Radial 177
EGHF Lee-on-Solent ATZ N050.46.56.379 W001.12.14.859 N050.46.57.380 W001.11.57.634 ; Radial 172
EGHF Lee-on-Solent ATZ N050.46.57.380 W001.11.57.634 N050.46.59.283 W001.11.41.382 ; Radial 167
EGHF Lee-on-Solent ATZ N050.46.59.283 W001.11.41.382 N050.47.02.746 W001.11.25.454 ; Radial 162
EGHF Lee-on-Solent ATZ N050.47.02.746 W001.11.25.454 N050.47.05.731 W001.11.09.971 ; Radial 157
EGHF Lee-on-Solent ATZ N050.47.05.731 W001.11.09.971 N050.47.10.227 W001.10.55.507 ; Radial 152
EGHF Lee-on-Solent ATZ N050.47.10.227 W001.10.55.507 N050.47.15.528 W001.10.40.805 ; Radial 147
EGHF Lee-on-Solent ATZ N050.47.15.528 W001.10.40.805 N050.47.21.593 W001.10.27.344 ; Radial 142
EGHF Lee-on-Solent ATZ N050.47.21.593 W001.10.27.344 N050.47.28.376 W001.10.14.769 ; Radial 137
