EGHF Lee-on-Solent               S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
N050.48.40.095 W001.12.41.193 N050.48.39.735 W001.12.41.221 smrYellow ;A1
N050.48.42.629 W001.12.51.067 N050.48.42.683 W001.12.50.502 smrYellow ;B1
N050.48.45.234 W001.12.46.266 N050.48.43.611 W001.12.46.513 smrYellow ;B2
N050.49.10.856 W001.12.07.093 N050.49.10.476 W001.12.07.204 smrYellow ;B3
N050.49.03.478 W001.12.20.038 N050.49.03.233 W001.12.20.458 smrYellow ;C1
N050.49.07.570 W001.11.53.949 N050.49.07.658 W001.11.53.374 smrYellow ;D1
N050.49.05.647 W001.11.59.311 N050.49.05.736 W001.11.58.644 smrYellow ;E1
N050.48.44.420 W001.12.35.038 N050.48.43.077 W001.12.35.230 smrYellow ;F1
N050.49.03.386 W001.11.52.270 N050.48.49.204 W001.11.47.089 smrLLOutline ;DISUSED1
N050.48.49.259 W001.11.46.549 N050.49.03.475 W001.11.51.669 smrLLOutline ;DISUSED2
N050.48.59.759 W001.12.17.010 N050.48.59.786 W001.12.16.874 smrLLOutline ;DISUSED3
N050.48.59.786 W001.12.16.874 N050.48.59.786 W001.12.16.785 smrLLOutline ;DISUSED3
N050.48.59.786 W001.12.16.785 N050.48.59.768 W001.12.16.668 smrLLOutline ;DISUSED3
N050.48.59.768 W001.12.16.668 N050.48.59.741 W001.12.16.565 smrLLOutline ;DISUSED3
N050.48.59.741 W001.12.16.565 N050.48.59.703 W001.12.16.477 smrLLOutline ;DISUSED3
N050.48.59.703 W001.12.16.477 N050.48.59.655 W001.12.16.420 smrLLOutline ;DISUSED3
N050.48.59.655 W001.12.16.420 N050.48.59.590 W001.12.16.397 smrLLOutline ;DISUSED3
N050.48.59.590 W001.12.16.397 N050.48.59.502 W001.12.16.402 smrLLOutline ;DISUSED3
N050.48.59.502 W001.12.16.402 N050.48.43.332 W001.12.16.440 smrLLOutline ;DISUSED3
N050.48.43.302 W001.12.16.017 N050.49.00.128 W001.12.15.884 smrLLOutline ;DISUSED4
N050.49.00.128 W001.12.15.884 N050.49.00.247 W001.12.15.886 smrLLOutline ;DISUSED4
N050.49.00.247 W001.12.15.886 N050.49.00.349 W001.12.15.862 smrLLOutline ;DISUSED4
N050.49.00.349 W001.12.15.862 N050.49.00.425 W001.12.15.815 smrLLOutline ;DISUSED4
N050.49.00.425 W001.12.15.815 N050.49.00.482 W001.12.15.759 smrLLOutline ;DISUSED4
N050.49.00.482 W001.12.15.759 N050.49.00.547 W001.12.15.717 smrLLOutline ;DISUSED4
N050.49.00.547 W001.12.15.717 N050.49.00.622 W001.12.15.634 smrLLOutline ;DISUSED4
N050.48.42.819 W001.12.07.674 N050.48.42.408 W001.12.00.669 smrLLOutline ;DISUSED5
N050.48.42.408 W001.12.00.669 N050.48.40.144 W001.11.59.864 smrLLOutline ;DISUSED5
N050.48.40.144 W001.11.59.864 N050.48.39.709 W001.11.59.724 smrLLOutline ;DISUSED5
N050.48.39.709 W001.11.59.724 N050.48.39.557 W001.11.59.618 smrLLOutline ;DISUSED5
N050.48.39.557 W001.11.59.618 N050.48.39.437 W001.11.59.492 smrLLOutline ;DISUSED5
N050.48.39.437 W001.11.59.492 N050.48.39.335 W001.11.59.308 smrLLOutline ;DISUSED5
N050.48.39.335 W001.11.59.308 N050.48.39.290 W001.11.59.104 smrLLOutline ;DISUSED5
N050.48.39.290 W001.11.59.104 N050.48.39.286 W001.11.58.907 smrLLOutline ;DISUSED5
N050.48.39.286 W001.11.58.907 N050.48.39.317 W001.11.58.667 smrLLOutline ;DISUSED5
N050.48.39.317 W001.11.58.667 N050.48.40.161 W001.11.55.461 smrLLOutline ;DISUSED5
N050.48.40.161 W001.11.55.461 N050.48.40.569 W001.11.53.963 smrLLOutline ;DISUSED5
