;Runway 26
N050.46.57.500 W001.49.36.922 N050.50.43.070 W001.26.43.320
N050.47.12.670 W001.48.05.460 N050.47.35.860 W001.48.15.040
N050.47.27.830 W001.46.33.980 N050.47.51.010 W001.46.43.570
N050.47.42.960 W001.45.02.490 N050.48.06.150 W001.45.12.080
N050.47.58.080 W001.43.30.980 N050.48.21.270 W001.43.40.570
N050.48.36.370 W001.42.09.050 N050.47.49.990 W001.41.49.880
N050.48.28.260 W001.40.27.920 N050.48.51.450 W001.40.37.510
N050.48.43.320 W001.38.56.360 N050.49.06.510 W001.39.05.950
N050.48.58.360 W001.37.24.790 N050.49.21.550 W001.37.34.380
N050.49.13.380 W001.35.53.200 N050.49.36.570 W001.36.02.790
N050.49.51.560 W001.34.31.190 N050.49.05.180 W001.34.12.010
N050.51.06.440 W001.26.52.910 N050.50.19.880 W001.26.33.720
;Runway 08
N050.46.42.206 W001.51.07.744 N050.42.52.140 W002.13.57.510
N050.46.27.000 W001.52.39.170 N050.46.50.190 W001.52.48.750
N050.46.11.790 W001.54.10.590 N050.46.34.970 W001.54.20.170
N050.45.56.550 W001.55.41.990 N050.46.19.730 W001.55.51.570
N050.45.41.290 W001.57.13.370 N050.46.04.470 W001.57.22.960
N050.45.49.200 W001.58.54.320 N050.45.02.820 W001.58.35.160
N050.45.10.710 W002.00.16.090 N050.45.33.900 W002.00.25.670
N050.44.55.390 W002.01.47.430 N050.45.18.580 W002.01.57.010
N050.44.40.060 W002.03.18.750 N050.45.03.250 W002.03.28.330
N050.44.24.700 W002.04.50.050 N050.44.47.890 W002.04.59.620
N050.44.32.510 W002.06.30.910 N050.43.46.130 W002.06.11.760
N050.43.15.330 W002.14.07.080 N050.42.28.950 W002.13.47.940
