EGHH Bournemouth SMAA           S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                N050.53.10.000 W002.01.58.000 N050.55.57.000 W001.45.10.000
                N050.55.57.000 W001.45.10.000 N050.56.10.313 W001.43.05.265
                N050.56.10.313 W001.43.05.265 N050.56.10.313 W001.40.52.732
                N050.56.10.313 W001.40.52.732 N050.55.55.769 W001.38.42.231
                N050.55.55.769 W001.38.42.231 N050.55.27.127 W001.36.37.757
                N050.55.27.127 W001.36.37.757 N050.54.45.265 W001.34.43.119
                N050.54.45.265 W001.34.43.119 N050.53.51.462 W001.33.01.817
                N050.53.51.462 W001.33.01.817 N050.52.47.365 W001.31.36.934
                N050.52.47.365 W001.31.36.934 N050.51.34.932 W001.30.31.455
                N050.51.34.932 W001.30.31.455 N050.50.16.373 W001.29.46.133
                N050.50.16.373 W001.29.46.133 N050.48.54.821 W001.29.23.538
                N050.48.54.821 W001.29.23.538 N050.47.30.562 W001.29.23.913
                N050.47.30.562 W001.29.23.913 N050.46.08.352 W001.29.47.213
                N050.46.08.352 W001.29.47.213 N050.44.49.945 W001.30.32.699
                N050.44.49.945 W001.30.32.699 N050.43.37.717 W001.31.38.964
                N050.43.37.717 W001.31.38.964 N050.42.33.854 W001.33.03.976
                N050.42.33.854 W001.33.03.976 N050.41.40.285 W001.34.45.148
                N050.41.40.285 W001.34.45.148 N050.40.58.627 W001.36.39.411
                N050.40.58.627 W001.36.39.411 N050.40.29.000 W001.38.49.000
                N050.40.29.000 W001.38.49.000 N050.37.42.000 W001.55.32.000
                N050.37.42.000 W001.55.32.000 N050.37.28.674 W001.57.39.175
                N050.37.28.674 W001.57.39.175 N050.37.28.674 W001.59.50.827
                N050.37.28.674 W001.59.50.827 N050.37.43.137 W002.02.00.496
                N050.37.43.137 W002.02.00.496 N050.38.11.627 W002.04.04.273
                N050.38.11.627 W002.04.04.273 N050.38.53.285 W002.05.58.423
                N050.38.53.285 W002.05.58.423 N050.39.46.854 W002.07.39.494
                N050.39.46.854 W002.07.39.494 N050.40.50.718 W002.09.04.422
                N050.40.50.718 W002.09.04.422 N050.42.02.945 W002.10.10.621
                N050.42.02.945 W002.10.10.621 N050.43.21.352 W002.10.56.619
                N050.43.21.352 W002.10.56.619 N050.44.43.563 W002.11.19.338
                N050.44.43.563 W002.11.19.338 N050.46.07.828 W002.11.19.712
                N050.46.07.828 W002.11.19.712 N050.47.29.374 W002.10.57.138
                N050.47.29.374 W002.10.57.138 N050.48.47.933 W002.10.12.271
                N050.48.47.933 W002.10.12.271 N050.50.00.366 W002.09.06.447
                N050.50.00.366 W002.09.06.447 N050.51.04.462 W002.07.41.648
                N050.51.04.462 W002.07.41.648 N050.51.58.265 W002.06.00.447
                N050.51.58.265 W002.06.00.447 N050.52.40.127 W002.04.05.923
                N050.52.40.127 W002.04.05.923 N050.53.10.000 W002.01.58.000
