;- EGHI Southampton CTLZ
EGHI Southampton CTLZ N051.04.59.002 W001.20.17.002 N051.04.53.641 W001.19.11.090
EGHI Southampton CTLZ N051.04.53.641 W001.19.11.090 N051.04.44.545 W001.18.06.209
EGHI Southampton CTLZ N051.04.44.545 W001.18.06.209 N051.04.31.920 W001.17.02.833
EGHI Southampton CTLZ N051.04.31.920 W001.17.02.833 N051.04.15.864 W001.16.01.445
EGHI Southampton CTLZ N051.04.15.864 W001.16.01.445 N051.03.56.499 W001.15.02.512
EGHI Southampton CTLZ N051.03.56.499 W001.15.02.512 N051.03.33.971 W001.14.06.482
EGHI Southampton CTLZ N051.03.33.971 W001.14.06.482 N051.03.08.452 W001.13.13.782
EGHI Southampton CTLZ N051.03.08.452 W001.13.13.782 N051.02.40.137 W001.12.24.813
EGHI Southampton CTLZ N051.02.40.137 W001.12.24.813 N051.02.09.241 W001.11.39.947
EGHI Southampton CTLZ N051.02.09.241 W001.11.39.947 N051.01.35.999 W001.10.59.527
EGHI Southampton CTLZ N051.01.35.999 W001.10.59.527 N051.01.14.999 W001.10.39.000
EGHI Southampton CTLZ N051.01.14.999 W001.10.39.000 N050.49.27.998 W001.17.13.999
EGHI Southampton CTLZ N050.49.27.998 W001.17.13.999 N050.49.15.609 W001.18.17.466
EGHI Southampton CTLZ N050.49.15.609 W001.18.17.466 N050.49.07.137 W001.19.22.559
EGHI Southampton CTLZ N050.49.07.137 W001.19.22.559 N050.49.02.272 W001.20.28.578
EGHI Southampton CTLZ N050.49.02.272 W001.20.28.578 N050.49.01.051 W001.21.35.018
EGHI Southampton CTLZ N050.49.01.051 W001.21.35.018 N050.49.03.482 W001.22.41.374
EGHI Southampton CTLZ N050.49.03.482 W001.22.41.374 N050.49.09.548 W001.23.47.141
EGHI Southampton CTLZ N050.49.09.548 W001.23.47.141 N050.49.19.201 W001.24.51.819
EGHI Southampton CTLZ N050.49.19.201 W001.24.51.819 N050.49.32.369 W001.25.54.915
EGHI Southampton CTLZ N050.49.32.369 W001.25.54.915 N050.49.48.952 W001.26.55.949
EGHI Southampton CTLZ N050.49.48.952 W001.26.55.949 N050.50.08.822 W001.27.54.457
EGHI Southampton CTLZ N050.50.08.822 W001.27.54.457 N050.50.31.830 W001.28.49.994
EGHI Southampton CTLZ N050.50.31.830 W001.28.49.994 N050.50.57.799 W001.29.42.136
EGHI Southampton CTLZ N050.50.57.799 W001.29.42.136 N050.51.33.001 W001.30.37.001
EGHI Southampton CTLZ N050.51.33.001 W001.30.37.001 N050.55.12.000 W001.30.47.002
EGHI Southampton CTLZ N050.55.12.000 W001.30.47.002 N051.01.23.002 W001.27.22.000
EGHI Southampton CTLZ N051.01.23.002 W001.27.22.000 N051.04.59.002 W001.20.17.002
;- SOLENT CTA SCTR 1
Solent CTA N051.04.59.002 W001.20.17.002 N051.01.23.002 W001.27.22.000
Solent CTA N051.01.23.002 W001.27.22.000 N051.04.32.999 W001.25.36.001
Solent CTA N051.04.32.999 W001.25.36.001 N051.04.46.018 W001.24.32.878
Solent CTA N051.04.46.018 W001.24.32.878 N051.04.54.619 W001.23.27.827
Solent CTA N051.04.54.619 W001.23.27.827 N051.04.59.616 W001.22.21.834
Solent CTA N051.04.59.616 W001.22.21.834 N051.05.00.970 W001.21.15.400
Solent CTA N051.05.00.970 W001.21.15.400 N051.04.59.002 W001.20.17.002
;- SOLENT CTA SCTR 2
Solent CTA N051.04.59.002 W001.20.17.002 N051.04.53.641 W001.19.11.090
Solent CTA N051.04.53.641 W001.19.11.090 N051.04.44.545 W001.18.06.209
Solent CTA N051.04.44.545 W001.18.06.209 N051.04.31.920 W001.17.02.833
Solent CTA N051.04.31.920 W001.17.02.833 N051.04.15.864 W001.16.01.445
Solent CTA N051.04.15.864 W001.16.01.445 N051.03.56.499 W001.15.02.512
Solent CTA N051.03.56.499 W001.15.02.512 N051.03.33.971 W001.14.06.482
Solent CTA N051.03.33.971 W001.14.06.482 N051.03.08.452 W001.13.13.782
Solent CTA N051.03.08.452 W001.13.13.782 N051.02.40.137 W001.12.24.813
Solent CTA N051.02.40.137 W001.12.24.813 N051.02.09.241 W001.11.39.947
Solent CTA N051.02.09.241 W001.11.39.947 N051.01.35.999 W001.10.59.527
Solent CTA N051.01.35.999 W001.10.59.527 N051.01.14.999 W001.10.39.000
Solent CTA N051.01.14.999 W001.10.39.000 N050.49.27.998 W001.17.13.999
Solent CTA N050.49.27.998 W001.17.13.999 N050.40.35.000 W001.23.49.999
Solent CTA N050.40.35.000 W001.23.49.999 N050.44.40.999 W001.38.24.000
Solent CTA N050.44.40.999 W001.38.24.000 N050.40.36.001 W002.02.53.999
Solent CTA N050.40.36.001 W002.02.53.999 N050.41.17.289 W002.03.44.760
Solent CTA N050.41.17.289 W002.03.44.760 N050.42.02.180 W002.04.27.333
Solent CTA N050.42.02.180 W002.04.27.333 N050.42.49.247 W002.05.03.555
Solent CTA N050.42.49.247 W002.05.03.555 N050.43.38.130 W002.05.33.152
Solent CTA N050.43.38.130 W002.05.33.152 N050.44.28.459 W002.05.55.898
Solent CTA N050.44.28.459 W002.05.55.898 N050.45.19.850 W002.06.11.620
Solent CTA N050.45.19.850 W002.06.11.620 N050.46.11.911 W002.06.20.199
Solent CTA N050.46.11.911 W002.06.20.199 N050.47.04.247 W002.06.21.569
Solent CTA N050.47.04.247 W002.06.21.569 N050.47.56.460 W002.06.15.720
Solent CTA N050.47.56.460 W002.06.15.720 N050.48.48.151 W002.06.02.696
Solent CTA N050.48.48.151 W002.06.02.696 N050.49.26.000 W002.05.44.999
Solent CTA N050.49.26.000 W002.05.44.999 N050.55.12.000 W001.30.47.002
Solent CTA N050.55.12.000 W001.30.47.002 N051.01.23.002 W001.27.22.000
Solent CTA N051.01.23.002 W001.27.22.000 N051.04.59.002 W001.20.17.002
;- SOLENT CTA SCTR 3
Solent CTA N051.07.00.001 W001.21.46.001 N051.06.59.767 W001.20.22.964
Solent CTA N051.06.59.767 W001.20.22.964 N051.06.54.137 W001.19.00.361
Solent CTA N051.06.54.137 W001.19.00.361 N051.06.43.993 W001.17.38.850
Solent CTA N051.06.43.993 W001.17.38.850 N051.06.29.412 W001.16.19.054
Solent CTA N051.06.29.412 W001.16.19.054 N051.06.10.506 W001.15.01.578
Solent CTA N051.06.10.506 W001.15.01.578 N051.05.47.417 W001.13.47.013
Solent CTA N051.05.47.417 W001.13.47.013 N051.05.20.321 W001.12.35.926
Solent CTA N051.05.20.321 W001.12.35.926 N051.04.49.426 W001.11.28.857
Solent CTA N051.04.49.426 W001.11.28.857 N051.04.14.965 W001.10.26.318
Solent CTA N051.04.14.965 W001.10.26.318 N051.03.40.000 W001.09.34.999
Solent CTA N051.03.40.000 W001.09.34.999 N051.01.14.999 W001.10.39.000
Solent CTA N051.04.32.999 W001.25.36.001 N051.04.46.018 W001.24.32.878
Solent CTA N051.04.46.018 W001.24.32.878 N051.04.54.619 W001.23.27.827
Solent CTA N051.04.54.619 W001.23.27.827 N051.04.59.616 W001.22.21.834
Solent CTA N051.04.59.616 W001.22.21.834 N051.05.00.970 W001.21.15.400
Solent CTA N051.05.00.970 W001.21.15.400 N051.04.58.672 W001.20.09.032
Solent CTA N051.04.58.672 W001.20.09.032 N051.04.52.737 W001.19.03.235
Solent CTA N051.04.52.737 W001.19.03.235 N051.04.43.213 W001.17.58.509
Solent CTA N051.04.43.213 W001.17.58.509 N051.04.30.171 W001.16.55.346
Solent CTA N051.04.30.171 W001.16.55.346 N051.04.13.711 W001.15.54.229
Solent CTA N051.04.13.711 W001.15.54.229 N051.03.53.957 W001.14.55.621
Solent CTA N051.03.53.957 W001.14.55.621 N051.03.31.061 W001.13.59.969
Solent CTA N051.03.31.061 W001.13.59.969 N051.03.05.196 W001.13.07.696
Solent CTA N051.03.05.196 W001.13.07.696 N051.02.36.559 W001.12.19.201
Solent CTA N051.02.36.559 W001.12.19.201 N051.02.05.368 W001.11.34.852
Solent CTA N051.02.05.368 W001.11.34.852 N051.01.14.999 W001.10.39.000
Solent CTA N051.04.32.999 W001.25.36.001 N051.07.00.001 W001.21.46.001
;- SOLENT CTA SCTR 4
Solent CTA N051.04.32.999 W001.25.36.001 N050.55.12.000 W001.30.47.002
Solent CTA N050.55.12.000 W001.30.47.002 N050.53.34.001 W001.40.50.999
Solent CTA N050.53.34.001 W001.40.50.999 N051.04.32.999 W001.25.36.001
;- SOLENT CTA SCTR 5
Solent CTA N051.08.28.000 W001.19.27.998 N051.06.36.000 W001.08.17.002
Solent CTA N051.06.36.000 W001.08.17.002 N051.03.40.000 W001.09.34.999
Solent CTA N051.07.00.001 W001.21.46.001 N051.06.59.767 W001.20.22.964
Solent CTA N051.06.59.767 W001.20.22.964 N051.06.54.137 W001.19.00.361
Solent CTA N051.06.54.137 W001.19.00.361 N051.06.43.993 W001.17.38.850
Solent CTA N051.06.43.993 W001.17.38.850 N051.06.29.412 W001.16.19.054
Solent CTA N051.06.29.412 W001.16.19.054 N051.06.10.506 W001.15.01.578
Solent CTA N051.06.10.506 W001.15.01.578 N051.05.47.417 W001.13.47.013
Solent CTA N051.05.47.417 W001.13.47.013 N051.05.20.321 W001.12.35.926
Solent CTA N051.05.20.321 W001.12.35.926 N051.04.49.426 W001.11.28.857
Solent CTA N051.04.49.426 W001.11.28.857 N051.04.14.965 W001.10.26.318
Solent CTA N051.04.14.965 W001.10.26.318 N051.03.40.000 W001.09.34.999
Solent CTA N051.07.00.001 W001.21.46.001 N051.08.28.000 W001.19.27.998
;- SOLENT CTA SCTR 6
Solent CTA N050.52.57.000 W001.15.18.000 N050.54.34.999 W001.03.33.998
Solent CTA N050.54.34.999 W001.03.33.998 N050.49.27.998 W001.17.13.999
Solent CTA N050.49.27.998 W001.17.13.999 N050.52.57.000 W001.15.18.000
;- SOLENT CTA SCTR 7
Solent CTA N051.06.36.000 W001.08.17.002 N051.04.19.999 W001.06.56.999
Solent CTA N051.04.19.999 W001.06.56.999 N050.54.34.999 W001.03.33.998
Solent CTA N050.54.34.999 W001.03.33.998 N050.52.57.000 W001.15.18.000
Solent CTA N050.52.57.000 W001.15.18.000 N051.01.14.999 W001.10.39.000
Solent CTA N051.01.14.999 W001.10.39.000 N051.06.36.000 W001.08.17.002
;- SOLENT CTA SCTR 8
Solent CTA N050.42.14.000 W001.53.12.998 N050.44.40.999 W001.38.24.000
Solent CTA N050.44.40.999 W001.38.24.000 N050.31.55.999 W001.46.59.999
