;Runway 20
N050.57.25.452 W001.21.10.802 N051.11.33.560 W001.13.17.730
N051.11.41.480 W001.13.53.740 N051.11.25.630 W001.12.41.730
N051.06.58.840 W001.16.31.900 N051.06.42.980 W001.15.20.010
N051.05.54.380 W001.16.27.530 N051.06.02.300 W001.17.03.460
N051.04.57.840 W001.16.59.090 N051.05.05.760 W001.17.35.010
N051.04.01.030 W001.17.30.630 N051.04.09.220 W001.18.06.540
N051.03.04.750 W001.18.02.150 N051.03.12.680 W001.18.38.040
N051.02.16.130 W001.19.09.530 N051.02.00.280 W001.17.57.760
N051.01.11.660 W001.19.05.120 N051.01.19.580 W001.19.40.990
N051.00.15.110 W001.19.36.570 N051.00.23.030 W001.20.12.430
N050.59.18.560 W001.20.08.000 N050.59.26.480 W001.20.43.850
N050.58.22.000 W001.20.39.410 N050.58.29.920 W001.21.15.240
;Runway 02
N050.56.36.960 W001.21.37.700 N050.54.40.410 W001.22.41.850
N050.54.40.410 W001.22.41.850 N050.42.59.670 W001.31.28.540
N050.55.40.390 W001.22.09.050 N050.55.48.320 W001.22.44.860
N050.54.43.830 W001.22.40.390 N050.54.51.750 W001.23.16.180
N050.53.49.030 W001.23.20.640 N050.53.59.500 W001.23.54.740
N050.52.54.940 W001.24.01.440 N050.53.05.410 W001.24.35.530
N050.52.11.310 W001.25.16.290 N050.51.50.360 W001.24.08.150
N050.51.06.740 W001.25.22.960 N050.51.17.220 W001.25.57.030
N050.50.12.640 W001.26.03.690 N050.50.23.110 W001.26.37.740
N050.49.18.530 W001.26.44.390 N050.49.29.010 W001.27.18.430
N050.48.24.420 W001.27.25.060 N050.48.34.900 W001.27.59.090
N050.47.40.780 W001.28.39.730 N050.47.19.820 W001.27.31.690
N050.43.10.140 W001.32.02.510 N050.42.49.190 W001.30.54.590
