Solent SMAA                 S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N050.48.28.280 W001.47.50.027 N050.46.04.269 W001.46.47.595
                            N050.46.04.269 W001.46.47.595 N050.47.00.812 W001.34.08.810
                            N050.47.00.812 W001.34.08.810 N050.51.48.837 W001.36.13.672
                            N050.51.48.837 W001.36.13.672 N050.48.28.280 W001.47.50.027
                            N050.46.29.757 W002.06.33.799 N050.41.41.728 W002.04.33.740
                            N050.41.41.728 W002.04.33.740 N050.44.59.225 W001.52.52.582
                            N050.44.59.225 W001.52.52.582 N050.47.26.303 W001.53.55.012
                            N050.47.26.303 W001.53.55.012 N050.46.29.757 W002.06.33.799
                            N051.08.05.405 W001.22.42.058 N051.09.13.269 W001.18.56.347
                            N051.09.13.269 W001.18.56.347 N051.09.28.702 W001.17.58.718
                            N051.09.28.702 W001.17.58.718 N051.09.38.023 W001.16.51.481
                            N051.09.38.023 W001.16.51.481 N051.09.41.216 W001.15.39.445
                            N051.09.41.216 W001.15.39.445 N051.09.38.234 W001.14.51.420
                            N051.09.38.234 W001.14.51.420 N051.09.32.222 W001.13.44.186
                            N051.09.32.222 W001.13.44.186 N051.09.17.027 W001.12.27.349
                            N051.09.17.027 W001.12.27.349 N051.08.49.581 W001.11.00.906
                            N051.08.49.581 W001.11.00.906 N051.08.15.971 W001.09.53.667
                            N051.08.15.971 W001.09.53.667 N051.07.39.265 W001.09.00.842
                            N051.07.39.265 W001.09.00.842 N051.06.50.287 W001.08.12.817
                            N051.06.50.287 W001.08.12.817 N051.06.19.666 W001.07.48.805
                            N051.06.19.666 W001.07.48.805 N051.05.55.161 W001.07.34.399
                            N051.05.55.161 W001.07.34.399 N051.05.15.323 W001.07.19.990
                            N051.05.15.323 W001.07.19.990 N051.04.29.326 W001.07.19.990
                            N051.04.29.326 W001.07.19.990 N050.57.44.557 W001.07.19.990
                            N050.57.44.557 W001.07.19.990 N050.52.22.573 W001.07.24.794
                            N050.52.22.573 W001.07.24.794 N050.51.54.963 W001.07.29.596
                            N050.51.54.963 W001.07.29.596 N050.51.39.616 W001.07.39.201
                            N050.51.39.616 W001.07.39.201 N050.51.21.149 W001.08.17.620
                            N050.51.21.149 W001.08.17.620 N050.46.00.951 W001.20.22.789
                            N050.46.00.951 W001.20.22.789 N050.36.46.741 W001.41.30.634
                            N050.36.46.741 W001.41.30.634 N050.36.15.929 W001.42.52.274
                            N050.36.15.929 W001.42.52.274 N050.35.54.293 W001.44.28.327
                            N050.35.54.293 W001.44.28.327 N050.35.35.735 W001.45.59.572
                            N050.35.35.735 W001.45.59.572 N050.35.20.222 W001.47.40.423
                            N050.35.20.222 W001.47.40.423 N050.35.13.901 W001.49.26.074
                            N050.35.13.901 W001.49.26.074 N050.35.13.731 W001.51.02.126
                            N050.35.13.731 W001.51.02.126 N050.35.19.643 W001.53.06.990
                            N050.35.19.643 W001.53.06.990 N050.35.31.710 W001.54.57.445
                            N050.35.31.710 W001.54.57.445 N050.35.49.948 W001.56.28.690
                            N050.35.49.948 W001.56.28.690 N050.36.14.301 W001.58.09.544
                            N050.36.14.301 W001.58.09.544 N050.36.44.804 W001.59.40.789
                            N050.36.44.804 W001.59.40.789 N050.37.12.284 W002.00.48.023
                            N050.37.12.284 W002.00.48.023 N050.37.45.875 W002.02.04.862
                            N050.37.45.875 W002.02.04.862 N050.38.28.679 W002.03.16.902
                            N050.38.28.679 W002.03.16.902 N050.39.14.554 W002.04.24.135
                            N050.39.14.554 W002.04.24.135 N050.40.09.631 W002.05.31.368
                            N050.40.09.631 W002.05.31.368 N050.41.01.669 W002.06.24.195
                            N050.41.01.669 W002.06.24.195 N050.42.21.292 W002.07.21.824
                            N050.42.21.292 W002.07.21.824 N050.43.31.753 W002.08.00.243
                            N050.43.31.753 W002.08.00.243 N050.44.42.229 W002.08.29.056
                            N050.44.42.229 W002.08.29.056 N050.45.55.807 W002.08.38.661
                            N050.45.55.807 W002.08.38.661 N050.46.50.994 W002.08.43.465
                            N050.46.50.994 W002.08.43.465 N050.47.43.134 W002.08.38.661
                            N050.47.43.134 W002.08.38.661 N050.48.26.082 W002.08.29.056
                            N050.48.26.082 W002.08.29.056 N050.49.02.895 W002.08.19.452
                            N050.49.02.895 W002.08.19.452 N050.49.39.716 W002.08.05.046
                            N050.49.39.716 W002.08.05.046 N050.50.19.614 W002.07.45.835
                            N050.50.19.614 W002.07.45.835 N050.50.59.521 W002.07.21.824
                            N050.50.59.521 W002.07.21.824 N050.51.39.426 W002.06.57.811
                            N050.51.39.426 W002.06.57.811 N050.52.22.425 W002.06.19.393
                            N050.52.22.425 W002.06.19.393 N050.53.02.355 W002.05.40.972
                            N050.53.02.355 W002.05.40.972 N050.53.42.305 W002.04.52.948
                            N050.53.42.305 W002.04.52.948 N050.54.34.555 W002.03.45.716
                            N050.54.34.555 W002.03.45.716 N050.55.29.913 W002.02.14.467
                            N050.55.29.913 W002.02.14.467 N050.56.00.697 W002.01.07.232
                            N050.56.00.697 W002.01.07.232 N050.56.28.417 W002.00.00.000
                            N050.56.28.417 W002.00.00.000 N050.57.05.400 W001.58.14.346
                            N050.57.05.400 W001.58.14.346 N050.57.42.411 W001.56.14.282
                            N050.57.42.411 W001.56.14.282 N050.58.22.496 W001.54.09.420
                            N050.58.22.496 W001.54.09.420 N050.59.05.682 W001.51.45.348
                            N050.59.05.682 W001.51.45.348 N051.08.05.405 W001.22.42.058
                            N050.59.05.682 W001.51.45.348 N051.01.38.978 W001.51.59.756
                            N050.57.41.481 W001.07.24.794 N050.57.51.109 W001.03.24.670
                            N050.35.13.901 W001.49.26.074 N050.32.43.673 W001.49.11.667
                            N050.45.55.807 W002.08.38.661 N050.45.49.247 W002.12.38.786
                            N050.46.00.951 W001.20.22.789 N050.43.27.655 W001.20.08.382
                            N051.08.05.405 W001.22.42.058 N051.10.38.704 W001.22.56.466

EGHI Southampton SMAA       S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N050.49.00.000 W001.37.34.000 N051.09.40.000 W001.26.08.000
                            N051.09.40.000 W001.26.08.000 N051.09.57.702 W001.22.50.615
                            N051.09.57.702 W001.22.50.615 N051.09.55.322 W001.19.14.213
                            N051.09.55.322 W001.19.14.213 N051.09.29.307 W001.15.41.810
                            N051.09.29.307 W001.15.41.810 N051.08.40.457 W001.12.19.944
                            N051.08.40.457 W001.12.19.944 N051.07.30.278 W001.09.14.815
                            N051.07.30.278 W001.09.14.815 N051.05.00.000 W001.05.10.000
                            N051.05.00.000 W001.05.10.000 N050.44.22.000 W001.16.45.000
                            N050.44.22.000 W001.16.45.000 N050.44.04.281 W001.19.58.187
                            N050.44.04.281 W001.19.58.187 N050.44.06.639 W001.23.32.592
                            N050.44.06.639 W001.23.32.592 N050.44.32.419 W001.27.03.144
                            N050.44.32.419 W001.27.03.144 N050.45.20.847 W001.30.23.526
                            N050.45.20.847 W001.30.23.526 N050.46.30.471 W001.33.27.717
                            N050.46.30.471 W001.33.27.717 N050.49.00.000 W001.37.34.000
