;Runway 08
N049.42.21.408 W002.13.15.105 N049.41.15.198 W002.22.20.109
N049.42.33.192 W002.13.18.493 N049.42.09.621 W002.13.11.721
N049.42.04.535 W002.14.44.210 N049.42.16.310 W002.14.47.665
N049.42.11.198 W002.16.20.207 N049.41.47.630 W002.16.13.435
N049.41.54.283 W002.17.49.357 N049.41.42.506 W002.17.45.902
N049.41.49.131 W002.19.21.878 N049.41.25.562 W002.19.15.109
N049.41.32.171 W002.20.50.996 N049.41.20.396 W002.20.47.543
N049.41.26.980 W002.22.23.493 N049.41.03.411 W002.22.16.730
;Runway 26
N049.42.26.667 W002.12.31.876 N049.43.32.101 W002.03.26.434
N049.42.38.451 W002.12.35.265 N049.42.14.881 W002.12.28.492
N049.42.43.512 W002.11.02.694 N049.42.31.730 W002.10.59.307
N049.43.00.339 W002.09.33.496 N049.42.36.770 W002.09.26.725
N049.43.05.360 W002.08.00.902 N049.42.53.578 W002.07.57.514
N049.43.22.150 W002.06.31.682 N049.42.58.582 W002.06.24.911
N049.43.15.351 W002.04.55.677 N049.43.27.134 W002.04.59.066
N049.43.20.315 W002.03.23.050 N049.43.43.884 W002.03.29.821
