EGJA Alderney SMAA          S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
                            N049.18.01.123 W002.45.31.561 N049.18.06.663 W002.46.48.828
                            N049.18.02.270 W002.43.57.234 N049.18.01.123 W002.45.31.561
                            N049.18.06.663 W002.46.48.828 N049.18.18.405 W002.48.10.234
                            N049.18.18.405 W002.48.10.234 N049.18.33.472 W002.49.20.989
                            N049.18.20.879 W002.28.45.634 N049.18.02.270 W002.43.57.234
                            N049.18.22.894 W002.27.30.365 N049.18.20.879 W002.28.45.634
                            N049.18.29.025 W002.26.16.094 N049.18.22.894 W002.27.30.365
                            N049.18.33.472 W002.49.20.989 N049.18.54.722 W002.50.33.770
                            N049.18.38.685 W002.25.12.359 N049.18.29.025 W002.26.16.094
                            N049.18.54.405 W002.23.57.932 N049.18.38.685 W002.25.12.359
                            N049.18.54.722 W002.50.33.770 N049.19.17.219 W002.51.33.811
                            N049.19.13.634 W002.22.51.930 N049.18.54.405 W002.23.57.932
                            N049.19.17.219 W002.51.33.811 N049.19.38.920 W002.52.22.208
                            N049.19.38.341 W002.21.45.838 N049.19.13.634 W002.22.51.930
                            N049.19.38.920 W002.52.22.208 N049.20.04.030 W002.53.09.494
                            N049.20.04.030 W002.53.09.494 N049.20.36.707 W002.53.59.841
                            N049.20.09.901 W002.20.40.695 N049.19.38.341 W002.21.45.838
                            N049.20.36.707 W002.53.59.841 N049.21.07.923 W002.54.40.668
                            N049.20.46.301 W002.19.39.719 N049.20.09.901 W002.20.40.695
                            N049.21.07.923 W002.54.40.668 N049.21.44.618 W002.55.21.413
                            N049.21.27.547 W002.18.43.963 N049.20.46.301 W002.19.39.719
                            N049.21.44.618 W002.55.21.413 N049.22.24.001 W002.55.56.816
                            N049.22.24.001 W002.55.56.816 N049.23.10.878 W002.56.27.859
                            N049.23.10.878 W002.56.27.859 N049.23.52.863 W002.56.49.444
                            N049.23.52.863 W002.56.49.444 N049.24.36.161 W002.57.04.650
                            N049.24.36.161 W002.57.04.650 N049.25.23.515 W002.57.14.496
                            N049.25.12.071 W002.10.12.817 N049.27.51.122 W002.10.28.303
                            N049.25.23.515 W002.57.14.496 N049.26.10.106 W002.57.15.875
                            N049.26.10.106 W002.57.15.875 N049.26.53.905 W002.57.11.997
                            N049.26.53.905 W002.57.11.997 N049.27.35.595 W002.57.02.861
                            N049.27.35.595 W002.57.02.861 N049.28.21.315 W002.56.45.177
                            N049.27.51.122 W002.10.28.303 N049.25.12.071 W002.10.12.817
                            N049.27.51.122 W002.10.28.303 N049.21.27.547 W002.18.43.963
                            N049.28.21.315 W002.56.45.177 N049.29.05.596 W002.56.20.103
                            N049.29.05.596 W002.56.20.103 N049.29.46.409 W002.55.50.844
                            N049.29.46.409 W002.55.50.844 N049.30.31.207 W002.55.08.805
                            N049.30.31.207 W002.55.08.805 N049.31.11.848 W002.54.21.535
                            N049.31.11.848 W002.54.21.535 N049.31.48.320 W002.53.27.969
                            N049.31.48.320 W002.53.27.969 N049.41.35.418 W002.38.15.813
                            N049.36.07.016 W001.59.48.868 N049.27.51.122 W002.10.28.303
                            N049.41.26.829 W002.42.21.789 N049.41.35.418 W002.38.15.813
                            N049.41.35.418 W002.38.15.813 N049.47.24.315 W002.29.15.144
                            N049.42.56.642 W001.59.52.954 N049.43.04.554 W001.55.48.045
                            N049.42.56.642 W001.59.52.954 N049.36.07.016 W001.59.48.868
                            N049.43.04.554 W001.55.48.045 N049.42.56.642 W001.59.52.954
                            N049.43.58.982 W001.59.54.081 N049.42.56.642 W001.59.52.954
                            N049.47.24.315 W002.29.15.144 N049.47.55.927 W002.28.15.301
                            N049.47.55.927 W002.28.15.301 N049.48.23.373 W002.27.09.164
                            N049.48.23.373 W002.27.09.164 N049.48.50.633 W002.25.43.960
                            N049.48.43.134 W001.56.11.276 N049.43.58.982 W001.59.54.081
                            N049.48.50.633 W002.25.43.960 N049.49.10.977 W002.24.11.446
                            N049.49.10.936 W001.56.53.220 N049.48.43.134 W001.56.11.276
                            N049.49.10.977 W002.24.11.446 N049.49.23.702 W002.22.30.576
                            N049.49.23.702 W002.22.30.576 N049.50.33.295 W002.12.33.944
                            N049.49.45.820 W001.57.59.424 N049.49.10.936 W001.56.53.220
                            N049.50.11.057 W001.58.59.421 N049.49.45.820 W001.57.59.424
                            N049.50.33.295 W002.12.33.944 N049.53.11.673 W002.12.50.500
                            N049.50.33.295 W002.12.33.944 N049.51.08.711 W002.07.29.262
                            N049.50.35.048 W002.00.12.157 N049.50.11.057 W001.58.59.421
                            N049.50.53.588 W002.01.28.160 N049.50.35.048 W002.00.12.157
                            N049.51.07.386 W002.02.49.533 N049.50.53.588 W002.01.28.160
                            N049.51.08.711 W002.07.29.262 N049.51.15.273 W002.05.48.490
                            N049.51.15.101 W002.04.19.480 N049.51.07.386 W002.02.49.533
                            N049.51.15.273 W002.05.48.490 N049.51.15.101 W002.04.19.480
                            N049.53.11.673 W002.12.50.500 N049.50.33.295 W002.12.33.944
