;Runway 09
N049.26.04.876 W002.36.43.338 N049.25.38.951 W002.52.01.570
N049.26.17.464 W002.36.44.121 N049.25.53.504 W002.36.42.554
N049.26.08.909 W002.38.15.564 N049.25.56.933 W002.38.14.782
N049.26.12.316 W002.39.47.789 N049.25.48.357 W002.39.46.223
N049.26.03.722 W002.41.19.228 N049.25.51.745 W002.41.18.448
N049.26.07.091 W002.42.51.447 N049.25.43.134 W002.42.49.881
N049.25.58.458 W002.44.22.879 N049.25.46.482 W002.44.22.099
N049.26.01.785 W002.45.55.094 N049.25.37.827 W002.45.53.527
N049.25.53.108 W002.47.26.522 N049.25.41.132 W002.47.25.742
N049.25.32.437 W002.48.57.164 N049.25.56.395 W002.48.58.729
N049.25.47.681 W002.50.30.152 N049.25.35.702 W002.50.29.370
N049.25.26.970 W002.52.00.789 N049.25.50.928 W002.52.02.355
;Runway 27
N049.26.06.884 W002.35.30.716 N049.26.31.393 W002.20.12.217
N049.25.54.904 W002.35.29.936 N049.26.18.861 W002.35.31.501
N049.26.03.439 W002.33.58.491 N049.26.15.416 W002.33.59.273
N049.25.59.969 W002.32.26.257 N049.26.23.926 W002.32.27.823
N049.26.20.439 W002.30.55.587 N049.26.08.461 W002.30.54.805
N049.26.28.910 W002.29.24.132 N049.26.04.926 W002.29.22.567
N049.26.25.382 W002.27.51.893 N049.26.13.404 W002.27.51.112
N049.26.33.813 W002.26.20.431 N049.26.09.855 W002.26.18.865
N049.26.30.242 W002.24.48.185 N049.26.18.265 W002.24.47.404
N049.26.38.634 W002.23.16.719 N049.26.14.675 W002.23.15.153
N049.26.23.045 W002.21.43.689 N049.26.35.023 W002.21.44.469
N049.26.19.413 W002.20.11.435 N049.26.43.371 W002.20.13.002
