;Runway 08
N049.12.31.888 W002.11.05.737 N049.13.46.448 W001.55.57.651
N049.12.19.993 W002.11.03.432 N049.12.43.779 W002.11.08.044
N049.12.45.374 W002.09.36.118 N049.12.33.482 W002.09.33.811
N049.12.35.063 W002.08.01.877 N049.12.58.848 W002.08.06.488
N049.13.00.407 W002.06.34.548 N049.12.48.517 W002.06.32.240
N049.12.50.054 W002.05.00.290 N049.13.13.839 W002.05.04.900
N049.13.15.358 W002.03.32.942 N049.13.03.467 W002.03.30.635
N049.13.04.964 W002.01.58.673 N049.13.28.750 W002.02.03.285
N049.13.30.230 W002.00.31.312 N049.13.18.338 W002.00.29.004
N049.13.19.800 W001.58.57.024 N049.13.43.585 W001.59.01.635
N049.13.45.021 W001.57.29.649 N049.13.33.131 W001.57.27.341
N049.13.34.552 W001.55.55.347 N049.13.58.338 W001.55.59.959
;Runway 26
N049.12.25.477 W002.12.22.077 N049.11.08.829 W002.27.29.347
N049.12.13.582 W002.12.19.771 N049.12.37.368 W002.12.24.388
N049.12.23.841 W002.13.53.996 N049.12.11.951 W002.13.51.689
N049.11.58.408 W002.15.21.286 N049.12.22.193 W002.15.25.905
N049.12.08.631 W002.16.55.497 N049.11.56.740 W002.16.53.191
N049.11.43.158 W002.18.22.772 N049.12.06.944 W002.18.27.391
N049.11.53.343 W002.19.56.966 N049.11.41.451 W002.19.54.659
N049.11.27.829 W002.21.24.228 N049.11.51.615 W002.21.28.846
N049.11.37.975 W002.22.58.404 N049.11.26.083 W002.22.56.095
N049.11.12.422 W002.24.25.649 N049.11.36.207 W002.24.30.268
N049.11.22.527 W002.25.59.811 N049.11.10.635 W002.25.57.503
N049.10.56.935 W002.27.27.039 N049.11.20.719 W002.27.31.658
