;- JERSEY HOLDING POINTS
N049.12.23.500:W002.12.20.000:EGJJ Holding Points:B1
N049.12.22.500:W002.12.14.500:EGJJ Holding Points:B2
N049.12.23.000:W002.12.02.200:EGJJ Holding Points:D
N049.12.17.500:W002.12.00.500:EGJJ Holding Points:B3
N049.12.16.000:W002.11.58.500:EGJJ Holding Points:J1
N049.12.20.300:W002.11.59.500:EGJJ Holding Points:C1
N049.12.14.000:W002.11.37.500:EGJJ Holding Points:J2
N049.12.14.000:W002.11.34.000:EGJJ Holding Points:K
N049.12.25.500:W002.11.48.500:EGJJ Holding Points:E
N049.12.26.000:W002.11.43.500:EGJJ Holding Points:C2
N049.12.26.500:W002.11.23.000:EGJJ Holding Points:F
N049.12.26.700:W002.11.15.000:EGJJ Holding Points:A2
N049.12.25.000:W002.11.06.000:EGJJ Holding Points:H
N049.12.29.000:W002.11.04.000:EGJJ Holding Points:A1
N049.12.29.000:W002.10.58.500:EGJJ Holding Points:G
;-JERSEY STANDS
N049.12.19.750:W002.11.46.650:EGJJ Stands:1
N049.12.19.480:W002.11.48.950:EGJJ Stands:3
N049.12.19.350:W002.11.50.780:EGJJ Stands:4
N049.12.19.220:W002.11.52.520:EGJJ Stands:5
N049.12.19.090:W002.11.54.370:EGJJ Stands:6
N049.12.17.900:W002.11.54.160:EGJJ Stands:7
N049.12.18.080:W002.11.52.310:EGJJ Stands:8
N049.12.18.180:W002.11.50.430:EGJJ Stands:9
N049.12.18.240:W002.11.48.150:EGJJ Stands:10
N049.12.17.890:W002.11.46.050:EGJJ Stands:11
N049.12.17.530:W002.11.44.070:EGJJ Stands:12
N049.12.17.190:W002.11.42.210:EGJJ Stands:13
N049.12.16.580:W002.11.40.140:EGJJ Stands:14
N049.12.12.390:W002.11.40.160:EGJJ Stands:15
N049.12.12.690:W002.11.41.850:EGJJ Stands:16
N049.12.12.950:W002.11.43.560:EGJJ Stands:17
N049.12.13.310:W002.11.45.220:EGJJ Stands:18
N049.12.13.620:W002.11.46.910:EGJJ Stands:19
N049.12.14.080:W002.11.53.260:EGJJ Stands:20 
N049.12.22.770:W002.11.31.590:EGJJ Stands:32
;40 To be surveyed
N049.12.14.020:W002.11.28.640:EGJJ Stands:41
N049.12.15.380:W002.11.27.480:EGJJ Stands:42
