EGJJ Jersey SMAA    S999.00.00.000 E999.00.00.000 S999.00.00.000 E999.00.00.000
            N049.18.01.000 W002.06.47.000 N049.17.49.000 W002.05.14.000
            N049.17.49.000 W002.05.14.000 N049.17.40.458 W002.04.26.629
            N049.17.40.458 W002.04.26.629 N049.17.26.768 W002.03.41.664
            N049.17.26.768 W002.03.41.664 N049.17.08.189 W002.03.01.362
            N049.17.08.189 W002.03.01.362 N049.16.45.287 W002.02.25.980
            N049.16.45.287 W002.02.25.980 N049.16.18.760 W002.01.57.562
            N049.16.18.760 W002.01.57.562 N049.15.49.416 W002.01.36.643
            N049.15.49.416 W002.01.36.643 N049.15.18.146 W002.01.23.857
            N049.15.18.146 W002.01.23.857 N049.14.45.902 W002.01.19.587
            N049.14.45.902 W002.01.19.587 N049.14.13.664 W002.01.23.958
            N049.14.13.664 W002.01.23.958 N049.13.42.411 W002.01.36.834
            N049.13.42.411 W002.01.36.834 N049.13.13.930 W002.01.57.819
            N049.13.13.930 W002.01.57.819 N049.12.46.597 W002.02.26.273
            N049.12.46.597 W002.02.26.273 N049.12.23.729 W002.03.01.328
            N049.12.23.729 W002.03.01.328 N049.12.05.182 W002.03.41.921
            N049.12.05.182 W002.03.41.921 N049.11.51.517 W002.04.26.820
            N049.11.51.517 W002.04.26.820 N049.11.52.000 W002.07.47.000
            N049.11.52.000 W002.07.47.000 N049.12.17.000 W002.09.26.000
            N049.12.17.000 W002.09.26.000 N049.12.28.829 W002.10.05.334
            N049.12.28.829 W002.10.05.334 N049.12.46.328 W002.10.45.960
            N049.12.46.328 W002.10.45.960 N049.13.08.698 W002.11.19.610
            N049.13.08.698 W002.11.19.610 N049.13.33.393 W002.11.47.828
            N049.13.33.393 W002.11.47.828 N049.14.01.531 W002.12.08.892
            N049.14.01.531 W002.12.08.892 N049.14.31.629 W002.12.22.158
            N049.14.31.629 W002.12.22.158 N049.15.02.774 W002.12.27.221
            N049.15.02.774 W002.12.27.221 N049.15.34.204 W002.12.23.922
            N049.15.34.204 W002.12.23.922 N049.16.04.417 W002.12.12.357
            N049.16.04.417 W002.12.12.357 N049.16.33.415 W002.11.52.873
            N049.16.33.415 W002.11.52.873 N049.16.59.216 W002.11.26.599
            N049.16.59.216 W002.11.26.599 N049.17.21.567 W002.10.52.730
            N049.17.21.567 W002.10.52.730 N049.17.39.991 W002.10.13.896
            N049.17.39.991 W002.10.13.896 N049.17.53.733 W002.09.30.740
            N049.17.53.733 W002.09.30.740 N049.18.02.375 W002.08.44.575
            N049.18.02.375 W002.08.44.575 N049.18.05.652 W002.07.56.808
            N049.18.05.652 W002.07.56.808 N049.18.01.000 W002.06.47.000
            N049.19.46.000 W002.20.52.000 N049.21.02.000 W002.05.41.000
            N049.21.02.000 W002.05.41.000 N049.21.04.848 W002.03.44.328
            N049.21.04.848 W002.03.44.328 N049.20.54.642 W002.01.37.805
            N049.20.54.642 W002.01.37.805 N049.20.30.161 W001.59.34.515
            N049.20.30.161 W001.59.34.515 N049.19.52.153 W001.57.40.383
            N049.19.52.153 W001.57.40.383 N049.19.01.781 W001.55.58.169
            N049.19.01.781 W001.55.58.169 N049.18.00.586 W001.54.30.989
            N049.18.00.586 W001.54.30.989 N049.16.50.438 W001.53.21.488
            N049.16.50.438 W001.53.21.488 N049.15.33.477 W001.52.31.766
            N049.15.33.477 W001.52.31.766 N049.14.12.496 W001.52.03.311
            N049.14.12.496 W001.52.03.311 N049.12.48.632 W001.51.56.960
            N049.12.48.632 W001.51.56.960 N049.11.25.762 W001.52.12.875
            N049.11.25.762 W001.52.12.875 N049.10.05.954 W001.52.50.544
            N049.10.05.954 W001.52.50.544 N049.08.51.628 W001.53.48.795
            N049.08.51.628 W001.53.48.795 N049.07.45.343 W001.55.05.841
            N049.07.45.343 W001.55.05.841 N049.06.48.185 W001.56.39.332
            N049.06.48.185 W001.56.39.332 N049.06.02.799 W001.58.26.431
            N049.06.02.799 W001.58.26.431 N049.05.30.245 W002.00.23.896
            N049.05.30.245 W002.00.23.896 N049.05.10.000 W002.02.39.000
            N049.05.10.000 W002.02.39.000 N049.03.55.000 W002.17.45.000
            N049.03.55.000 W002.17.45.000 N049.03.52.148 W002.19.43.522
            N049.03.52.148 W002.19.43.522 N049.04.02.300 W002.21.50.517
            N049.04.02.300 W002.21.50.517 N049.04.26.656 W002.23.51.996
            N049.04.26.656 W002.23.51.996 N049.05.04.483 W002.25.45.678
            N049.05.04.483 W002.25.45.678 N049.05.54.639 W002.27.27.659
            N049.05.54.639 W002.27.27.659 N049.06.55.610 W002.28.54.851
            N049.06.55.610 W002.28.54.851 N049.08.05.554 W002.30.04.601
            N049.08.05.554 W002.30.04.601 N049.09.22.354 W002.30.54.779
            N049.09.22.354 W002.30.54.779 N049.10.43.684 W002.31.23.838
            N049.10.43.684 W002.31.23.838 N049.12.07.778 W002.31.30.868
            N049.12.07.778 W002.31.30.868 N049.13.30.211 W002.31.15.624
            N049.13.30.211 W002.31.15.624 N049.14.49.935 W002.30.38.540
            N049.14.49.935 W002.30.38.540 N049.16.04.442 W002.29.40.716
            N049.16.04.442 W002.29.40.716 N049.17.11.252 W002.28.23.892
            N049.17.11.252 W002.28.23.892 N049.18.08.324 W002.26.50.392
            N049.18.08.324 W002.26.50.392 N049.18.53.915 W002.25.03.597
            N049.18.53.915 W002.25.03.597 N049.19.26.629 W002.23.05.168
            N049.19.26.629 W002.23.05.168 N049.19.46.000 W002.20.52.000
