D275D N051.18.35.129 E000.29.29.170
D275I N051.19.00.541 E000.21.32.782
DER21 N051.19.24.580 E000.01.36.330
TUNEL N051.26.35.000 E000.13.52.000
OSVEV N051.25.49.360 E000.18.08.590
ALKIN N051.23.26.000 E000.11.41.000
KBE01 N051.19.46.080 E000.08.23.580
BAGUG N051.19.59.840 E000.02.03.240
ITSUM N051.20.16.110 E000.06.54.670
YARVU N051.16.47.730 E000.10.44.180
KBW01 N051.15.28.820 E000.06.21.190
FEZUC N051.15.21.840 E000.02.56.900
KB03F N051.16.47.490 E000.00.24.400
RW03 N051.19.32.440 E000.01.42.180
KBM01 N051.22.19.700 E000.03.51.810
KBM02 N051.22.29.170 E000.10.15.410
