ABIBI N051.06.27.140 W000.28.53.920
ACORN N051.15.19.000 E000.11.46.000
ARPIT N051.11.19.230 E000.05.35.330
D076D N051.09.45.500 W000.04.50.040
FI08R N051.07.53.440 W000.18.37.440
FI26L N051.10.12.630 W000.01.46.580
KKE02 N051.09.53.050 W000.04.10.130
KKE03 N051.09.58.000 W000.03.34.100
KKE04 N051.10.08.380 W000.02.18.830
KKE05 N051.10.05.900 W000.02.35.700
KKE10 N051.09.55.930 E000.09.09.880
KKE12 N051.14.59.250 E000.06.24.070
KKE14 N051.13.03.400 W000.09.34.400
KKE17 N051.09.57.120 E000.19.37.590
KKE25 N051.09.57.300 E000.32.44.840
KKE35 N051.16.59.040 E000.23.16.220
KKE63 N050.58.56.700 E000.40.51.780
KKE64 N050.49.15.770 E000.30.30.520
KKN09 N051.13.53.100 W000.03.55.300
KKN43 N051.24.53.610 E000.18.09.130
KKN48 N051.29.31.140 E000.15.08.680
KKS06 N051.04.22.790 W000.17.44.350
KKS08 N051.05.44.800 W000.02.09.200
KKS09 N051.03.47.420 W000.10.43.340
KKS11 N051.04.42.430 W000.25.05.760
KKS12 N051.01.55.100 W000.00.20.400
KKS13 N051.02.05.060 W000.22.23.130
KKS14 N051.03.11.650 W000.06.52.240
KKS16 N050.58.05.210 E000.01.28.290
KKS17 N051.00.22.730 W000.24.32.750
KKS19 N050.57.29.420 W000.14.02.010
KKS20 N050.55.24.030 W000.23.54.890
KKS22 N050.52.20.700 E000.04.10.600
KKS25 N050.49.58.320 W000.23.13.740
KKS33 N051.03.27.270 E000.26.57.120
KKS36 N051.05.03.330 E000.30.55.890
KKW04 N051.07.50.700 W000.18.57.300
KKW06 N051.07.26.090 W000.21.53.730
KKW07 N051.07.17.200 W000.23.00.000
KKW08 N051.06.56.840 W000.25.22.880
KKW09 N051.06.54.300 W000.25.44.300
KKW10 N051.06.48.640 W000.26.21.350
KKW11 N051.03.38.830 W000.25.14.220
KKW19 N051.11.58.000 W000.20.34.300
MEBIG N051.06.32.920 W000.29.00.230
OLEVI N051.11.17.400 E000.06.11.300
; OSDEB defined in FIXES_UK.txt
SUNAV N051.15.36.900 E000.11.39.800
; TUFOZ defined in FIXES_UK.txt
; ZOPHI defined in FIXES_UK.txt
