;- GATWICK HOLDING POINTS
N051.09.05.600:W000.10.05.600:EGKK Holding Points:A1
N051.09.07.500:W000.10.08.700:EGKK Holding Points:A2
N051.09.10.300:W000.10.04.200:EGKK Holding Points:A3
N051.09.06.600:W000.10.15.600:EGKK Holding Points:B1
N051.09.03.400:W000.10.34.900:EGKK Holding Points:C1
N051.08.59.900:W000.10.58.700:EGKK Holding PointS:D1
N051.08.55.200:W000.11.37.000:EGKK Holding Points:E1
N051.08.47.300:W000.12.28.600:EGKK Holding Points:G1
N051.08.49.000:W000.12.29.000:EGKK Holding Points:G2
N051.08.45.000:W000.12.39.500:EGKK Holding Points:H1
N051.08.46.300:W000.12.35.000:EGKK Holding Points:H2
N051.08.47.000:W000.12.40.000:EGKK Holding Points:H3
N051.08.43.000:W000.12.49.000:EGKK Holding Points:J1
N051.08.44.500:W000.12.45.000:EGKK Holding Points:J2
N051.08.45.000:W000.12.51.000:EGKK Holding Points:J3
N051.08.48.400:W000.12.53.000:EGKK Holding Points:J4
N051.08.54.200:W000.12.39.900:EGKK Holding Points:J5
N051.08.57.000:W000.12.19.000:EGKK Holding Points:J6
N051.08.45.800:W000.12.45.200:EGKK Holding Points:J7
N051.09.14.200:W000.10.13.350:EGKK Holding Points:J8
N051.09.06.700:W000.09.57.100:EGKK Holding Points:M1
N051.09.09.500:W000.09.59.300:EGKK Holding Points:M3
N051.09.12.900:W000.10.20.500:EGKK Holding Points:N1
N051.09.12.400:W000.10.24.600:EGKK Holding Points:P1
N051.09.08.500:W000.10.50.900:EGKK Holding Points:Q1
N051.09.07.800:W000.10.56.000:EGKK Holding Points:R1
N051.09.05.300:W000.11.14.500:EGKK Holding Points:S1
N051.09.02.800:W000.11.37.400:EGKK Holding Points:T1
N051.08.56.000:W000.10.35.500:EGKK Holding Points:Y1
N051.08.53.000:W000.10.32.000:EGKK Holding Points:Y2
N051.08.58.700:W000.09.53.800:EGKK Holding Points:Y3
N051.09.07.000:W000.09.51.000:EGKK Holding Points:Y4
;Gatwick Stands
N051.09.13.030:W000.09.48.960:EGKK Stands:1
N051.09.12.710:W000.09.50.210:EGKK Stands:3
N051.09.15.000:W000.09.52.580:EGKK Stands:4
N051.09.12.300:W000.09.52.570:EGKK Stands:5
N051.09.14.500:W000.09.55.410:EGKK Stands:6
N051.09.13.700:W000.09.59.100:EGKK Stands:9
N051.09.14.300:W000.09.57.900:EGKK Stands:10
N051.09.19.490:W000.09.53.240:EGKK Stands:11
N051.09.19.230:W000.09.55.970:EGKK Stands:12
N051.09.22.900:W000.09.57.420:EGKK Stands:13
N051.09.18.600:W000.09.58.980:EGKK Stands:14
N051.09.22.450:W000.10.00.940:EGKK Stands:15
N051.09.18.300:W000.10.02.000:EGKK Stands:16
N051.09.22.000:W000.10.04.460:EGKK Stands:17
N051.09.17.740:W000.10.05.000:EGKK Stands:18
N051.09.21.420:W000.10.08.980:EGKK Stands:19
N051.09.17.390:W000.10.07.580:EGKK Stands:20
N051.09.20.740:W000.10.12.510:EGKK Stands:21
N051.09.17.000:W000.10.11.050:EGKK Stands:22
N051.09.20.260:W000.10.16.030:EGKK Stands:23
N051.09.16.440:W000.10.14.070:EGKK Stands:24
N051.09.18.600:W000.10.19.310:EGKK Stands:25
N051.09.16.000:W000.10.18.260:EGKK Stands:28
N051.09.27.080:W000.10.02.500:EGKK Stands:31
N051.09.26.490:W000.10.07.060:EGKK Stands:32
N051.09.26.440:W000.10.10.580:EGKK Stands:33
N051.09.29.590:W000.10.11.640:EGKK Stands:34
N051.09.31.920:W000.10.10.130:EGKK Stands:35
N051.09.32.360:W000.10.07.010:EGKK Stands:36
N051.09.32.210:W000.10.03.660:EGKK Stands:37
N051.09.30.900:W000.10.01.190:EGKK Stands:38
N051.09.24.000:W000.10.19.640:EGKK Stands:41
N051.09.23.660:W000.10.22.110:EGKK Stands:42
N051.09.23.230:W000.10.24.590:EGKK Stands:43
N051.09.36.230:W000.10.09.600:EGKK Stands:46
N051.09.35.270:W000.10.12.650:EGKK Stands:47
N051.09.33.510:W000.10.15.350:EGKK Stands:48
N051.09.30.350:W000.10.19.810:EGKK Stands:49
N051.09.29.920:W000.10.22.950:EGKK Stands:50
N051.09.29.450:W000.10.26.370:EGKK Stands:51
N051.09.28.940:W000.10.30.090:EGKK Stands:52
N051.09.28.380:W000.10.34.170:EGKK Stands:53
N051.09.27.860:W000.10.37.850:EGKK Stands:54
N051.09.30.980:W000.10.47.690:EGKK Stands:56
N051.09.33.190:W000.10.48.460:EGKK Stands:57
N051.09.35.470:W000.10.49.250:EGKK Stands:58
N051.09.37.620:W000.10.50.000:EGKK Stands:59
