EGKK_APP:Gatwick Director:126.825:KKR:K:EGKK:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK-S_APP:Gatwick Director:126.825:KKS:S:EGKKS:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK-S_APP:Gatwick Director:126.825:KKS:S:EGKK-S:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK-S_APP:Gatwick Director:126.825:KKS:S:EGKK+S:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK-S_APP:Gatwick Director:126.825:KKS:S:EGKK~S:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_F_APP:Gatwick Director:118.950:KKF:K:EGKK:APP:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_TWR:Gatwick Tower:124.230:KKT:K:EGKK:TWR:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_TWR:Gatwick Tower:124.225:ERROR:K:EGKK:TWR:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_GND:Gatwick Ground:121.805:KKG:K:EGKK:GND:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_GND:Gatwick Ground:121.800:ERROR:K:EGKK:GND:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_P_GND:Gatwick Planner:134.230:KKP:K:EGKK:GND:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_P_GND:Gatwick Planner:134.225:ERROR:K:EGKK:GND:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_P_GND:Gatwick Planner:134.230:KKP:K:EGKK:DEL:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_P_GND:Gatwick Planner:134.225:ERROR:K:EGKK:DEL:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_DEL:Gatwick Delivery:121.955:KKD:K:EGKK:DEL:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_DEL:Gatwick Delivery:121.950:ERROR:K:EGKK:DEL:-:-:3750:3761:N051.08.53.000:W000.11.25.000::
EGKK_ATIS:Gatwick ATIS:136.525:KKI:K:EGKK:ATIS:-:-::::::
