ALKIN N051.23.26.000 E000.11.41.000
ATPEV N051.29.18.050 E000.33.22.740
BABKU N051.35.19.590 E001.19.16.230
BEMID N051.34.26.000 E000.20.56.000
BNN32 N051.36.12.160 E000.17.01.460
CLN27 N051.39.24.140 E000.29.33.700
CLN34 N051.36.23.020 E000.19.25.730
CLN38 N051.34.39.130 E000.13.38.920
D020N N051.32.35.870 E000.09.07.710
D045K N051.37.17.620 W001.00.46.120
D075R N051.34.08.130 W000.00.15.710
D075Z N051.36.08.710 E000.11.19.290
D094A N051.30.14.570 E000.05.29.720
D149L N051.34.48.770 E000.03.47.380
D231G N051.34.40.280 E000.01.00.290
D245Q N051.43.41.360 E000.44.04.560
D274B N051.30.24.570 E000.00.20.860
ELMIV N051.20.33.080 E001.15.33.360
GAPGI N051.28.44.890 E000.48.20.990
GINTI N051.34.43.000 E000.22.12.000
LAVNO N051.29.59.140 E000.13.29.170
LCE01 N051.30.14.670 E000.05.29.910
LCE02 N051.33.16.420 E000.09.50.440
LCE03 N051.33.46.900 E000.14.36.660
LCE04 N051.36.19.700 E000.12.22.730
LCE05 N051.35.31.780 E000.17.15.470
LCE06 N051.36.23.750 E000.23.28.430
LCE07 N051.29.29.220 E000.28.07.690
LCE11 N051.25.04.570 E001.18.34.810
LCE12 N051.29.58.170 E001.19.06.680
LCE13 N051.34.42.460 E001.17.04.790
LCE21 N051.30.06.820 E001.21.30.070
LCE22 N051.24.43.870 E001.20.54.730
LCE23 N051.19.45.280 E001.17.34.940
LCN01 N051.33.32.440 W000.01.09.210
LCN02 N051.34.08.090 W000.00.16.110
LCN03 N051.34.48.850 E000.03.47.240
LCN04 N051.34.36.750 E000.00.56.790
LCN05 N051.35.38.420 E000.02.57.770
LCN06 N051.36.08.680 E000.11.18.820
LCS01 N051.26.03.370 E000.11.09.390
LCS02 N051.26.19.240 E000.02.59.130
LCW01 N051.30.24.400 E000.00.20.780
LON27 N051.33.47.320 E000.14.37.030
ODLEG N051.29.25.350 W000.07.16.560
OSVEV N051.25.49.360 E000.18.08.590
RAVSA N051.28.29.010 E000.55.13.720
TODBI N051.26.36.350 W000.06.11.780
TOPDU N051.29.45.720 E000.20.09.820
