;- LONDON CITY HOLDING POINTS
N051.30.18.600:E000.02.30.400:EGLC Holding Points:W
N051.30.16.200:E000.02.36.200:EGLC Holding Points:Y
N051.30.18.300:E000.02.37.200:EGLC Holding Points:A
N051.30.18.100:E000.02.43.100:EGLC Holding Points:B
N051.30.17.800:E000.02.57.000:EGLC Holding Points:C
N051.30.15.500:E000.03.46.900:EGLC Holding Points:K
N051.30.16.000:E000.03.52.300:EGLC Holding Points:L
N051.30.15.300:E000.03.58.500:EGLC Holding Points:M
;London City Stand Numbers
N051.30.14.980:E000.03.09.113:EGLC Stands:24
N051.30.15.015:E000.03.07.053:EGLC Stands:23
N051.30.15.089:E000.03.04.579:EGLC Stands:22
N051.30.15.161:E000.03.02.524:EGLC Stands:21
N051.30.15.721:E000.02.59.907:EGLC Stands:1
N051.30.15.789:E000.02.58.015:EGLC Stands:2
N051.30.15.854:E000.02.56.051:EGLC Stands:3
N051.30.15.939:E000.02.53.928:EGLC Stands:4
N051.30.15.994:E000.02.51.955:EGLC Stands:5
N051.30.16.054:E000.02.49.904:EGLC Stands:6
N051.30.16.113:E000.02.47.876:EGLC Stands:7
N051.30.16.163:E000.02.45.845:EGLC Stands:8
N051.30.16.241:E000.02.43.860:EGLC Stands:9
N051.30.16.350:E000.02.41.762:EGLC Stands:10
N051.30.16.634:E000.02.39.991:EGLC Stands:11
N051.30.16.698:E000.02.37.016:EGLC Stands:12
N051.30.16.835:E000.02.34.956:EGLC Stands:13
N051.30.16.878:E000.02.32.999:EGLC Stands:14
N051.30.18.100:E000.02.25.550:EGLC Stands:15
